group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,&'a str,classes.lox,,,1199000.0,ns,21
Lexer,&'a str,classes.lox,,,1991600.0,ns,42
Lexer,&'a str,classes.lox,,,2957400.0,ns,63
Lexer,&'a str,classes.lox,,,3951400.0,ns,84
Lexer,&'a str,classes.lox,,,5008200.0,ns,105
Lexer,&'a str,classes.lox,,,5966300.0,ns,126
Lexer,&'a str,classes.lox,,,6985100.0,ns,147
Lexer,&'a str,classes.lox,,,8042600.0,ns,168
Lexer,&'a str,classes.lox,,,9114900.0,ns,189
Lexer,&'a str,classes.lox,,,10026600.0,ns,210
Lexer,&'a str,classes.lox,,,11022900.0,ns,231
Lexer,&'a str,classes.lox,,,12101000.0,ns,252
Lexer,&'a str,classes.lox,,,13174700.0,ns,273
Lexer,&'a str,classes.lox,,,14175100.0,ns,294
Lexer,&'a str,classes.lox,,,15334300.0,ns,315
Lexer,&'a str,classes.lox,,,16182100.0,ns,336
Lexer,&'a str,classes.lox,,,17129800.0,ns,357
Lexer,&'a str,classes.lox,,,18081300.0,ns,378
Lexer,&'a str,classes.lox,,,18971500.0,ns,399
Lexer,&'a str,classes.lox,,,19929000.0,ns,420
Lexer,&'a str,classes.lox,,,21071100.0,ns,441
Lexer,&'a str,classes.lox,,,22079300.0,ns,462
Lexer,&'a str,classes.lox,,,23084300.0,ns,483
Lexer,&'a str,classes.lox,,,24173100.0,ns,504
Lexer,&'a str,classes.lox,,,25163800.0,ns,525
Lexer,&'a str,classes.lox,,,26344800.0,ns,546
Lexer,&'a str,classes.lox,,,27779100.0,ns,567
Lexer,&'a str,classes.lox,,,27960100.0,ns,588
Lexer,&'a str,classes.lox,,,29018100.0,ns,609
Lexer,&'a str,classes.lox,,,30147700.0,ns,630
Lexer,&'a str,classes.lox,,,31229200.0,ns,651
Lexer,&'a str,classes.lox,,,32044200.0,ns,672
Lexer,&'a str,classes.lox,,,33511200.0,ns,693
Lexer,&'a str,classes.lox,,,33931100.0,ns,714
Lexer,&'a str,classes.lox,,,34983200.0,ns,735
