group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,&'a str,counter.lox,,,993600.0,ns,69
Lexer,&'a str,counter.lox,,,1952300.0,ns,138
Lexer,&'a str,counter.lox,,,2872100.0,ns,207
Lexer,&'a str,counter.lox,,,3888000.0,ns,276
Lexer,&'a str,counter.lox,,,4945500.0,ns,345
Lexer,&'a str,counter.lox,,,5843200.0,ns,414
Lexer,&'a str,counter.lox,,,6794400.0,ns,483
Lexer,&'a str,counter.lox,,,7685600.0,ns,552
Lexer,&'a str,counter.lox,,,8725400.0,ns,621
Lexer,&'a str,counter.lox,,,9650700.0,ns,690
Lexer,&'a str,counter.lox,,,10554800.0,ns,759
Lexer,&'a str,counter.lox,,,11450200.0,ns,828
Lexer,&'a str,counter.lox,,,12572400.0,ns,897
Lexer,&'a str,counter.lox,,,13520100.0,ns,966
Lexer,&'a str,counter.lox,,,14560000.0,ns,1035
Lexer,&'a str,counter.lox,,,15573100.0,ns,1104
Lexer,&'a str,counter.lox,,,16610500.0,ns,1173
Lexer,&'a str,counter.lox,,,17462900.0,ns,1242
Lexer,&'a str,counter.lox,,,18382600.0,ns,1311
Lexer,&'a str,counter.lox,,,22652200.0,ns,1380
Lexer,&'a str,counter.lox,,,21607800.0,ns,1449
Lexer,&'a str,counter.lox,,,20938000.0,ns,1518
Lexer,&'a str,counter.lox,,,22025000.0,ns,1587
Lexer,&'a str,counter.lox,,,22902500.0,ns,1656
Lexer,&'a str,counter.lox,,,23865900.0,ns,1725
Lexer,&'a str,counter.lox,,,24917400.0,ns,1794
Lexer,&'a str,counter.lox,,,25998800.0,ns,1863
Lexer,&'a str,counter.lox,,,26947900.0,ns,1932
Lexer,&'a str,counter.lox,,,27859300.0,ns,2001
Lexer,&'a str,counter.lox,,,28686600.0,ns,2070
Lexer,&'a str,counter.lox,,,29742400.0,ns,2139
Lexer,&'a str,counter.lox,,,30544700.0,ns,2208
Lexer,&'a str,counter.lox,,,31633600.0,ns,2277
Lexer,&'a str,counter.lox,,,32461900.0,ns,2346
Lexer,&'a str,counter.lox,,,33531600.0,ns,2415
Lexer,&'a str,counter.lox,,,34374300.0,ns,2484
Lexer,&'a str,counter.lox,,,36003700.0,ns,2553
Lexer,&'a str,counter.lox,,,36469700.0,ns,2622
Lexer,&'a str,counter.lox,,,37265400.0,ns,2691
Lexer,&'a str,counter.lox,,,38426500.0,ns,2760
Lexer,&'a str,counter.lox,,,39802600.0,ns,2829
Lexer,&'a str,counter.lox,,,40834900.0,ns,2898
Lexer,&'a str,counter.lox,,,41320500.0,ns,2967
Lexer,&'a str,counter.lox,,,42506800.0,ns,3036
Lexer,&'a str,counter.lox,,,43217700.0,ns,3105
Lexer,&'a str,counter.lox,,,44238200.0,ns,3174
Lexer,&'a str,counter.lox,,,45081800.0,ns,3243
Lexer,&'a str,counter.lox,,,46121800.0,ns,3312
Lexer,&'a str,counter.lox,,,47328700.0,ns,3381
Lexer,&'a str,counter.lox,,,48312800.0,ns,3450
Lexer,&'a str,counter.lox,,,49116900.0,ns,3519
Lexer,&'a str,counter.lox,,,50136900.0,ns,3588
Lexer,&'a str,counter.lox,,,50822600.0,ns,3657
Lexer,&'a str,counter.lox,,,51779700.0,ns,3726
Lexer,&'a str,counter.lox,,,52765000.0,ns,3795
Lexer,&'a str,counter.lox,,,53586500.0,ns,3864
Lexer,&'a str,counter.lox,,,54619200.0,ns,3933
Lexer,&'a str,counter.lox,,,55609200.0,ns,4002
Lexer,&'a str,counter.lox,,,56964900.0,ns,4071
Lexer,&'a str,counter.lox,,,58293200.0,ns,4140
Lexer,&'a str,counter.lox,,,58855200.0,ns,4209
Lexer,&'a str,counter.lox,,,59660200.0,ns,4278
Lexer,&'a str,counter.lox,,,60688400.0,ns,4347
Lexer,&'a str,counter.lox,,,61812900.0,ns,4416
Lexer,&'a str,counter.lox,,,63281300.0,ns,4485
Lexer,&'a str,counter.lox,,,63797700.0,ns,4554
Lexer,&'a str,counter.lox,,,65602000.0,ns,4623
Lexer,&'a str,counter.lox,,,66085300.0,ns,4692
Lexer,&'a str,counter.lox,,,67200000.0,ns,4761
Lexer,&'a str,counter.lox,,,67734500.0,ns,4830
Lexer,&'a str,counter.lox,,,68394400.0,ns,4899
Lexer,&'a str,counter.lox,,,68744500.0,ns,4968
Lexer,&'a str,counter.lox,,,70555500.0,ns,5037
Lexer,&'a str,counter.lox,,,70790700.0,ns,5106
Lexer,&'a str,counter.lox,,,72755500.0,ns,5175
Lexer,&'a str,counter.lox,,,73641500.0,ns,5244
Lexer,&'a str,counter.lox,,,74901400.0,ns,5313
Lexer,&'a str,counter.lox,,,75168600.0,ns,5382
Lexer,&'a str,counter.lox,,,76494100.0,ns,5451
Lexer,&'a str,counter.lox,,,77200500.0,ns,5520
Lexer,&'a str,counter.lox,,,78945900.0,ns,5589
Lexer,&'a str,counter.lox,,,79355600.0,ns,5658
Lexer,&'a str,counter.lox,,,80338300.0,ns,5727
Lexer,&'a str,counter.lox,,,81218900.0,ns,5796
Lexer,&'a str,counter.lox,,,81565600.0,ns,5865
Lexer,&'a str,counter.lox,,,82453900.0,ns,5934
Lexer,&'a str,counter.lox,,,83391700.0,ns,6003
Lexer,&'a str,counter.lox,,,84433200.0,ns,6072
Lexer,&'a str,counter.lox,,,85844400.0,ns,6141
Lexer,&'a str,counter.lox,,,86150900.0,ns,6210
Lexer,&'a str,counter.lox,,,87724500.0,ns,6279
Lexer,&'a str,counter.lox,,,88154700.0,ns,6348
Lexer,&'a str,counter.lox,,,90029100.0,ns,6417
Lexer,&'a str,counter.lox,,,91838700.0,ns,6486
Lexer,&'a str,counter.lox,,,92034200.0,ns,6555
Lexer,&'a str,counter.lox,,,93290200.0,ns,6624
Lexer,&'a str,counter.lox,,,94164600.0,ns,6693
Lexer,&'a str,counter.lox,,,94131300.0,ns,6762
Lexer,&'a str,counter.lox,,,94966000.0,ns,6831
Lexer,&'a str,counter.lox,,,96803600.0,ns,6900
