group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,&'a str,fib.lox,,,1151500.0,ns,60
Lexer,&'a str,fib.lox,,,1860600.0,ns,120
Lexer,&'a str,fib.lox,,,2742400.0,ns,180
Lexer,&'a str,fib.lox,,,3689200.0,ns,240
Lexer,&'a str,fib.lox,,,4629000.0,ns,300
Lexer,&'a str,fib.lox,,,5593800.0,ns,360
Lexer,&'a str,fib.lox,,,6588800.0,ns,420
Lexer,&'a str,fib.lox,,,7482600.0,ns,480
Lexer,&'a str,fib.lox,,,8540000.0,ns,540
Lexer,&'a str,fib.lox,,,9413200.0,ns,600
Lexer,&'a str,fib.lox,,,10452600.0,ns,660
Lexer,&'a str,fib.lox,,,11474400.0,ns,720
Lexer,&'a str,fib.lox,,,12446300.0,ns,780
Lexer,&'a str,fib.lox,,,13435500.0,ns,840
Lexer,&'a str,fib.lox,,,14337100.0,ns,900
Lexer,&'a str,fib.lox,,,15164400.0,ns,960
Lexer,&'a str,fib.lox,,,16055000.0,ns,1020
Lexer,&'a str,fib.lox,,,16938700.0,ns,1080
Lexer,&'a str,fib.lox,,,18159000.0,ns,1140
Lexer,&'a str,fib.lox,,,19170300.0,ns,1200
Lexer,&'a str,fib.lox,,,20009000.0,ns,1260
Lexer,&'a str,fib.lox,,,20829700.0,ns,1320
Lexer,&'a str,fib.lox,,,21724300.0,ns,1380
Lexer,&'a str,fib.lox,,,22651800.0,ns,1440
Lexer,&'a str,fib.lox,,,23953100.0,ns,1500
Lexer,&'a str,fib.lox,,,24887600.0,ns,1560
Lexer,&'a str,fib.lox,,,25835400.0,ns,1620
Lexer,&'a str,fib.lox,,,26572400.0,ns,1680
Lexer,&'a str,fib.lox,,,27452700.0,ns,1740
Lexer,&'a str,fib.lox,,,28411600.0,ns,1800
Lexer,&'a str,fib.lox,,,29297100.0,ns,1860
Lexer,&'a str,fib.lox,,,30216900.0,ns,1920
Lexer,&'a str,fib.lox,,,31170500.0,ns,1980
Lexer,&'a str,fib.lox,,,32633000.0,ns,2040
Lexer,&'a str,fib.lox,,,32967400.0,ns,2100
Lexer,&'a str,fib.lox,,,34186700.0,ns,2160
Lexer,&'a str,fib.lox,,,34884500.0,ns,2220
Lexer,&'a str,fib.lox,,,35891000.0,ns,2280
Lexer,&'a str,fib.lox,,,40289400.0,ns,2340
Lexer,&'a str,fib.lox,,,37654100.0,ns,2400
Lexer,&'a str,fib.lox,,,38830400.0,ns,2460
Lexer,&'a str,fib.lox,,,39621900.0,ns,2520
Lexer,&'a str,fib.lox,,,40550400.0,ns,2580
Lexer,&'a str,fib.lox,,,41175600.0,ns,2640
Lexer,&'a str,fib.lox,,,42195300.0,ns,2700
Lexer,&'a str,fib.lox,,,43479500.0,ns,2760
Lexer,&'a str,fib.lox,,,44240600.0,ns,2820
Lexer,&'a str,fib.lox,,,45060300.0,ns,2880
Lexer,&'a str,fib.lox,,,46056300.0,ns,2940
Lexer,&'a str,fib.lox,,,47056000.0,ns,3000
Lexer,&'a str,fib.lox,,,47726400.0,ns,3060
Lexer,&'a str,fib.lox,,,49142000.0,ns,3120
Lexer,&'a str,fib.lox,,,50413500.0,ns,3180
Lexer,&'a str,fib.lox,,,50815900.0,ns,3240
Lexer,&'a str,fib.lox,,,52024300.0,ns,3300
Lexer,&'a str,fib.lox,,,52480200.0,ns,3360
Lexer,&'a str,fib.lox,,,53971200.0,ns,3420
Lexer,&'a str,fib.lox,,,54956000.0,ns,3480
Lexer,&'a str,fib.lox,,,55803300.0,ns,3540
Lexer,&'a str,fib.lox,,,57247900.0,ns,3600
Lexer,&'a str,fib.lox,,,57446200.0,ns,3660
Lexer,&'a str,fib.lox,,,58493200.0,ns,3720
Lexer,&'a str,fib.lox,,,59780300.0,ns,3780
Lexer,&'a str,fib.lox,,,60820500.0,ns,3840
Lexer,&'a str,fib.lox,,,61258700.0,ns,3900
Lexer,&'a str,fib.lox,,,62252700.0,ns,3960
Lexer,&'a str,fib.lox,,,63264700.0,ns,4020
Lexer,&'a str,fib.lox,,,64124200.0,ns,4080
Lexer,&'a str,fib.lox,,,65438700.0,ns,4140
Lexer,&'a str,fib.lox,,,66179500.0,ns,4200
Lexer,&'a str,fib.lox,,,66904700.0,ns,4260
Lexer,&'a str,fib.lox,,,68397900.0,ns,4320
Lexer,&'a str,fib.lox,,,69265700.0,ns,4380
Lexer,&'a str,fib.lox,,,70015100.0,ns,4440
Lexer,&'a str,fib.lox,,,70810900.0,ns,4500
Lexer,&'a str,fib.lox,,,71947800.0,ns,4560
Lexer,&'a str,fib.lox,,,72915900.0,ns,4620
Lexer,&'a str,fib.lox,,,73366000.0,ns,4680
Lexer,&'a str,fib.lox,,,74470600.0,ns,4740
Lexer,&'a str,fib.lox,,,74968800.0,ns,4800
Lexer,&'a str,fib.lox,,,75865200.0,ns,4860
Lexer,&'a str,fib.lox,,,76806900.0,ns,4920
Lexer,&'a str,fib.lox,,,78278000.0,ns,4980
Lexer,&'a str,fib.lox,,,79500600.0,ns,5040
Lexer,&'a str,fib.lox,,,80100100.0,ns,5100
Lexer,&'a str,fib.lox,,,81466000.0,ns,5160
Lexer,&'a str,fib.lox,,,82649300.0,ns,5220
Lexer,&'a str,fib.lox,,,83688300.0,ns,5280
Lexer,&'a str,fib.lox,,,83826300.0,ns,5340
Lexer,&'a str,fib.lox,,,85056700.0,ns,5400
Lexer,&'a str,fib.lox,,,85988600.0,ns,5460
Lexer,&'a str,fib.lox,,,86496800.0,ns,5520
Lexer,&'a str,fib.lox,,,88088100.0,ns,5580
Lexer,&'a str,fib.lox,,,88311400.0,ns,5640
Lexer,&'a str,fib.lox,,,88931200.0,ns,5700
Lexer,&'a str,fib.lox,,,90572500.0,ns,5760
Lexer,&'a str,fib.lox,,,91603300.0,ns,5820
Lexer,&'a str,fib.lox,,,93411800.0,ns,5880
Lexer,&'a str,fib.lox,,,93687500.0,ns,5940
Lexer,&'a str,fib.lox,,,94615000.0,ns,6000
