group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,&'a str,fizzbuzz1.lox,,,1059000.0,ns,22
Lexer,&'a str,fizzbuzz1.lox,,,1955400.0,ns,44
Lexer,&'a str,fizzbuzz1.lox,,,2867400.0,ns,66
Lexer,&'a str,fizzbuzz1.lox,,,3854500.0,ns,88
Lexer,&'a str,fizzbuzz1.lox,,,4840200.0,ns,110
Lexer,&'a str,fizzbuzz1.lox,,,5836000.0,ns,132
Lexer,&'a str,fizzbuzz1.lox,,,6783100.0,ns,154
Lexer,&'a str,fizzbuzz1.lox,,,7689900.0,ns,176
Lexer,&'a str,fizzbuzz1.lox,,,8660500.0,ns,198
Lexer,&'a str,fizzbuzz1.lox,,,9670500.0,ns,220
Lexer,&'a str,fizzbuzz1.lox,,,12685200.0,ns,242
Lexer,&'a str,fizzbuzz1.lox,,,13066700.0,ns,264
Lexer,&'a str,fizzbuzz1.lox,,,12715100.0,ns,286
Lexer,&'a str,fizzbuzz1.lox,,,13507600.0,ns,308
Lexer,&'a str,fizzbuzz1.lox,,,14513100.0,ns,330
Lexer,&'a str,fizzbuzz1.lox,,,15393700.0,ns,352
Lexer,&'a str,fizzbuzz1.lox,,,16405000.0,ns,374
Lexer,&'a str,fizzbuzz1.lox,,,17375300.0,ns,396
Lexer,&'a str,fizzbuzz1.lox,,,18498800.0,ns,418
Lexer,&'a str,fizzbuzz1.lox,,,19491200.0,ns,440
Lexer,&'a str,fizzbuzz1.lox,,,20360400.0,ns,462
Lexer,&'a str,fizzbuzz1.lox,,,21350400.0,ns,484
Lexer,&'a str,fizzbuzz1.lox,,,22323100.0,ns,506
Lexer,&'a str,fizzbuzz1.lox,,,23490900.0,ns,528
Lexer,&'a str,fizzbuzz1.lox,,,24177500.0,ns,550
Lexer,&'a str,fizzbuzz1.lox,,,25148700.0,ns,572
Lexer,&'a str,fizzbuzz1.lox,,,26013600.0,ns,594
Lexer,&'a str,fizzbuzz1.lox,,,27518700.0,ns,616
Lexer,&'a str,fizzbuzz1.lox,,,28489600.0,ns,638
Lexer,&'a str,fizzbuzz1.lox,,,29491700.0,ns,660
Lexer,&'a str,fizzbuzz1.lox,,,30445400.0,ns,682
Lexer,&'a str,fizzbuzz1.lox,,,31343800.0,ns,704
Lexer,&'a str,fizzbuzz1.lox,,,32012800.0,ns,726
Lexer,&'a str,fizzbuzz1.lox,,,32756900.0,ns,748
Lexer,&'a str,fizzbuzz1.lox,,,33452200.0,ns,770
Lexer,&'a str,fizzbuzz1.lox,,,34561900.0,ns,792
Lexer,&'a str,fizzbuzz1.lox,,,35368200.0,ns,814
Lexer,&'a str,fizzbuzz1.lox,,,36588200.0,ns,836
Lexer,&'a str,fizzbuzz1.lox,,,37825300.0,ns,858
Lexer,&'a str,fizzbuzz1.lox,,,38456100.0,ns,880
Lexer,&'a str,fizzbuzz1.lox,,,39877300.0,ns,902
Lexer,&'a str,fizzbuzz1.lox,,,40911100.0,ns,924
Lexer,&'a str,fizzbuzz1.lox,,,41421400.0,ns,946
Lexer,&'a str,fizzbuzz1.lox,,,42314800.0,ns,968
Lexer,&'a str,fizzbuzz1.lox,,,43020600.0,ns,990
Lexer,&'a str,fizzbuzz1.lox,,,44528100.0,ns,1012
Lexer,&'a str,fizzbuzz1.lox,,,48951000.0,ns,1034
Lexer,&'a str,fizzbuzz1.lox,,,47030200.0,ns,1056
Lexer,&'a str,fizzbuzz1.lox,,,48007100.0,ns,1078
Lexer,&'a str,fizzbuzz1.lox,,,49358800.0,ns,1100
Lexer,&'a str,fizzbuzz1.lox,,,50170800.0,ns,1122
Lexer,&'a str,fizzbuzz1.lox,,,50650400.0,ns,1144
Lexer,&'a str,fizzbuzz1.lox,,,51409900.0,ns,1166
Lexer,&'a str,fizzbuzz1.lox,,,52932000.0,ns,1188
Lexer,&'a str,fizzbuzz1.lox,,,53550300.0,ns,1210
Lexer,&'a str,fizzbuzz1.lox,,,53854800.0,ns,1232
Lexer,&'a str,fizzbuzz1.lox,,,54808200.0,ns,1254
Lexer,&'a str,fizzbuzz1.lox,,,56134700.0,ns,1276
Lexer,&'a str,fizzbuzz1.lox,,,57192100.0,ns,1298
Lexer,&'a str,fizzbuzz1.lox,,,58553600.0,ns,1320
Lexer,&'a str,fizzbuzz1.lox,,,59143800.0,ns,1342
Lexer,&'a str,fizzbuzz1.lox,,,60157000.0,ns,1364
Lexer,&'a str,fizzbuzz1.lox,,,61434200.0,ns,1386
Lexer,&'a str,fizzbuzz1.lox,,,62308300.0,ns,1408
Lexer,&'a str,fizzbuzz1.lox,,,63573300.0,ns,1430
Lexer,&'a str,fizzbuzz1.lox,,,64109200.0,ns,1452
Lexer,&'a str,fizzbuzz1.lox,,,65617900.0,ns,1474
Lexer,&'a str,fizzbuzz1.lox,,,66913300.0,ns,1496
Lexer,&'a str,fizzbuzz1.lox,,,67295300.0,ns,1518
Lexer,&'a str,fizzbuzz1.lox,,,67987500.0,ns,1540
Lexer,&'a str,fizzbuzz1.lox,,,69063200.0,ns,1562
Lexer,&'a str,fizzbuzz1.lox,,,70392500.0,ns,1584
Lexer,&'a str,fizzbuzz1.lox,,,70971800.0,ns,1606
Lexer,&'a str,fizzbuzz1.lox,,,72083100.0,ns,1628
Lexer,&'a str,fizzbuzz1.lox,,,73754600.0,ns,1650
Lexer,&'a str,fizzbuzz1.lox,,,73608000.0,ns,1672
Lexer,&'a str,fizzbuzz1.lox,,,75306100.0,ns,1694
Lexer,&'a str,fizzbuzz1.lox,,,75859300.0,ns,1716
Lexer,&'a str,fizzbuzz1.lox,,,76378000.0,ns,1738
Lexer,&'a str,fizzbuzz1.lox,,,77903400.0,ns,1760
Lexer,&'a str,fizzbuzz1.lox,,,78660800.0,ns,1782
Lexer,&'a str,fizzbuzz1.lox,,,79781400.0,ns,1804
Lexer,&'a str,fizzbuzz1.lox,,,81283200.0,ns,1826
Lexer,&'a str,fizzbuzz1.lox,,,82978600.0,ns,1848
Lexer,&'a str,fizzbuzz1.lox,,,82653800.0,ns,1870
Lexer,&'a str,fizzbuzz1.lox,,,83215000.0,ns,1892
Lexer,&'a str,fizzbuzz1.lox,,,84661700.0,ns,1914
Lexer,&'a str,fizzbuzz1.lox,,,85480100.0,ns,1936
Lexer,&'a str,fizzbuzz1.lox,,,87288500.0,ns,1958
Lexer,&'a str,fizzbuzz1.lox,,,86803600.0,ns,1980
Lexer,&'a str,fizzbuzz1.lox,,,88710500.0,ns,2002
Lexer,&'a str,fizzbuzz1.lox,,,90149600.0,ns,2024
Lexer,&'a str,fizzbuzz1.lox,,,91116600.0,ns,2046
Lexer,&'a str,fizzbuzz1.lox,,,91401500.0,ns,2068
Lexer,&'a str,fizzbuzz1.lox,,,92973400.0,ns,2090
Lexer,&'a str,fizzbuzz1.lox,,,93382600.0,ns,2112
Lexer,&'a str,fizzbuzz1.lox,,,93102200.0,ns,2134
Lexer,&'a str,fizzbuzz1.lox,,,94617300.0,ns,2156
Lexer,&'a str,fizzbuzz1.lox,,,96136600.0,ns,2178
Lexer,&'a str,fizzbuzz1.lox,,,97317000.0,ns,2200
