group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,&'a str,forloop.lox,,,1073200.0,ns,221
Lexer,&'a str,forloop.lox,,,1828400.0,ns,442
Lexer,&'a str,forloop.lox,,,2658800.0,ns,663
Lexer,&'a str,forloop.lox,,,3570700.0,ns,884
Lexer,&'a str,forloop.lox,,,4492900.0,ns,1105
Lexer,&'a str,forloop.lox,,,5429400.0,ns,1326
Lexer,&'a str,forloop.lox,,,6430500.0,ns,1547
Lexer,&'a str,forloop.lox,,,7424600.0,ns,1768
Lexer,&'a str,forloop.lox,,,8495700.0,ns,1989
Lexer,&'a str,forloop.lox,,,9450700.0,ns,2210
Lexer,&'a str,forloop.lox,,,10196700.0,ns,2431
Lexer,&'a str,forloop.lox,,,11057700.0,ns,2652
Lexer,&'a str,forloop.lox,,,12029700.0,ns,2873
Lexer,&'a str,forloop.lox,,,12904700.0,ns,3094
Lexer,&'a str,forloop.lox,,,13733400.0,ns,3315
Lexer,&'a str,forloop.lox,,,14640400.0,ns,3536
Lexer,&'a str,forloop.lox,,,15515400.0,ns,3757
Lexer,&'a str,forloop.lox,,,16546300.0,ns,3978
Lexer,&'a str,forloop.lox,,,17671100.0,ns,4199
Lexer,&'a str,forloop.lox,,,18512500.0,ns,4420
Lexer,&'a str,forloop.lox,,,19419400.0,ns,4641
Lexer,&'a str,forloop.lox,,,20373600.0,ns,4862
Lexer,&'a str,forloop.lox,,,21016500.0,ns,5083
Lexer,&'a str,forloop.lox,,,22184900.0,ns,5304
Lexer,&'a str,forloop.lox,,,23235500.0,ns,5525
Lexer,&'a str,forloop.lox,,,23838600.0,ns,5746
Lexer,&'a str,forloop.lox,,,24623300.0,ns,5967
Lexer,&'a str,forloop.lox,,,25727600.0,ns,6188
Lexer,&'a str,forloop.lox,,,26375000.0,ns,6409
Lexer,&'a str,forloop.lox,,,27544100.0,ns,6630
Lexer,&'a str,forloop.lox,,,31680200.0,ns,6851
Lexer,&'a str,forloop.lox,,,29567500.0,ns,7072
Lexer,&'a str,forloop.lox,,,30288100.0,ns,7293
Lexer,&'a str,forloop.lox,,,31257300.0,ns,7514
Lexer,&'a str,forloop.lox,,,31996500.0,ns,7735
Lexer,&'a str,forloop.lox,,,32902200.0,ns,7956
Lexer,&'a str,forloop.lox,,,33802100.0,ns,8177
Lexer,&'a str,forloop.lox,,,35040600.0,ns,8398
Lexer,&'a str,forloop.lox,,,36029800.0,ns,8619
Lexer,&'a str,forloop.lox,,,37489700.0,ns,8840
Lexer,&'a str,forloop.lox,,,37646800.0,ns,9061
