group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,&'a str,fun-expressions.lox,,,975100.0,ns,82
Lexer,&'a str,fun-expressions.lox,,,1944800.0,ns,164
Lexer,&'a str,fun-expressions.lox,,,2905300.0,ns,246
Lexer,&'a str,fun-expressions.lox,,,3876300.0,ns,328
Lexer,&'a str,fun-expressions.lox,,,4802000.0,ns,410
Lexer,&'a str,fun-expressions.lox,,,5772600.0,ns,492
Lexer,&'a str,fun-expressions.lox,,,6928400.0,ns,574
Lexer,&'a str,fun-expressions.lox,,,7799300.0,ns,656
Lexer,&'a str,fun-expressions.lox,,,8745600.0,ns,738
Lexer,&'a str,fun-expressions.lox,,,9709100.0,ns,820
Lexer,&'a str,fun-expressions.lox,,,10708200.0,ns,902
Lexer,&'a str,fun-expressions.lox,,,11640900.0,ns,984
Lexer,&'a str,fun-expressions.lox,,,12619000.0,ns,1066
Lexer,&'a str,fun-expressions.lox,,,13562400.0,ns,1148
Lexer,&'a str,fun-expressions.lox,,,14454400.0,ns,1230
Lexer,&'a str,fun-expressions.lox,,,15413700.0,ns,1312
Lexer,&'a str,fun-expressions.lox,,,16381600.0,ns,1394
Lexer,&'a str,fun-expressions.lox,,,17522200.0,ns,1476
Lexer,&'a str,fun-expressions.lox,,,18694800.0,ns,1558
Lexer,&'a str,fun-expressions.lox,,,19680300.0,ns,1640
Lexer,&'a str,fun-expressions.lox,,,20612900.0,ns,1722
Lexer,&'a str,fun-expressions.lox,,,21675100.0,ns,1804
Lexer,&'a str,fun-expressions.lox,,,22491200.0,ns,1886
Lexer,&'a str,fun-expressions.lox,,,23477500.0,ns,1968
Lexer,&'a str,fun-expressions.lox,,,24366900.0,ns,2050
Lexer,&'a str,fun-expressions.lox,,,25151600.0,ns,2132
Lexer,&'a str,fun-expressions.lox,,,26609500.0,ns,2214
Lexer,&'a str,fun-expressions.lox,,,27234200.0,ns,2296
Lexer,&'a str,fun-expressions.lox,,,28673200.0,ns,2378
Lexer,&'a str,fun-expressions.lox,,,29650400.0,ns,2460
Lexer,&'a str,fun-expressions.lox,,,30589000.0,ns,2542
Lexer,&'a str,fun-expressions.lox,,,31457600.0,ns,2624
Lexer,&'a str,fun-expressions.lox,,,32311500.0,ns,2706
Lexer,&'a str,fun-expressions.lox,,,33656300.0,ns,2788
Lexer,&'a str,fun-expressions.lox,,,33589700.0,ns,2870
Lexer,&'a str,fun-expressions.lox,,,34733300.0,ns,2952
Lexer,&'a str,fun-expressions.lox,,,36130500.0,ns,3034
Lexer,&'a str,fun-expressions.lox,,,37039200.0,ns,3116
Lexer,&'a str,fun-expressions.lox,,,37998500.0,ns,3198
Lexer,&'a str,fun-expressions.lox,,,38660800.0,ns,3280
Lexer,&'a str,fun-expressions.lox,,,39454700.0,ns,3362
Lexer,&'a str,fun-expressions.lox,,,40622400.0,ns,3444
Lexer,&'a str,fun-expressions.lox,,,41451300.0,ns,3526
Lexer,&'a str,fun-expressions.lox,,,42238900.0,ns,3608
Lexer,&'a str,fun-expressions.lox,,,43465900.0,ns,3690
Lexer,&'a str,fun-expressions.lox,,,44429300.0,ns,3772
Lexer,&'a str,fun-expressions.lox,,,45501900.0,ns,3854
Lexer,&'a str,fun-expressions.lox,,,46256800.0,ns,3936
Lexer,&'a str,fun-expressions.lox,,,47745900.0,ns,4018
Lexer,&'a str,fun-expressions.lox,,,48700800.0,ns,4100
Lexer,&'a str,fun-expressions.lox,,,49653100.0,ns,4182
Lexer,&'a str,fun-expressions.lox,,,50257000.0,ns,4264
Lexer,&'a str,fun-expressions.lox,,,51533400.0,ns,4346
Lexer,&'a str,fun-expressions.lox,,,52084100.0,ns,4428
Lexer,&'a str,fun-expressions.lox,,,53729200.0,ns,4510
Lexer,&'a str,fun-expressions.lox,,,55058200.0,ns,4592
Lexer,&'a str,fun-expressions.lox,,,55230600.0,ns,4674
Lexer,&'a str,fun-expressions.lox,,,55970300.0,ns,4756
Lexer,&'a str,fun-expressions.lox,,,57421700.0,ns,4838
Lexer,&'a str,fun-expressions.lox,,,58032500.0,ns,4920
Lexer,&'a str,fun-expressions.lox,,,59241300.0,ns,5002
Lexer,&'a str,fun-expressions.lox,,,59779400.0,ns,5084
Lexer,&'a str,fun-expressions.lox,,,61069900.0,ns,5166
Lexer,&'a str,fun-expressions.lox,,,61585200.0,ns,5248
Lexer,&'a str,fun-expressions.lox,,,62655200.0,ns,5330
Lexer,&'a str,fun-expressions.lox,,,64631600.0,ns,5412
Lexer,&'a str,fun-expressions.lox,,,65511900.0,ns,5494
Lexer,&'a str,fun-expressions.lox,,,66078800.0,ns,5576
Lexer,&'a str,fun-expressions.lox,,,66612200.0,ns,5658
Lexer,&'a str,fun-expressions.lox,,,67976900.0,ns,5740
Lexer,&'a str,fun-expressions.lox,,,68300500.0,ns,5822
Lexer,&'a str,fun-expressions.lox,,,70946500.0,ns,5904
Lexer,&'a str,fun-expressions.lox,,,71898200.0,ns,5986
Lexer,&'a str,fun-expressions.lox,,,71995100.0,ns,6068
Lexer,&'a str,fun-expressions.lox,,,73543900.0,ns,6150
Lexer,&'a str,fun-expressions.lox,,,74277400.0,ns,6232
Lexer,&'a str,fun-expressions.lox,,,76269200.0,ns,6314
Lexer,&'a str,fun-expressions.lox,,,76069300.0,ns,6396
Lexer,&'a str,fun-expressions.lox,,,76826300.0,ns,6478
Lexer,&'a str,fun-expressions.lox,,,77697400.0,ns,6560
Lexer,&'a str,fun-expressions.lox,,,80084100.0,ns,6642
Lexer,&'a str,fun-expressions.lox,,,79824700.0,ns,6724
Lexer,&'a str,fun-expressions.lox,,,81097700.0,ns,6806
Lexer,&'a str,fun-expressions.lox,,,82135900.0,ns,6888
Lexer,&'a str,fun-expressions.lox,,,83462800.0,ns,6970
Lexer,&'a str,fun-expressions.lox,,,84271500.0,ns,7052
Lexer,&'a str,fun-expressions.lox,,,86074400.0,ns,7134
Lexer,&'a str,fun-expressions.lox,,,89056400.0,ns,7216
Lexer,&'a str,fun-expressions.lox,,,87069400.0,ns,7298
Lexer,&'a str,fun-expressions.lox,,,87778200.0,ns,7380
Lexer,&'a str,fun-expressions.lox,,,89195200.0,ns,7462
Lexer,&'a str,fun-expressions.lox,,,90012100.0,ns,7544
Lexer,&'a str,fun-expressions.lox,,,91335000.0,ns,7626
Lexer,&'a str,fun-expressions.lox,,,92138000.0,ns,7708
Lexer,&'a str,fun-expressions.lox,,,92639600.0,ns,7790
Lexer,&'a str,fun-expressions.lox,,,93377400.0,ns,7872
Lexer,&'a str,fun-expressions.lox,,,96453100.0,ns,7954
Lexer,&'a str,fun-expressions.lox,,,97059400.0,ns,8036
Lexer,&'a str,fun-expressions.lox,,,97318900.0,ns,8118
Lexer,&'a str,fun-expressions.lox,,,98859400.0,ns,8200
