group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,&'a str,fun.lox,,,1175200.0,ns,24
Lexer,&'a str,fun.lox,,,1881000.0,ns,48
Lexer,&'a str,fun.lox,,,2685400.0,ns,72
Lexer,&'a str,fun.lox,,,3626700.0,ns,96
Lexer,&'a str,fun.lox,,,6407200.0,ns,120
Lexer,&'a str,fun.lox,,,6995800.0,ns,144
Lexer,&'a str,fun.lox,,,6586000.0,ns,168
Lexer,&'a str,fun.lox,,,7577400.0,ns,192
Lexer,&'a str,fun.lox,,,8565700.0,ns,216
Lexer,&'a str,fun.lox,,,9528500.0,ns,240
Lexer,&'a str,fun.lox,,,10672500.0,ns,264
Lexer,&'a str,fun.lox,,,11543800.0,ns,288
Lexer,&'a str,fun.lox,,,12439200.0,ns,312
Lexer,&'a str,fun.lox,,,13197900.0,ns,336
Lexer,&'a str,fun.lox,,,14141200.0,ns,360
Lexer,&'a str,fun.lox,,,15022400.0,ns,384
Lexer,&'a str,fun.lox,,,15853300.0,ns,408
Lexer,&'a str,fun.lox,,,16771300.0,ns,432
Lexer,&'a str,fun.lox,,,17696000.0,ns,456
Lexer,&'a str,fun.lox,,,18652700.0,ns,480
Lexer,&'a str,fun.lox,,,19711600.0,ns,504
Lexer,&'a str,fun.lox,,,20667300.0,ns,528
Lexer,&'a str,fun.lox,,,21656200.0,ns,552
Lexer,&'a str,fun.lox,,,22583600.0,ns,576
Lexer,&'a str,fun.lox,,,23510100.0,ns,600
Lexer,&'a str,fun.lox,,,24158300.0,ns,624
Lexer,&'a str,fun.lox,,,24984300.0,ns,648
Lexer,&'a str,fun.lox,,,25909200.0,ns,672
Lexer,&'a str,fun.lox,,,26749500.0,ns,696
Lexer,&'a str,fun.lox,,,27614700.0,ns,720
Lexer,&'a str,fun.lox,,,28680900.0,ns,744
Lexer,&'a str,fun.lox,,,29662400.0,ns,768
Lexer,&'a str,fun.lox,,,30517100.0,ns,792
Lexer,&'a str,fun.lox,,,31340200.0,ns,816
Lexer,&'a str,fun.lox,,,32575100.0,ns,840
Lexer,&'a str,fun.lox,,,33940300.0,ns,864
Lexer,&'a str,fun.lox,,,34817700.0,ns,888
Lexer,&'a str,fun.lox,,,35468800.0,ns,912
Lexer,&'a str,fun.lox,,,36401800.0,ns,936
Lexer,&'a str,fun.lox,,,37215300.0,ns,960
Lexer,&'a str,fun.lox,,,37639400.0,ns,984
Lexer,&'a str,fun.lox,,,39698900.0,ns,1008
