group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,Rc<str>,fib.lox,,,932800.0,ns,33
Lexer,Rc<str>,fib.lox,,,1874400.0,ns,66
Lexer,Rc<str>,fib.lox,,,2826400.0,ns,99
Lexer,Rc<str>,fib.lox,,,3786400.0,ns,132
Lexer,Rc<str>,fib.lox,,,4665000.0,ns,165
Lexer,Rc<str>,fib.lox,,,5632100.0,ns,198
Lexer,Rc<str>,fib.lox,,,6753000.0,ns,231
Lexer,Rc<str>,fib.lox,,,7556000.0,ns,264
Lexer,Rc<str>,fib.lox,,,8466300.0,ns,297
Lexer,Rc<str>,fib.lox,,,9463100.0,ns,330
Lexer,Rc<str>,fib.lox,,,10386500.0,ns,363
Lexer,Rc<str>,fib.lox,,,11319600.0,ns,396
Lexer,Rc<str>,fib.lox,,,12312100.0,ns,429
Lexer,Rc<str>,fib.lox,,,13293400.0,ns,462
Lexer,Rc<str>,fib.lox,,,14113100.0,ns,495
Lexer,Rc<str>,fib.lox,,,15163900.0,ns,528
Lexer,Rc<str>,fib.lox,,,15976400.0,ns,561
Lexer,Rc<str>,fib.lox,,,16966100.0,ns,594
Lexer,Rc<str>,fib.lox,,,17822300.0,ns,627
Lexer,Rc<str>,fib.lox,,,18761100.0,ns,660
Lexer,Rc<str>,fib.lox,,,19759000.0,ns,693
Lexer,Rc<str>,fib.lox,,,21266700.0,ns,726
Lexer,Rc<str>,fib.lox,,,22052900.0,ns,759
Lexer,Rc<str>,fib.lox,,,22563800.0,ns,792
Lexer,Rc<str>,fib.lox,,,23552700.0,ns,825
Lexer,Rc<str>,fib.lox,,,24432600.0,ns,858
Lexer,Rc<str>,fib.lox,,,25314200.0,ns,891
Lexer,Rc<str>,fib.lox,,,26241800.0,ns,924
Lexer,Rc<str>,fib.lox,,,27379800.0,ns,957
Lexer,Rc<str>,fib.lox,,,28051300.0,ns,990
Lexer,Rc<str>,fib.lox,,,29070000.0,ns,1023
Lexer,Rc<str>,fib.lox,,,33939800.0,ns,1056
Lexer,Rc<str>,fib.lox,,,30915400.0,ns,1089
Lexer,Rc<str>,fib.lox,,,31778700.0,ns,1122
Lexer,Rc<str>,fib.lox,,,32822600.0,ns,1155
Lexer,Rc<str>,fib.lox,,,33581300.0,ns,1188
Lexer,Rc<str>,fib.lox,,,34593200.0,ns,1221
Lexer,Rc<str>,fib.lox,,,35454600.0,ns,1254
Lexer,Rc<str>,fib.lox,,,36366800.0,ns,1287
Lexer,Rc<str>,fib.lox,,,37302500.0,ns,1320
Lexer,Rc<str>,fib.lox,,,38205200.0,ns,1353
Lexer,Rc<str>,fib.lox,,,39214700.0,ns,1386
Lexer,Rc<str>,fib.lox,,,40086900.0,ns,1419
Lexer,Rc<str>,fib.lox,,,40996400.0,ns,1452
Lexer,Rc<str>,fib.lox,,,42102800.0,ns,1485
Lexer,Rc<str>,fib.lox,,,43092200.0,ns,1518
Lexer,Rc<str>,fib.lox,,,44245300.0,ns,1551
Lexer,Rc<str>,fib.lox,,,45016700.0,ns,1584
Lexer,Rc<str>,fib.lox,,,46029400.0,ns,1617
Lexer,Rc<str>,fib.lox,,,46824700.0,ns,1650
Lexer,Rc<str>,fib.lox,,,47557400.0,ns,1683
