group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,Rc<str>,fizzbuzz1.lox,,,1037400.0,ns,13
Lexer,Rc<str>,fizzbuzz1.lox,,,2038600.0,ns,26
Lexer,Rc<str>,fizzbuzz1.lox,,,3039400.0,ns,39
Lexer,Rc<str>,fizzbuzz1.lox,,,4063900.0,ns,52
Lexer,Rc<str>,fizzbuzz1.lox,,,5230200.0,ns,65
Lexer,Rc<str>,fizzbuzz1.lox,,,6086800.0,ns,78
Lexer,Rc<str>,fizzbuzz1.lox,,,7118100.0,ns,91
Lexer,Rc<str>,fizzbuzz1.lox,,,8280400.0,ns,104
Lexer,Rc<str>,fizzbuzz1.lox,,,9283300.0,ns,117
Lexer,Rc<str>,fizzbuzz1.lox,,,10367500.0,ns,130
Lexer,Rc<str>,fizzbuzz1.lox,,,11271400.0,ns,143
Lexer,Rc<str>,fizzbuzz1.lox,,,12240700.0,ns,156
Lexer,Rc<str>,fizzbuzz1.lox,,,13179400.0,ns,169
Lexer,Rc<str>,fizzbuzz1.lox,,,14184300.0,ns,182
Lexer,Rc<str>,fizzbuzz1.lox,,,15363200.0,ns,195
Lexer,Rc<str>,fizzbuzz1.lox,,,16228000.0,ns,208
Lexer,Rc<str>,fizzbuzz1.lox,,,17173800.0,ns,221
Lexer,Rc<str>,fizzbuzz1.lox,,,18133300.0,ns,234
Lexer,Rc<str>,fizzbuzz1.lox,,,19435400.0,ns,247
Lexer,Rc<str>,fizzbuzz1.lox,,,20289500.0,ns,260
Lexer,Rc<str>,fizzbuzz1.lox,,,21583900.0,ns,273
Lexer,Rc<str>,fizzbuzz1.lox,,,22365800.0,ns,286
Lexer,Rc<str>,fizzbuzz1.lox,,,23274900.0,ns,299
Lexer,Rc<str>,fizzbuzz1.lox,,,24119900.0,ns,312
Lexer,Rc<str>,fizzbuzz1.lox,,,25343600.0,ns,325
Lexer,Rc<str>,fizzbuzz1.lox,,,26297500.0,ns,338
Lexer,Rc<str>,fizzbuzz1.lox,,,27391800.0,ns,351
Lexer,Rc<str>,fizzbuzz1.lox,,,28323500.0,ns,364
Lexer,Rc<str>,fizzbuzz1.lox,,,29449100.0,ns,377
Lexer,Rc<str>,fizzbuzz1.lox,,,30333600.0,ns,390
Lexer,Rc<str>,fizzbuzz1.lox,,,31511700.0,ns,403
Lexer,Rc<str>,fizzbuzz1.lox,,,32469400.0,ns,416
Lexer,Rc<str>,fizzbuzz1.lox,,,33484100.0,ns,429
Lexer,Rc<str>,fizzbuzz1.lox,,,34484800.0,ns,442
Lexer,Rc<str>,fizzbuzz1.lox,,,35594400.0,ns,455
Lexer,Rc<str>,fizzbuzz1.lox,,,36536700.0,ns,468
Lexer,Rc<str>,fizzbuzz1.lox,,,37454600.0,ns,481
Lexer,Rc<str>,fizzbuzz1.lox,,,38569500.0,ns,494
Lexer,Rc<str>,fizzbuzz1.lox,,,39544100.0,ns,507
Lexer,Rc<str>,fizzbuzz1.lox,,,40467200.0,ns,520
Lexer,Rc<str>,fizzbuzz1.lox,,,41480000.0,ns,533
Lexer,Rc<str>,fizzbuzz1.lox,,,42623100.0,ns,546
