group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,Rc<str>,forloop.lox,,,963700.0,ns,133
Lexer,Rc<str>,forloop.lox,,,1906800.0,ns,266
Lexer,Rc<str>,forloop.lox,,,2870100.0,ns,399
Lexer,Rc<str>,forloop.lox,,,3803900.0,ns,532
Lexer,Rc<str>,forloop.lox,,,4736000.0,ns,665
Lexer,Rc<str>,forloop.lox,,,5616900.0,ns,798
Lexer,Rc<str>,forloop.lox,,,6525100.0,ns,931
Lexer,Rc<str>,forloop.lox,,,7590800.0,ns,1064
Lexer,Rc<str>,forloop.lox,,,8393600.0,ns,1197
Lexer,Rc<str>,forloop.lox,,,9351700.0,ns,1330
Lexer,Rc<str>,forloop.lox,,,10205900.0,ns,1463
Lexer,Rc<str>,forloop.lox,,,11289700.0,ns,1596
Lexer,Rc<str>,forloop.lox,,,12099100.0,ns,1729
Lexer,Rc<str>,forloop.lox,,,13002200.0,ns,1862
Lexer,Rc<str>,forloop.lox,,,13912900.0,ns,1995
Lexer,Rc<str>,forloop.lox,,,14935200.0,ns,2128
Lexer,Rc<str>,forloop.lox,,,15952800.0,ns,2261
Lexer,Rc<str>,forloop.lox,,,16797600.0,ns,2394
Lexer,Rc<str>,forloop.lox,,,17618000.0,ns,2527
Lexer,Rc<str>,forloop.lox,,,18668400.0,ns,2660
Lexer,Rc<str>,forloop.lox,,,19683300.0,ns,2793
Lexer,Rc<str>,forloop.lox,,,20391400.0,ns,2926
Lexer,Rc<str>,forloop.lox,,,21577900.0,ns,3059
Lexer,Rc<str>,forloop.lox,,,22307500.0,ns,3192
Lexer,Rc<str>,forloop.lox,,,23167900.0,ns,3325
Lexer,Rc<str>,forloop.lox,,,24245300.0,ns,3458
Lexer,Rc<str>,forloop.lox,,,25060500.0,ns,3591
Lexer,Rc<str>,forloop.lox,,,26118000.0,ns,3724
Lexer,Rc<str>,forloop.lox,,,27217600.0,ns,3857
Lexer,Rc<str>,forloop.lox,,,27884900.0,ns,3990
Lexer,Rc<str>,forloop.lox,,,28864000.0,ns,4123
Lexer,Rc<str>,forloop.lox,,,29819000.0,ns,4256
Lexer,Rc<str>,forloop.lox,,,30755900.0,ns,4389
Lexer,Rc<str>,forloop.lox,,,31554800.0,ns,4522
Lexer,Rc<str>,forloop.lox,,,32573800.0,ns,4655
Lexer,Rc<str>,forloop.lox,,,33361200.0,ns,4788
Lexer,Rc<str>,forloop.lox,,,34318000.0,ns,4921
Lexer,Rc<str>,forloop.lox,,,35464300.0,ns,5054
Lexer,Rc<str>,forloop.lox,,,36107700.0,ns,5187
Lexer,Rc<str>,forloop.lox,,,37177700.0,ns,5320
Lexer,Rc<str>,forloop.lox,,,37993000.0,ns,5453
