group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,&'a str,counter.lox,,,910100.0,ns,51
Parser,&'a str,counter.lox,,,1775900.0,ns,102
Parser,&'a str,counter.lox,,,2642400.0,ns,153
Parser,&'a str,counter.lox,,,3586300.0,ns,204
Parser,&'a str,counter.lox,,,4533200.0,ns,255
Parser,&'a str,counter.lox,,,5488600.0,ns,306
Parser,&'a str,counter.lox,,,6386700.0,ns,357
Parser,&'a str,counter.lox,,,7366200.0,ns,408
Parser,&'a str,counter.lox,,,8274600.0,ns,459
Parser,&'a str,counter.lox,,,9377500.0,ns,510
Parser,&'a str,counter.lox,,,10172500.0,ns,561
Parser,&'a str,counter.lox,,,11064900.0,ns,612
Parser,&'a str,counter.lox,,,11918400.0,ns,663
Parser,&'a str,counter.lox,,,12859200.0,ns,714
Parser,&'a str,counter.lox,,,13894200.0,ns,765
Parser,&'a str,counter.lox,,,14683800.0,ns,816
Parser,&'a str,counter.lox,,,15623800.0,ns,867
Parser,&'a str,counter.lox,,,16760000.0,ns,918
Parser,&'a str,counter.lox,,,17887200.0,ns,969
Parser,&'a str,counter.lox,,,18529600.0,ns,1020
Parser,&'a str,counter.lox,,,19513100.0,ns,1071
Parser,&'a str,counter.lox,,,20420600.0,ns,1122
Parser,&'a str,counter.lox,,,21423700.0,ns,1173
Parser,&'a str,counter.lox,,,22197400.0,ns,1224
Parser,&'a str,counter.lox,,,23318300.0,ns,1275
Parser,&'a str,counter.lox,,,24099700.0,ns,1326
Parser,&'a str,counter.lox,,,25190800.0,ns,1377
Parser,&'a str,counter.lox,,,28330000.0,ns,1428
Parser,&'a str,counter.lox,,,26053700.0,ns,1479
Parser,&'a str,counter.lox,,,27117700.0,ns,1530
Parser,&'a str,counter.lox,,,27826900.0,ns,1581
Parser,&'a str,counter.lox,,,28709700.0,ns,1632
Parser,&'a str,counter.lox,,,29543900.0,ns,1683
Parser,&'a str,counter.lox,,,30296300.0,ns,1734
Parser,&'a str,counter.lox,,,31170300.0,ns,1785
Parser,&'a str,counter.lox,,,32363300.0,ns,1836
Parser,&'a str,counter.lox,,,32822900.0,ns,1887
Parser,&'a str,counter.lox,,,34683300.0,ns,1938
Parser,&'a str,counter.lox,,,36041000.0,ns,1989
Parser,&'a str,counter.lox,,,36954600.0,ns,2040
Parser,&'a str,counter.lox,,,37520200.0,ns,2091
Parser,&'a str,counter.lox,,,37872200.0,ns,2142
Parser,&'a str,counter.lox,,,38627200.0,ns,2193
Parser,&'a str,counter.lox,,,39542500.0,ns,2244
Parser,&'a str,counter.lox,,,40481300.0,ns,2295
Parser,&'a str,counter.lox,,,41453700.0,ns,2346
Parser,&'a str,counter.lox,,,41114700.0,ns,2397
Parser,&'a str,counter.lox,,,41852800.0,ns,2448
Parser,&'a str,counter.lox,,,42584300.0,ns,2499
Parser,&'a str,counter.lox,,,44004300.0,ns,2550
Parser,&'a str,counter.lox,,,44517000.0,ns,2601
Parser,&'a str,counter.lox,,,45281800.0,ns,2652
Parser,&'a str,counter.lox,,,46678800.0,ns,2703
Parser,&'a str,counter.lox,,,48613900.0,ns,2754
Parser,&'a str,counter.lox,,,49723300.0,ns,2805
Parser,&'a str,counter.lox,,,50350600.0,ns,2856
Parser,&'a str,counter.lox,,,51239500.0,ns,2907
Parser,&'a str,counter.lox,,,52294500.0,ns,2958
Parser,&'a str,counter.lox,,,53062800.0,ns,3009
Parser,&'a str,counter.lox,,,53337800.0,ns,3060
Parser,&'a str,counter.lox,,,53282000.0,ns,3111
Parser,&'a str,counter.lox,,,53792400.0,ns,3162
Parser,&'a str,counter.lox,,,54660400.0,ns,3213
Parser,&'a str,counter.lox,,,55825000.0,ns,3264
Parser,&'a str,counter.lox,,,56984300.0,ns,3315
Parser,&'a str,counter.lox,,,59253600.0,ns,3366
Parser,&'a str,counter.lox,,,59848700.0,ns,3417
Parser,&'a str,counter.lox,,,60724600.0,ns,3468
Parser,&'a str,counter.lox,,,62466900.0,ns,3519
Parser,&'a str,counter.lox,,,63095900.0,ns,3570
Parser,&'a str,counter.lox,,,63327900.0,ns,3621
Parser,&'a str,counter.lox,,,63456800.0,ns,3672
Parser,&'a str,counter.lox,,,64725100.0,ns,3723
Parser,&'a str,counter.lox,,,65211400.0,ns,3774
Parser,&'a str,counter.lox,,,66153100.0,ns,3825
Parser,&'a str,counter.lox,,,68540000.0,ns,3876
Parser,&'a str,counter.lox,,,69704900.0,ns,3927
Parser,&'a str,counter.lox,,,71141900.0,ns,3978
Parser,&'a str,counter.lox,,,72136800.0,ns,4029
Parser,&'a str,counter.lox,,,72912400.0,ns,4080
Parser,&'a str,counter.lox,,,73078900.0,ns,4131
Parser,&'a str,counter.lox,,,72696000.0,ns,4182
Parser,&'a str,counter.lox,,,73990100.0,ns,4233
Parser,&'a str,counter.lox,,,74605400.0,ns,4284
Parser,&'a str,counter.lox,,,77266200.0,ns,4335
Parser,&'a str,counter.lox,,,78346200.0,ns,4386
Parser,&'a str,counter.lox,,,80056200.0,ns,4437
Parser,&'a str,counter.lox,,,80344800.0,ns,4488
Parser,&'a str,counter.lox,,,80109800.0,ns,4539
Parser,&'a str,counter.lox,,,79703000.0,ns,4590
Parser,&'a str,counter.lox,,,81265900.0,ns,4641
Parser,&'a str,counter.lox,,,81980900.0,ns,4692
Parser,&'a str,counter.lox,,,84564400.0,ns,4743
Parser,&'a str,counter.lox,,,86008400.0,ns,4794
Parser,&'a str,counter.lox,,,88270900.0,ns,4845
Parser,&'a str,counter.lox,,,88841300.0,ns,4896
Parser,&'a str,counter.lox,,,87368400.0,ns,4947
Parser,&'a str,counter.lox,,,87481600.0,ns,4998
Parser,&'a str,counter.lox,,,89269100.0,ns,5049
Parser,&'a str,counter.lox,,,90966800.0,ns,5100
