group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,&'a str,fib.lox,,,902600.0,ns,41
Parser,&'a str,fib.lox,,,1728800.0,ns,82
Parser,&'a str,fib.lox,,,2606700.0,ns,123
Parser,&'a str,fib.lox,,,3497300.0,ns,164
Parser,&'a str,fib.lox,,,4363300.0,ns,205
Parser,&'a str,fib.lox,,,5288300.0,ns,246
Parser,&'a str,fib.lox,,,6137600.0,ns,287
Parser,&'a str,fib.lox,,,6977000.0,ns,328
Parser,&'a str,fib.lox,,,7882300.0,ns,369
Parser,&'a str,fib.lox,,,8728200.0,ns,410
Parser,&'a str,fib.lox,,,9611000.0,ns,451
Parser,&'a str,fib.lox,,,10492300.0,ns,492
Parser,&'a str,fib.lox,,,11424500.0,ns,533
Parser,&'a str,fib.lox,,,12293400.0,ns,574
Parser,&'a str,fib.lox,,,13217300.0,ns,615
Parser,&'a str,fib.lox,,,14021400.0,ns,656
Parser,&'a str,fib.lox,,,14816100.0,ns,697
Parser,&'a str,fib.lox,,,15668400.0,ns,738
Parser,&'a str,fib.lox,,,16552600.0,ns,779
Parser,&'a str,fib.lox,,,17463800.0,ns,820
Parser,&'a str,fib.lox,,,18304100.0,ns,861
Parser,&'a str,fib.lox,,,19205900.0,ns,902
Parser,&'a str,fib.lox,,,20096900.0,ns,943
Parser,&'a str,fib.lox,,,20886800.0,ns,984
Parser,&'a str,fib.lox,,,21744600.0,ns,1025
Parser,&'a str,fib.lox,,,22309600.0,ns,1066
Parser,&'a str,fib.lox,,,23192100.0,ns,1107
Parser,&'a str,fib.lox,,,23990800.0,ns,1148
Parser,&'a str,fib.lox,,,24995500.0,ns,1189
Parser,&'a str,fib.lox,,,25457000.0,ns,1230
Parser,&'a str,fib.lox,,,26457600.0,ns,1271
Parser,&'a str,fib.lox,,,27331100.0,ns,1312
Parser,&'a str,fib.lox,,,28119800.0,ns,1353
Parser,&'a str,fib.lox,,,29035700.0,ns,1394
Parser,&'a str,fib.lox,,,30034700.0,ns,1435
Parser,&'a str,fib.lox,,,35905200.0,ns,1476
Parser,&'a str,fib.lox,,,32490500.0,ns,1517
Parser,&'a str,fib.lox,,,33194400.0,ns,1558
Parser,&'a str,fib.lox,,,34206800.0,ns,1599
Parser,&'a str,fib.lox,,,35015700.0,ns,1640
Parser,&'a str,fib.lox,,,35882600.0,ns,1681
Parser,&'a str,fib.lox,,,36781700.0,ns,1722
Parser,&'a str,fib.lox,,,37918700.0,ns,1763
Parser,&'a str,fib.lox,,,38835300.0,ns,1804
Parser,&'a str,fib.lox,,,39762900.0,ns,1845
Parser,&'a str,fib.lox,,,39337600.0,ns,1886
Parser,&'a str,fib.lox,,,40191400.0,ns,1927
Parser,&'a str,fib.lox,,,41184900.0,ns,1968
Parser,&'a str,fib.lox,,,41619200.0,ns,2009
Parser,&'a str,fib.lox,,,42335900.0,ns,2050
Parser,&'a str,fib.lox,,,43566300.0,ns,2091
Parser,&'a str,fib.lox,,,44884900.0,ns,2132
Parser,&'a str,fib.lox,,,46094100.0,ns,2173
Parser,&'a str,fib.lox,,,46961200.0,ns,2214
Parser,&'a str,fib.lox,,,48118300.0,ns,2255
Parser,&'a str,fib.lox,,,48675000.0,ns,2296
Parser,&'a str,fib.lox,,,50209500.0,ns,2337
Parser,&'a str,fib.lox,,,51899500.0,ns,2378
Parser,&'a str,fib.lox,,,52355000.0,ns,2419
Parser,&'a str,fib.lox,,,53129100.0,ns,2460
Parser,&'a str,fib.lox,,,53342800.0,ns,2501
Parser,&'a str,fib.lox,,,54055900.0,ns,2542
Parser,&'a str,fib.lox,,,55226300.0,ns,2583
Parser,&'a str,fib.lox,,,56631300.0,ns,2624
Parser,&'a str,fib.lox,,,59020700.0,ns,2665
Parser,&'a str,fib.lox,,,60190100.0,ns,2706
Parser,&'a str,fib.lox,,,61145700.0,ns,2747
Parser,&'a str,fib.lox,,,62110400.0,ns,2788
Parser,&'a str,fib.lox,,,62926100.0,ns,2829
Parser,&'a str,fib.lox,,,63809200.0,ns,2870
Parser,&'a str,fib.lox,,,63087600.0,ns,2911
Parser,&'a str,fib.lox,,,63005300.0,ns,2952
Parser,&'a str,fib.lox,,,63989900.0,ns,2993
Parser,&'a str,fib.lox,,,64403700.0,ns,3034
Parser,&'a str,fib.lox,,,66221100.0,ns,3075
Parser,&'a str,fib.lox,,,67649000.0,ns,3116
Parser,&'a str,fib.lox,,,69395400.0,ns,3157
Parser,&'a str,fib.lox,,,69836300.0,ns,3198
Parser,&'a str,fib.lox,,,70702000.0,ns,3239
Parser,&'a str,fib.lox,,,70840600.0,ns,3280
Parser,&'a str,fib.lox,,,70561800.0,ns,3321
Parser,&'a str,fib.lox,,,71540300.0,ns,3362
Parser,&'a str,fib.lox,,,72137900.0,ns,3403
Parser,&'a str,fib.lox,,,74520800.0,ns,3444
Parser,&'a str,fib.lox,,,75693800.0,ns,3485
Parser,&'a str,fib.lox,,,77126600.0,ns,3526
Parser,&'a str,fib.lox,,,78043900.0,ns,3567
Parser,&'a str,fib.lox,,,77390100.0,ns,3608
Parser,&'a str,fib.lox,,,76579100.0,ns,3649
Parser,&'a str,fib.lox,,,76998600.0,ns,3690
Parser,&'a str,fib.lox,,,78346100.0,ns,3731
Parser,&'a str,fib.lox,,,85817400.0,ns,3772
Parser,&'a str,fib.lox,,,81439100.0,ns,3813
Parser,&'a str,fib.lox,,,82549300.0,ns,3854
Parser,&'a str,fib.lox,,,83513000.0,ns,3895
Parser,&'a str,fib.lox,,,84233600.0,ns,3936
Parser,&'a str,fib.lox,,,83156000.0,ns,3977
Parser,&'a str,fib.lox,,,84009700.0,ns,4018
Parser,&'a str,fib.lox,,,84836500.0,ns,4059
Parser,&'a str,fib.lox,,,87648600.0,ns,4100
