group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,&'a str,forloop.lox,,,896200.0,ns,160
Parser,&'a str,forloop.lox,,,1762200.0,ns,320
Parser,&'a str,forloop.lox,,,2633300.0,ns,480
Parser,&'a str,forloop.lox,,,3652900.0,ns,640
Parser,&'a str,forloop.lox,,,4472700.0,ns,800
Parser,&'a str,forloop.lox,,,5380100.0,ns,960
Parser,&'a str,forloop.lox,,,6312100.0,ns,1120
Parser,&'a str,forloop.lox,,,7196300.0,ns,1280
Parser,&'a str,forloop.lox,,,8080100.0,ns,1440
Parser,&'a str,forloop.lox,,,8978400.0,ns,1600
Parser,&'a str,forloop.lox,,,9555000.0,ns,1760
Parser,&'a str,forloop.lox,,,10414400.0,ns,1920
Parser,&'a str,forloop.lox,,,11393900.0,ns,2080
Parser,&'a str,forloop.lox,,,12153900.0,ns,2240
Parser,&'a str,forloop.lox,,,13053000.0,ns,2400
Parser,&'a str,forloop.lox,,,14046600.0,ns,2560
Parser,&'a str,forloop.lox,,,14774800.0,ns,2720
Parser,&'a str,forloop.lox,,,15654200.0,ns,2880
Parser,&'a str,forloop.lox,,,16612500.0,ns,3040
Parser,&'a str,forloop.lox,,,17553700.0,ns,3200
Parser,&'a str,forloop.lox,,,18154900.0,ns,3360
Parser,&'a str,forloop.lox,,,19053200.0,ns,3520
Parser,&'a str,forloop.lox,,,19997900.0,ns,3680
Parser,&'a str,forloop.lox,,,20717500.0,ns,3840
Parser,&'a str,forloop.lox,,,21771300.0,ns,4000
Parser,&'a str,forloop.lox,,,22757400.0,ns,4160
Parser,&'a str,forloop.lox,,,23764100.0,ns,4320
Parser,&'a str,forloop.lox,,,24972500.0,ns,4480
Parser,&'a str,forloop.lox,,,26066600.0,ns,4640
Parser,&'a str,forloop.lox,,,26961100.0,ns,4800
Parser,&'a str,forloop.lox,,,28433300.0,ns,4960
Parser,&'a str,forloop.lox,,,29215100.0,ns,5120
Parser,&'a str,forloop.lox,,,30174000.0,ns,5280
Parser,&'a str,forloop.lox,,,30947500.0,ns,5440
Parser,&'a str,forloop.lox,,,32413700.0,ns,5600
Parser,&'a str,forloop.lox,,,32771100.0,ns,5760
Parser,&'a str,forloop.lox,,,33680400.0,ns,5920
Parser,&'a str,forloop.lox,,,34709500.0,ns,6080
Parser,&'a str,forloop.lox,,,35316700.0,ns,6240
Parser,&'a str,forloop.lox,,,35812500.0,ns,6400
Parser,&'a str,forloop.lox,,,36544200.0,ns,6560
Parser,&'a str,forloop.lox,,,37409900.0,ns,6720
Parser,&'a str,forloop.lox,,,38972400.0,ns,6880
Parser,&'a str,forloop.lox,,,39321700.0,ns,7040
Parser,&'a str,forloop.lox,,,40097100.0,ns,7200
Parser,&'a str,forloop.lox,,,40900400.0,ns,7360
Parser,&'a str,forloop.lox,,,42682500.0,ns,7520
Parser,&'a str,forloop.lox,,,43833300.0,ns,7680
Parser,&'a str,forloop.lox,,,44704100.0,ns,7840
Parser,&'a str,forloop.lox,,,45852800.0,ns,8000
Parser,&'a str,forloop.lox,,,46517200.0,ns,8160
Parser,&'a str,forloop.lox,,,47464800.0,ns,8320
Parser,&'a str,forloop.lox,,,48152700.0,ns,8480
Parser,&'a str,forloop.lox,,,49015600.0,ns,8640
Parser,&'a str,forloop.lox,,,48874400.0,ns,8800
Parser,&'a str,forloop.lox,,,49354000.0,ns,8960
Parser,&'a str,forloop.lox,,,50209100.0,ns,9120
Parser,&'a str,forloop.lox,,,51653000.0,ns,9280
Parser,&'a str,forloop.lox,,,52482300.0,ns,9440
Parser,&'a str,forloop.lox,,,54137900.0,ns,9600
Parser,&'a str,forloop.lox,,,55685700.0,ns,9760
Parser,&'a str,forloop.lox,,,56331300.0,ns,9920
Parser,&'a str,forloop.lox,,,57104300.0,ns,10080
Parser,&'a str,forloop.lox,,,57253600.0,ns,10240
Parser,&'a str,forloop.lox,,,57579000.0,ns,10400
Parser,&'a str,forloop.lox,,,57682900.0,ns,10560
Parser,&'a str,forloop.lox,,,58577000.0,ns,10720
Parser,&'a str,forloop.lox,,,59249700.0,ns,10880
Parser,&'a str,forloop.lox,,,59859900.0,ns,11040
Parser,&'a str,forloop.lox,,,60614900.0,ns,11200
Parser,&'a str,forloop.lox,,,62623500.0,ns,11360
Parser,&'a str,forloop.lox,,,64296800.0,ns,11520
Parser,&'a str,forloop.lox,,,65144200.0,ns,11680
Parser,&'a str,forloop.lox,,,66062000.0,ns,11840
Parser,&'a str,forloop.lox,,,67828700.0,ns,12000
Parser,&'a str,forloop.lox,,,67508900.0,ns,12160
Parser,&'a str,forloop.lox,,,67079600.0,ns,12320
Parser,&'a str,forloop.lox,,,68060100.0,ns,12480
Parser,&'a str,forloop.lox,,,68325200.0,ns,12640
Parser,&'a str,forloop.lox,,,70311800.0,ns,12800
Parser,&'a str,forloop.lox,,,72066500.0,ns,12960
Parser,&'a str,forloop.lox,,,72996500.0,ns,13120
Parser,&'a str,forloop.lox,,,73953200.0,ns,13280
Parser,&'a str,forloop.lox,,,74911100.0,ns,13440
Parser,&'a str,forloop.lox,,,75054400.0,ns,13600
Parser,&'a str,forloop.lox,,,75225000.0,ns,13760
Parser,&'a str,forloop.lox,,,75218000.0,ns,13920
Parser,&'a str,forloop.lox,,,76527300.0,ns,14080
Parser,&'a str,forloop.lox,,,79069200.0,ns,14240
Parser,&'a str,forloop.lox,,,80559400.0,ns,14400
Parser,&'a str,forloop.lox,,,81382900.0,ns,14560
Parser,&'a str,forloop.lox,,,82395100.0,ns,14720
Parser,&'a str,forloop.lox,,,85834500.0,ns,14880
Parser,&'a str,forloop.lox,,,83967100.0,ns,15040
Parser,&'a str,forloop.lox,,,84504500.0,ns,15200
Parser,&'a str,forloop.lox,,,85585800.0,ns,15360
Parser,&'a str,forloop.lox,,,88570800.0,ns,15520
Parser,&'a str,forloop.lox,,,88959900.0,ns,15680
Parser,&'a str,forloop.lox,,,89477500.0,ns,15840
Parser,&'a str,forloop.lox,,,90229000.0,ns,16000
