group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,&'a str,fun-expressions.lox,,,1056800.0,ns,53
Parser,&'a str,fun-expressions.lox,,,1798100.0,ns,106
Parser,&'a str,fun-expressions.lox,,,2658600.0,ns,159
Parser,&'a str,fun-expressions.lox,,,3587500.0,ns,212
Parser,&'a str,fun-expressions.lox,,,4435000.0,ns,265
Parser,&'a str,fun-expressions.lox,,,5386600.0,ns,318
Parser,&'a str,fun-expressions.lox,,,6311100.0,ns,371
Parser,&'a str,fun-expressions.lox,,,7331300.0,ns,424
Parser,&'a str,fun-expressions.lox,,,8079800.0,ns,477
Parser,&'a str,fun-expressions.lox,,,8977700.0,ns,530
Parser,&'a str,fun-expressions.lox,,,9906900.0,ns,583
Parser,&'a str,fun-expressions.lox,,,10776800.0,ns,636
Parser,&'a str,fun-expressions.lox,,,11769200.0,ns,689
Parser,&'a str,fun-expressions.lox,,,12852700.0,ns,742
Parser,&'a str,fun-expressions.lox,,,13526900.0,ns,795
Parser,&'a str,fun-expressions.lox,,,14350900.0,ns,848
Parser,&'a str,fun-expressions.lox,,,15288600.0,ns,901
Parser,&'a str,fun-expressions.lox,,,16125000.0,ns,954
Parser,&'a str,fun-expressions.lox,,,21169100.0,ns,1007
Parser,&'a str,fun-expressions.lox,,,24512500.0,ns,1060
Parser,&'a str,fun-expressions.lox,,,18661300.0,ns,1113
Parser,&'a str,fun-expressions.lox,,,19149700.0,ns,1166
Parser,&'a str,fun-expressions.lox,,,19966100.0,ns,1219
Parser,&'a str,fun-expressions.lox,,,20986800.0,ns,1272
Parser,&'a str,fun-expressions.lox,,,21690400.0,ns,1325
Parser,&'a str,fun-expressions.lox,,,22462300.0,ns,1378
Parser,&'a str,fun-expressions.lox,,,23461400.0,ns,1431
Parser,&'a str,fun-expressions.lox,,,24149400.0,ns,1484
Parser,&'a str,fun-expressions.lox,,,24658300.0,ns,1537
Parser,&'a str,fun-expressions.lox,,,25787700.0,ns,1590
Parser,&'a str,fun-expressions.lox,,,26989600.0,ns,1643
Parser,&'a str,fun-expressions.lox,,,28243700.0,ns,1696
Parser,&'a str,fun-expressions.lox,,,28983800.0,ns,1749
Parser,&'a str,fun-expressions.lox,,,29935200.0,ns,1802
Parser,&'a str,fun-expressions.lox,,,30643500.0,ns,1855
Parser,&'a str,fun-expressions.lox,,,31818900.0,ns,1908
Parser,&'a str,fun-expressions.lox,,,32623600.0,ns,1961
Parser,&'a str,fun-expressions.lox,,,33458900.0,ns,2014
Parser,&'a str,fun-expressions.lox,,,34037800.0,ns,2067
Parser,&'a str,fun-expressions.lox,,,35101100.0,ns,2120
Parser,&'a str,fun-expressions.lox,,,36019200.0,ns,2173
Parser,&'a str,fun-expressions.lox,,,36550000.0,ns,2226
Parser,&'a str,fun-expressions.lox,,,36912600.0,ns,2279
Parser,&'a str,fun-expressions.lox,,,37738700.0,ns,2332
Parser,&'a str,fun-expressions.lox,,,38543600.0,ns,2385
Parser,&'a str,fun-expressions.lox,,,39651900.0,ns,2438
Parser,&'a str,fun-expressions.lox,,,40888400.0,ns,2491
Parser,&'a str,fun-expressions.lox,,,41091000.0,ns,2544
Parser,&'a str,fun-expressions.lox,,,41963800.0,ns,2597
Parser,&'a str,fun-expressions.lox,,,43612200.0,ns,2650
Parser,&'a str,fun-expressions.lox,,,44639300.0,ns,2703
Parser,&'a str,fun-expressions.lox,,,45324600.0,ns,2756
Parser,&'a str,fun-expressions.lox,,,46186000.0,ns,2809
Parser,&'a str,fun-expressions.lox,,,47094800.0,ns,2862
Parser,&'a str,fun-expressions.lox,,,48122500.0,ns,2915
Parser,&'a str,fun-expressions.lox,,,49006100.0,ns,2968
Parser,&'a str,fun-expressions.lox,,,49222100.0,ns,3021
Parser,&'a str,fun-expressions.lox,,,49964200.0,ns,3074
Parser,&'a str,fun-expressions.lox,,,50778000.0,ns,3127
Parser,&'a str,fun-expressions.lox,,,51484000.0,ns,3180
Parser,&'a str,fun-expressions.lox,,,52228900.0,ns,3233
Parser,&'a str,fun-expressions.lox,,,53872400.0,ns,3286
Parser,&'a str,fun-expressions.lox,,,55644500.0,ns,3339
Parser,&'a str,fun-expressions.lox,,,57142700.0,ns,3392
Parser,&'a str,fun-expressions.lox,,,57954100.0,ns,3445
Parser,&'a str,fun-expressions.lox,,,58882100.0,ns,3498
Parser,&'a str,fun-expressions.lox,,,59421600.0,ns,3551
Parser,&'a str,fun-expressions.lox,,,59894800.0,ns,3604
Parser,&'a str,fun-expressions.lox,,,59217300.0,ns,3657
Parser,&'a str,fun-expressions.lox,,,59936800.0,ns,3710
Parser,&'a str,fun-expressions.lox,,,60461000.0,ns,3763
Parser,&'a str,fun-expressions.lox,,,61264800.0,ns,3816
Parser,&'a str,fun-expressions.lox,,,62684300.0,ns,3869
Parser,&'a str,fun-expressions.lox,,,64334200.0,ns,3922
Parser,&'a str,fun-expressions.lox,,,65596900.0,ns,3975
Parser,&'a str,fun-expressions.lox,,,66173800.0,ns,4028
Parser,&'a str,fun-expressions.lox,,,67069100.0,ns,4081
Parser,&'a str,fun-expressions.lox,,,68089900.0,ns,4134
Parser,&'a str,fun-expressions.lox,,,67175100.0,ns,4187
Parser,&'a str,fun-expressions.lox,,,68035700.0,ns,4240
Parser,&'a str,fun-expressions.lox,,,69725100.0,ns,4293
Parser,&'a str,fun-expressions.lox,,,69869400.0,ns,4346
Parser,&'a str,fun-expressions.lox,,,73140600.0,ns,4399
Parser,&'a str,fun-expressions.lox,,,73653900.0,ns,4452
Parser,&'a str,fun-expressions.lox,,,74238800.0,ns,4505
Parser,&'a str,fun-expressions.lox,,,75410000.0,ns,4558
Parser,&'a str,fun-expressions.lox,,,75549100.0,ns,4611
Parser,&'a str,fun-expressions.lox,,,74971800.0,ns,4664
Parser,&'a str,fun-expressions.lox,,,75747400.0,ns,4717
Parser,&'a str,fun-expressions.lox,,,76496100.0,ns,4770
Parser,&'a str,fun-expressions.lox,,,78133200.0,ns,4823
Parser,&'a str,fun-expressions.lox,,,79772700.0,ns,4876
Parser,&'a str,fun-expressions.lox,,,80643700.0,ns,4929
Parser,&'a str,fun-expressions.lox,,,82119400.0,ns,4982
Parser,&'a str,fun-expressions.lox,,,82506500.0,ns,5035
Parser,&'a str,fun-expressions.lox,,,82448800.0,ns,5088
Parser,&'a str,fun-expressions.lox,,,82901300.0,ns,5141
Parser,&'a str,fun-expressions.lox,,,83528500.0,ns,5194
Parser,&'a str,fun-expressions.lox,,,85444300.0,ns,5247
Parser,&'a str,fun-expressions.lox,,,86773900.0,ns,5300
