group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,&'a str,fun.lox,,,1103600.0,ns,19
Parser,&'a str,fun.lox,,,1836200.0,ns,38
Parser,&'a str,fun.lox,,,2735300.0,ns,57
Parser,&'a str,fun.lox,,,3688300.0,ns,76
Parser,&'a str,fun.lox,,,4692900.0,ns,95
Parser,&'a str,fun.lox,,,5645400.0,ns,114
Parser,&'a str,fun.lox,,,6756000.0,ns,133
Parser,&'a str,fun.lox,,,7705500.0,ns,152
Parser,&'a str,fun.lox,,,8549400.0,ns,171
Parser,&'a str,fun.lox,,,9579800.0,ns,190
Parser,&'a str,fun.lox,,,10544900.0,ns,209
Parser,&'a str,fun.lox,,,11512300.0,ns,228
Parser,&'a str,fun.lox,,,12498300.0,ns,247
Parser,&'a str,fun.lox,,,13653900.0,ns,266
Parser,&'a str,fun.lox,,,14444700.0,ns,285
Parser,&'a str,fun.lox,,,15271200.0,ns,304
Parser,&'a str,fun.lox,,,16098800.0,ns,323
Parser,&'a str,fun.lox,,,17317300.0,ns,342
Parser,&'a str,fun.lox,,,18034900.0,ns,361
Parser,&'a str,fun.lox,,,18964300.0,ns,380
Parser,&'a str,fun.lox,,,20114400.0,ns,399
Parser,&'a str,fun.lox,,,20974600.0,ns,418
Parser,&'a str,fun.lox,,,22452300.0,ns,437
Parser,&'a str,fun.lox,,,23191700.0,ns,456
Parser,&'a str,fun.lox,,,23705700.0,ns,475
Parser,&'a str,fun.lox,,,24747100.0,ns,494
Parser,&'a str,fun.lox,,,25987600.0,ns,513
Parser,&'a str,fun.lox,,,26157500.0,ns,532
Parser,&'a str,fun.lox,,,27380200.0,ns,551
Parser,&'a str,fun.lox,,,28148300.0,ns,570
Parser,&'a str,fun.lox,,,29275400.0,ns,589
Parser,&'a str,fun.lox,,,30181800.0,ns,608
Parser,&'a str,fun.lox,,,31137600.0,ns,627
Parser,&'a str,fun.lox,,,32002800.0,ns,646
Parser,&'a str,fun.lox,,,32848900.0,ns,665
Parser,&'a str,fun.lox,,,33410900.0,ns,684
Parser,&'a str,fun.lox,,,36456600.0,ns,703
Parser,&'a str,fun.lox,,,37169300.0,ns,722
Parser,&'a str,fun.lox,,,36533900.0,ns,741
Parser,&'a str,fun.lox,,,37406000.0,ns,760
Parser,&'a str,fun.lox,,,38734900.0,ns,779
Parser,&'a str,fun.lox,,,39272600.0,ns,798
Parser,&'a str,fun.lox,,,39805000.0,ns,817
Parser,&'a str,fun.lox,,,41499300.0,ns,836
Parser,&'a str,fun.lox,,,42170200.0,ns,855
Parser,&'a str,fun.lox,,,42539800.0,ns,874
Parser,&'a str,fun.lox,,,43611600.0,ns,893
Parser,&'a str,fun.lox,,,44579500.0,ns,912
Parser,&'a str,fun.lox,,,45620500.0,ns,931
Parser,&'a str,fun.lox,,,46567300.0,ns,950
Parser,&'a str,fun.lox,,,47516000.0,ns,969
Parser,&'a str,fun.lox,,,49377900.0,ns,988
Parser,&'a str,fun.lox,,,49082100.0,ns,1007
Parser,&'a str,fun.lox,,,48945700.0,ns,1026
Parser,&'a str,fun.lox,,,50110600.0,ns,1045
Parser,&'a str,fun.lox,,,51316600.0,ns,1064
Parser,&'a str,fun.lox,,,52056200.0,ns,1083
Parser,&'a str,fun.lox,,,53013900.0,ns,1102
Parser,&'a str,fun.lox,,,54086100.0,ns,1121
Parser,&'a str,fun.lox,,,55369800.0,ns,1140
Parser,&'a str,fun.lox,,,55816600.0,ns,1159
Parser,&'a str,fun.lox,,,56626400.0,ns,1178
Parser,&'a str,fun.lox,,,57803200.0,ns,1197
Parser,&'a str,fun.lox,,,58790900.0,ns,1216
Parser,&'a str,fun.lox,,,59199700.0,ns,1235
Parser,&'a str,fun.lox,,,60466500.0,ns,1254
Parser,&'a str,fun.lox,,,62748700.0,ns,1273
Parser,&'a str,fun.lox,,,63305300.0,ns,1292
Parser,&'a str,fun.lox,,,64276800.0,ns,1311
Parser,&'a str,fun.lox,,,66104900.0,ns,1330
Parser,&'a str,fun.lox,,,65991700.0,ns,1349
Parser,&'a str,fun.lox,,,66864500.0,ns,1368
Parser,&'a str,fun.lox,,,67824300.0,ns,1387
Parser,&'a str,fun.lox,,,69578900.0,ns,1406
Parser,&'a str,fun.lox,,,69784600.0,ns,1425
Parser,&'a str,fun.lox,,,70819600.0,ns,1444
Parser,&'a str,fun.lox,,,71447600.0,ns,1463
Parser,&'a str,fun.lox,,,71932000.0,ns,1482
Parser,&'a str,fun.lox,,,73159500.0,ns,1501
Parser,&'a str,fun.lox,,,73848700.0,ns,1520
Parser,&'a str,fun.lox,,,74957600.0,ns,1539
Parser,&'a str,fun.lox,,,75982900.0,ns,1558
Parser,&'a str,fun.lox,,,76603500.0,ns,1577
Parser,&'a str,fun.lox,,,79356900.0,ns,1596
Parser,&'a str,fun.lox,,,79951200.0,ns,1615
Parser,&'a str,fun.lox,,,80366300.0,ns,1634
Parser,&'a str,fun.lox,,,81356100.0,ns,1653
Parser,&'a str,fun.lox,,,86223200.0,ns,1672
Parser,&'a str,fun.lox,,,82437100.0,ns,1691
Parser,&'a str,fun.lox,,,83393100.0,ns,1710
Parser,&'a str,fun.lox,,,84380800.0,ns,1729
Parser,&'a str,fun.lox,,,85116400.0,ns,1748
Parser,&'a str,fun.lox,,,86048800.0,ns,1767
Parser,&'a str,fun.lox,,,87137300.0,ns,1786
Parser,&'a str,fun.lox,,,87629700.0,ns,1805
Parser,&'a str,fun.lox,,,89858400.0,ns,1824
Parser,&'a str,fun.lox,,,90628200.0,ns,1843
Parser,&'a str,fun.lox,,,91037200.0,ns,1862
Parser,&'a str,fun.lox,,,91808100.0,ns,1881
Parser,&'a str,fun.lox,,,93095800.0,ns,1900
