group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,&'a str,linked-list.lox,,,1063800.0,ns,6
Parser,&'a str,linked-list.lox,,,2012100.0,ns,12
Parser,&'a str,linked-list.lox,,,2941500.0,ns,18
Parser,&'a str,linked-list.lox,,,3933900.0,ns,24
Parser,&'a str,linked-list.lox,,,4973400.0,ns,30
Parser,&'a str,linked-list.lox,,,6134900.0,ns,36
Parser,&'a str,linked-list.lox,,,7188900.0,ns,42
Parser,&'a str,linked-list.lox,,,8101400.0,ns,48
Parser,&'a str,linked-list.lox,,,8973600.0,ns,54
Parser,&'a str,linked-list.lox,,,9914800.0,ns,60
Parser,&'a str,linked-list.lox,,,10925400.0,ns,66
Parser,&'a str,linked-list.lox,,,11898900.0,ns,72
Parser,&'a str,linked-list.lox,,,13094500.0,ns,78
Parser,&'a str,linked-list.lox,,,13873800.0,ns,84
Parser,&'a str,linked-list.lox,,,14943100.0,ns,90
Parser,&'a str,linked-list.lox,,,15788100.0,ns,96
Parser,&'a str,linked-list.lox,,,17056700.0,ns,102
Parser,&'a str,linked-list.lox,,,17832600.0,ns,108
Parser,&'a str,linked-list.lox,,,19099400.0,ns,114
Parser,&'a str,linked-list.lox,,,19783800.0,ns,120
Parser,&'a str,linked-list.lox,,,20938600.0,ns,126
Parser,&'a str,linked-list.lox,,,21639600.0,ns,132
Parser,&'a str,linked-list.lox,,,22636300.0,ns,138
Parser,&'a str,linked-list.lox,,,23750900.0,ns,144
Parser,&'a str,linked-list.lox,,,24499800.0,ns,150
Parser,&'a str,linked-list.lox,,,25870700.0,ns,156
Parser,&'a str,linked-list.lox,,,29757600.0,ns,162
Parser,&'a str,linked-list.lox,,,28381100.0,ns,168
Parser,&'a str,linked-list.lox,,,28809000.0,ns,174
Parser,&'a str,linked-list.lox,,,29856600.0,ns,180
Parser,&'a str,linked-list.lox,,,30531800.0,ns,186
Parser,&'a str,linked-list.lox,,,31768400.0,ns,192
Parser,&'a str,linked-list.lox,,,32623700.0,ns,198
Parser,&'a str,linked-list.lox,,,33963000.0,ns,204
Parser,&'a str,linked-list.lox,,,35960100.0,ns,210
Parser,&'a str,linked-list.lox,,,35763600.0,ns,216
Parser,&'a str,linked-list.lox,,,36421900.0,ns,222
Parser,&'a str,linked-list.lox,,,37520500.0,ns,228
Parser,&'a str,linked-list.lox,,,38819900.0,ns,234
Parser,&'a str,linked-list.lox,,,39155300.0,ns,240
Parser,&'a str,linked-list.lox,,,40058500.0,ns,246
Parser,&'a str,linked-list.lox,,,40995300.0,ns,252
Parser,&'a str,linked-list.lox,,,41895800.0,ns,258
