group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,Rc<str>,counter.lox,,,970400.0,ns,24
Parser,Rc<str>,counter.lox,,,1936200.0,ns,48
Parser,Rc<str>,counter.lox,,,2973000.0,ns,72
Parser,Rc<str>,counter.lox,,,3938500.0,ns,96
Parser,Rc<str>,counter.lox,,,4955000.0,ns,120
Parser,Rc<str>,counter.lox,,,5918400.0,ns,144
Parser,Rc<str>,counter.lox,,,7099600.0,ns,168
Parser,Rc<str>,counter.lox,,,8087800.0,ns,192
Parser,Rc<str>,counter.lox,,,9117400.0,ns,216
Parser,Rc<str>,counter.lox,,,10295800.0,ns,240
Parser,Rc<str>,counter.lox,,,10851400.0,ns,264
Parser,Rc<str>,counter.lox,,,11879200.0,ns,288
Parser,Rc<str>,counter.lox,,,12895100.0,ns,312
Parser,Rc<str>,counter.lox,,,13812500.0,ns,336
Parser,Rc<str>,counter.lox,,,15058200.0,ns,360
Parser,Rc<str>,counter.lox,,,15808500.0,ns,384
Parser,Rc<str>,counter.lox,,,17188200.0,ns,408
Parser,Rc<str>,counter.lox,,,17732900.0,ns,432
Parser,Rc<str>,counter.lox,,,18962800.0,ns,456
Parser,Rc<str>,counter.lox,,,19663100.0,ns,480
Parser,Rc<str>,counter.lox,,,21247700.0,ns,504
Parser,Rc<str>,counter.lox,,,22567800.0,ns,528
Parser,Rc<str>,counter.lox,,,23369600.0,ns,552
Parser,Rc<str>,counter.lox,,,24588400.0,ns,576
Parser,Rc<str>,counter.lox,,,25291100.0,ns,600
Parser,Rc<str>,counter.lox,,,26298700.0,ns,624
Parser,Rc<str>,counter.lox,,,27692700.0,ns,648
Parser,Rc<str>,counter.lox,,,28579500.0,ns,672
Parser,Rc<str>,counter.lox,,,29687200.0,ns,696
Parser,Rc<str>,counter.lox,,,30501400.0,ns,720
Parser,Rc<str>,counter.lox,,,31849100.0,ns,744
Parser,Rc<str>,counter.lox,,,32484700.0,ns,768
Parser,Rc<str>,counter.lox,,,33631200.0,ns,792
Parser,Rc<str>,counter.lox,,,34102100.0,ns,816
Parser,Rc<str>,counter.lox,,,35280600.0,ns,840
Parser,Rc<str>,counter.lox,,,36418300.0,ns,864
Parser,Rc<str>,counter.lox,,,37336200.0,ns,888
Parser,Rc<str>,counter.lox,,,38179200.0,ns,912
Parser,Rc<str>,counter.lox,,,38951600.0,ns,936
