group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,&'a str,counter.lox,,,1042800.0,ns,65
Lexer,&'a str,counter.lox,,,1851900.0,ns,130
Lexer,&'a str,counter.lox,,,2706300.0,ns,195
Lexer,&'a str,counter.lox,,,3700200.0,ns,260
Lexer,&'a str,counter.lox,,,4597100.0,ns,325
Lexer,&'a str,counter.lox,,,5485600.0,ns,390
Lexer,&'a str,counter.lox,,,6422000.0,ns,455
Lexer,&'a str,counter.lox,,,7315300.0,ns,520
Lexer,&'a str,counter.lox,,,8260900.0,ns,585
Lexer,&'a str,counter.lox,,,9274700.0,ns,650
Lexer,&'a str,counter.lox,,,10090700.0,ns,715
Lexer,&'a str,counter.lox,,,11152200.0,ns,780
Lexer,&'a str,counter.lox,,,12336400.0,ns,845
Lexer,&'a str,counter.lox,,,13021100.0,ns,910
Lexer,&'a str,counter.lox,,,13942900.0,ns,975
Lexer,&'a str,counter.lox,,,14803900.0,ns,1040
Lexer,&'a str,counter.lox,,,15718300.0,ns,1105
Lexer,&'a str,counter.lox,,,16688900.0,ns,1170
Lexer,&'a str,counter.lox,,,18488100.0,ns,1235
Lexer,&'a str,counter.lox,,,19441400.0,ns,1300
Lexer,&'a str,counter.lox,,,20238200.0,ns,1365
Lexer,&'a str,counter.lox,,,21138500.0,ns,1430
Lexer,&'a str,counter.lox,,,21982300.0,ns,1495
Lexer,&'a str,counter.lox,,,23288500.0,ns,1560
Lexer,&'a str,counter.lox,,,23957300.0,ns,1625
Lexer,&'a str,counter.lox,,,25039800.0,ns,1690
Lexer,&'a str,counter.lox,,,25615700.0,ns,1755
Lexer,&'a str,counter.lox,,,27406900.0,ns,1820
Lexer,&'a str,counter.lox,,,27869700.0,ns,1885
Lexer,&'a str,counter.lox,,,29409300.0,ns,1950
Lexer,&'a str,counter.lox,,,29976600.0,ns,2015
Lexer,&'a str,counter.lox,,,31087700.0,ns,2080
Lexer,&'a str,counter.lox,,,32355600.0,ns,2145
Lexer,&'a str,counter.lox,,,33034100.0,ns,2210
Lexer,&'a str,counter.lox,,,33822000.0,ns,2275
Lexer,&'a str,counter.lox,,,34756600.0,ns,2340
Lexer,&'a str,counter.lox,,,35368600.0,ns,2405
Lexer,&'a str,counter.lox,,,36356400.0,ns,2470
Lexer,&'a str,counter.lox,,,36882500.0,ns,2535
Lexer,&'a str,counter.lox,,,37467100.0,ns,2600
Lexer,&'a str,counter.lox,,,38889400.0,ns,2665
Lexer,&'a str,counter.lox,,,39919300.0,ns,2730
Lexer,&'a str,counter.lox,,,41223000.0,ns,2795
Lexer,&'a str,counter.lox,,,46230300.0,ns,2860
Lexer,&'a str,counter.lox,,,43361200.0,ns,2925
Lexer,&'a str,counter.lox,,,43874200.0,ns,2990
Lexer,&'a str,counter.lox,,,44845900.0,ns,3055
Lexer,&'a str,counter.lox,,,45863300.0,ns,3120
Lexer,&'a str,counter.lox,,,46193800.0,ns,3185
Lexer,&'a str,counter.lox,,,47329300.0,ns,3250
Lexer,&'a str,counter.lox,,,48824100.0,ns,3315
Lexer,&'a str,counter.lox,,,49287000.0,ns,3380
Lexer,&'a str,counter.lox,,,49754400.0,ns,3445
Lexer,&'a str,counter.lox,,,51566100.0,ns,3510
Lexer,&'a str,counter.lox,,,52497200.0,ns,3575
Lexer,&'a str,counter.lox,,,53624500.0,ns,3640
Lexer,&'a str,counter.lox,,,54202200.0,ns,3705
Lexer,&'a str,counter.lox,,,54790600.0,ns,3770
