group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,&'a str,fun.lox,,,985400.0,ns,25
Lexer,&'a str,fun.lox,,,1970000.0,ns,50
Lexer,&'a str,fun.lox,,,2949800.0,ns,75
Lexer,&'a str,fun.lox,,,3905400.0,ns,100
Lexer,&'a str,fun.lox,,,4916500.0,ns,125
Lexer,&'a str,fun.lox,,,5866200.0,ns,150
Lexer,&'a str,fun.lox,,,6805100.0,ns,175
Lexer,&'a str,fun.lox,,,7810700.0,ns,200
Lexer,&'a str,fun.lox,,,8919200.0,ns,225
Lexer,&'a str,fun.lox,,,9891200.0,ns,250
Lexer,&'a str,fun.lox,,,10918500.0,ns,275
Lexer,&'a str,fun.lox,,,11860000.0,ns,300
Lexer,&'a str,fun.lox,,,12785300.0,ns,325
Lexer,&'a str,fun.lox,,,13780500.0,ns,350
Lexer,&'a str,fun.lox,,,14784600.0,ns,375
Lexer,&'a str,fun.lox,,,15662400.0,ns,400
Lexer,&'a str,fun.lox,,,16659000.0,ns,425
Lexer,&'a str,fun.lox,,,17761300.0,ns,450
Lexer,&'a str,fun.lox,,,22821500.0,ns,475
Lexer,&'a str,fun.lox,,,19813700.0,ns,500
Lexer,&'a str,fun.lox,,,20775600.0,ns,525
Lexer,&'a str,fun.lox,,,21800400.0,ns,550
Lexer,&'a str,fun.lox,,,22586300.0,ns,575
Lexer,&'a str,fun.lox,,,23658500.0,ns,600
Lexer,&'a str,fun.lox,,,24727900.0,ns,625
Lexer,&'a str,fun.lox,,,25642400.0,ns,650
Lexer,&'a str,fun.lox,,,26532300.0,ns,675
Lexer,&'a str,fun.lox,,,27423300.0,ns,700
Lexer,&'a str,fun.lox,,,28528600.0,ns,725
Lexer,&'a str,fun.lox,,,29328300.0,ns,750
Lexer,&'a str,fun.lox,,,30484800.0,ns,775
Lexer,&'a str,fun.lox,,,31077700.0,ns,800
Lexer,&'a str,fun.lox,,,32465100.0,ns,825
Lexer,&'a str,fun.lox,,,33300400.0,ns,850
Lexer,&'a str,fun.lox,,,34243600.0,ns,875
Lexer,&'a str,fun.lox,,,35110100.0,ns,900
Lexer,&'a str,fun.lox,,,36301500.0,ns,925
Lexer,&'a str,fun.lox,,,36812700.0,ns,950
Lexer,&'a str,fun.lox,,,38098100.0,ns,975
Lexer,&'a str,fun.lox,,,39055900.0,ns,1000
Lexer,&'a str,fun.lox,,,39934300.0,ns,1025
Lexer,&'a str,fun.lox,,,41041000.0,ns,1050
Lexer,&'a str,fun.lox,,,41989000.0,ns,1075
Lexer,&'a str,fun.lox,,,42917300.0,ns,1100
Lexer,&'a str,fun.lox,,,44291600.0,ns,1125
Lexer,&'a str,fun.lox,,,44878500.0,ns,1150
Lexer,&'a str,fun.lox,,,46175700.0,ns,1175
Lexer,&'a str,fun.lox,,,47553000.0,ns,1200
