group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,Rc<str>,classes.lox,,,1256000.0,ns,20
Lexer,Rc<str>,classes.lox,,,1985700.0,ns,40
Lexer,Rc<str>,classes.lox,,,2916300.0,ns,60
Lexer,Rc<str>,classes.lox,,,3900200.0,ns,80
Lexer,Rc<str>,classes.lox,,,4926800.0,ns,100
Lexer,Rc<str>,classes.lox,,,6034800.0,ns,120
Lexer,Rc<str>,classes.lox,,,7007100.0,ns,140
Lexer,Rc<str>,classes.lox,,,7963800.0,ns,160
Lexer,Rc<str>,classes.lox,,,8963800.0,ns,180
Lexer,Rc<str>,classes.lox,,,9981600.0,ns,200
Lexer,Rc<str>,classes.lox,,,11010700.0,ns,220
Lexer,Rc<str>,classes.lox,,,12150100.0,ns,240
Lexer,Rc<str>,classes.lox,,,13271200.0,ns,260
Lexer,Rc<str>,classes.lox,,,14291900.0,ns,280
Lexer,Rc<str>,classes.lox,,,15109400.0,ns,300
Lexer,Rc<str>,classes.lox,,,16107000.0,ns,320
Lexer,Rc<str>,classes.lox,,,17240900.0,ns,340
Lexer,Rc<str>,classes.lox,,,22309800.0,ns,360
Lexer,Rc<str>,classes.lox,,,19093600.0,ns,380
Lexer,Rc<str>,classes.lox,,,20141700.0,ns,400
Lexer,Rc<str>,classes.lox,,,21088100.0,ns,420
Lexer,Rc<str>,classes.lox,,,22124500.0,ns,440
Lexer,Rc<str>,classes.lox,,,23267900.0,ns,460
Lexer,Rc<str>,classes.lox,,,24181700.0,ns,480
Lexer,Rc<str>,classes.lox,,,25271400.0,ns,500
Lexer,Rc<str>,classes.lox,,,26204500.0,ns,520
Lexer,Rc<str>,classes.lox,,,27132700.0,ns,540
Lexer,Rc<str>,classes.lox,,,28174700.0,ns,560
Lexer,Rc<str>,classes.lox,,,29089600.0,ns,580
Lexer,Rc<str>,classes.lox,,,30079900.0,ns,600
Lexer,Rc<str>,classes.lox,,,30957000.0,ns,620
Lexer,Rc<str>,classes.lox,,,31945000.0,ns,640
Lexer,Rc<str>,classes.lox,,,33127500.0,ns,660
Lexer,Rc<str>,classes.lox,,,34232000.0,ns,680
Lexer,Rc<str>,classes.lox,,,35011800.0,ns,700
Lexer,Rc<str>,classes.lox,,,36155700.0,ns,720
Lexer,Rc<str>,classes.lox,,,37234000.0,ns,740
Lexer,Rc<str>,classes.lox,,,37987800.0,ns,760
Lexer,Rc<str>,classes.lox,,,39047200.0,ns,780
Lexer,Rc<str>,classes.lox,,,40005600.0,ns,800
Lexer,Rc<str>,classes.lox,,,41345700.0,ns,820
Lexer,Rc<str>,classes.lox,,,41909000.0,ns,840
Lexer,Rc<str>,classes.lox,,,42739600.0,ns,860
Lexer,Rc<str>,classes.lox,,,43901500.0,ns,880
Lexer,Rc<str>,classes.lox,,,45024400.0,ns,900
Lexer,Rc<str>,classes.lox,,,45887300.0,ns,920
Lexer,Rc<str>,classes.lox,,,47681300.0,ns,940
Lexer,Rc<str>,classes.lox,,,48511400.0,ns,960
Lexer,Rc<str>,classes.lox,,,48971000.0,ns,980
Lexer,Rc<str>,classes.lox,,,50275300.0,ns,1000
Lexer,Rc<str>,classes.lox,,,51256700.0,ns,1020
Lexer,Rc<str>,classes.lox,,,52318900.0,ns,1040
Lexer,Rc<str>,classes.lox,,,53163400.0,ns,1060
Lexer,Rc<str>,classes.lox,,,54288000.0,ns,1080
Lexer,Rc<str>,classes.lox,,,55241600.0,ns,1100
Lexer,Rc<str>,classes.lox,,,56441200.0,ns,1120
Lexer,Rc<str>,classes.lox,,,57161300.0,ns,1140
Lexer,Rc<str>,classes.lox,,,57729800.0,ns,1160
Lexer,Rc<str>,classes.lox,,,59225500.0,ns,1180
Lexer,Rc<str>,classes.lox,,,60167100.0,ns,1200
Lexer,Rc<str>,classes.lox,,,60791200.0,ns,1220
Lexer,Rc<str>,classes.lox,,,62071300.0,ns,1240
Lexer,Rc<str>,classes.lox,,,63311300.0,ns,1260
Lexer,Rc<str>,classes.lox,,,64293100.0,ns,1280
Lexer,Rc<str>,classes.lox,,,69373400.0,ns,1300
Lexer,Rc<str>,classes.lox,,,66302900.0,ns,1320
Lexer,Rc<str>,classes.lox,,,67317200.0,ns,1340
Lexer,Rc<str>,classes.lox,,,68284700.0,ns,1360
Lexer,Rc<str>,classes.lox,,,69162100.0,ns,1380
Lexer,Rc<str>,classes.lox,,,70527500.0,ns,1400
Lexer,Rc<str>,classes.lox,,,71328700.0,ns,1420
Lexer,Rc<str>,classes.lox,,,72231600.0,ns,1440
Lexer,Rc<str>,classes.lox,,,72726300.0,ns,1460
Lexer,Rc<str>,classes.lox,,,74224900.0,ns,1480
Lexer,Rc<str>,classes.lox,,,74715900.0,ns,1500
Lexer,Rc<str>,classes.lox,,,76204800.0,ns,1520
Lexer,Rc<str>,classes.lox,,,77505900.0,ns,1540
Lexer,Rc<str>,classes.lox,,,78024400.0,ns,1560
Lexer,Rc<str>,classes.lox,,,79680300.0,ns,1580
Lexer,Rc<str>,classes.lox,,,80227800.0,ns,1600
Lexer,Rc<str>,classes.lox,,,81367000.0,ns,1620
Lexer,Rc<str>,classes.lox,,,82462300.0,ns,1640
Lexer,Rc<str>,classes.lox,,,82942200.0,ns,1660
Lexer,Rc<str>,classes.lox,,,84167500.0,ns,1680
Lexer,Rc<str>,classes.lox,,,85204300.0,ns,1700
Lexer,Rc<str>,classes.lox,,,86054000.0,ns,1720
Lexer,Rc<str>,classes.lox,,,86727100.0,ns,1740
Lexer,Rc<str>,classes.lox,,,87616200.0,ns,1760
Lexer,Rc<str>,classes.lox,,,89158900.0,ns,1780
Lexer,Rc<str>,classes.lox,,,90090500.0,ns,1800
Lexer,Rc<str>,classes.lox,,,91355800.0,ns,1820
Lexer,Rc<str>,classes.lox,,,92457600.0,ns,1840
Lexer,Rc<str>,classes.lox,,,92529400.0,ns,1860
Lexer,Rc<str>,classes.lox,,,94372100.0,ns,1880
Lexer,Rc<str>,classes.lox,,,95191400.0,ns,1900
Lexer,Rc<str>,classes.lox,,,95606900.0,ns,1920
Lexer,Rc<str>,classes.lox,,,97128900.0,ns,1940
Lexer,Rc<str>,classes.lox,,,98566300.0,ns,1960
Lexer,Rc<str>,classes.lox,,,98960800.0,ns,1980
Lexer,Rc<str>,classes.lox,,,100483400.0,ns,2000
