group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,Rc<str>,counter.lox,,,950300.0,ns,62
Lexer,Rc<str>,counter.lox,,,1819400.0,ns,124
Lexer,Rc<str>,counter.lox,,,2717700.0,ns,186
Lexer,Rc<str>,counter.lox,,,3675600.0,ns,248
Lexer,Rc<str>,counter.lox,,,4563700.0,ns,310
Lexer,Rc<str>,counter.lox,,,5492200.0,ns,372
Lexer,Rc<str>,counter.lox,,,6485300.0,ns,434
Lexer,Rc<str>,counter.lox,,,7227400.0,ns,496
Lexer,Rc<str>,counter.lox,,,8139100.0,ns,558
Lexer,Rc<str>,counter.lox,,,9028900.0,ns,620
Lexer,Rc<str>,counter.lox,,,10071000.0,ns,682
Lexer,Rc<str>,counter.lox,,,10984100.0,ns,744
Lexer,Rc<str>,counter.lox,,,11929000.0,ns,806
Lexer,Rc<str>,counter.lox,,,12877600.0,ns,868
Lexer,Rc<str>,counter.lox,,,13644700.0,ns,930
Lexer,Rc<str>,counter.lox,,,14461700.0,ns,992
Lexer,Rc<str>,counter.lox,,,15408800.0,ns,1054
Lexer,Rc<str>,counter.lox,,,16535100.0,ns,1116
Lexer,Rc<str>,counter.lox,,,17236200.0,ns,1178
Lexer,Rc<str>,counter.lox,,,22156800.0,ns,1240
Lexer,Rc<str>,counter.lox,,,23377700.0,ns,1302
Lexer,Rc<str>,counter.lox,,,20340300.0,ns,1364
Lexer,Rc<str>,counter.lox,,,21058100.0,ns,1426
Lexer,Rc<str>,counter.lox,,,22084800.0,ns,1488
Lexer,Rc<str>,counter.lox,,,22944200.0,ns,1550
Lexer,Rc<str>,counter.lox,,,23874100.0,ns,1612
Lexer,Rc<str>,counter.lox,,,24832700.0,ns,1674
Lexer,Rc<str>,counter.lox,,,25597900.0,ns,1736
Lexer,Rc<str>,counter.lox,,,26788300.0,ns,1798
Lexer,Rc<str>,counter.lox,,,27508200.0,ns,1860
Lexer,Rc<str>,counter.lox,,,28350400.0,ns,1922
Lexer,Rc<str>,counter.lox,,,29257000.0,ns,1984
Lexer,Rc<str>,counter.lox,,,30187400.0,ns,2046
Lexer,Rc<str>,counter.lox,,,31324500.0,ns,2108
Lexer,Rc<str>,counter.lox,,,32737400.0,ns,2170
Lexer,Rc<str>,counter.lox,,,32862400.0,ns,2232
Lexer,Rc<str>,counter.lox,,,34063000.0,ns,2294
Lexer,Rc<str>,counter.lox,,,34694100.0,ns,2356
Lexer,Rc<str>,counter.lox,,,35579100.0,ns,2418
Lexer,Rc<str>,counter.lox,,,36889100.0,ns,2480
Lexer,Rc<str>,counter.lox,,,37469500.0,ns,2542
Lexer,Rc<str>,counter.lox,,,38306100.0,ns,2604
Lexer,Rc<str>,counter.lox,,,39541600.0,ns,2666
Lexer,Rc<str>,counter.lox,,,40285500.0,ns,2728
Lexer,Rc<str>,counter.lox,,,41239700.0,ns,2790
Lexer,Rc<str>,counter.lox,,,42595900.0,ns,2852
Lexer,Rc<str>,counter.lox,,,43422600.0,ns,2914
Lexer,Rc<str>,counter.lox,,,43566500.0,ns,2976
Lexer,Rc<str>,counter.lox,,,44787800.0,ns,3038
Lexer,Rc<str>,counter.lox,,,47896000.0,ns,3100
Lexer,Rc<str>,counter.lox,,,46414200.0,ns,3162
Lexer,Rc<str>,counter.lox,,,47240300.0,ns,3224
Lexer,Rc<str>,counter.lox,,,48169000.0,ns,3286
Lexer,Rc<str>,counter.lox,,,49374300.0,ns,3348
Lexer,Rc<str>,counter.lox,,,50298300.0,ns,3410
Lexer,Rc<str>,counter.lox,,,51074600.0,ns,3472
Lexer,Rc<str>,counter.lox,,,52167700.0,ns,3534
Lexer,Rc<str>,counter.lox,,,52771800.0,ns,3596
Lexer,Rc<str>,counter.lox,,,53483600.0,ns,3658
Lexer,Rc<str>,counter.lox,,,54623700.0,ns,3720
Lexer,Rc<str>,counter.lox,,,55372900.0,ns,3782
Lexer,Rc<str>,counter.lox,,,56813700.0,ns,3844
Lexer,Rc<str>,counter.lox,,,57901200.0,ns,3906
Lexer,Rc<str>,counter.lox,,,58793900.0,ns,3968
Lexer,Rc<str>,counter.lox,,,59265900.0,ns,4030
Lexer,Rc<str>,counter.lox,,,60973400.0,ns,4092
Lexer,Rc<str>,counter.lox,,,60971900.0,ns,4154
Lexer,Rc<str>,counter.lox,,,63939900.0,ns,4216
Lexer,Rc<str>,counter.lox,,,63117600.0,ns,4278
Lexer,Rc<str>,counter.lox,,,63919600.0,ns,4340
Lexer,Rc<str>,counter.lox,,,64493600.0,ns,4402
Lexer,Rc<str>,counter.lox,,,65551000.0,ns,4464
Lexer,Rc<str>,counter.lox,,,66772500.0,ns,4526
Lexer,Rc<str>,counter.lox,,,67811500.0,ns,4588
Lexer,Rc<str>,counter.lox,,,68471000.0,ns,4650
