group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,Rc<str>,forloop.lox,,,998700.0,ns,210
Lexer,Rc<str>,forloop.lox,,,1819900.0,ns,420
Lexer,Rc<str>,forloop.lox,,,2687000.0,ns,630
Lexer,Rc<str>,forloop.lox,,,3617800.0,ns,840
Lexer,Rc<str>,forloop.lox,,,4534600.0,ns,1050
Lexer,Rc<str>,forloop.lox,,,5531500.0,ns,1260
Lexer,Rc<str>,forloop.lox,,,6430100.0,ns,1470
Lexer,Rc<str>,forloop.lox,,,7372200.0,ns,1680
Lexer,Rc<str>,forloop.lox,,,8260200.0,ns,1890
Lexer,Rc<str>,forloop.lox,,,9265400.0,ns,2100
Lexer,Rc<str>,forloop.lox,,,10086000.0,ns,2310
Lexer,Rc<str>,forloop.lox,,,11152300.0,ns,2520
Lexer,Rc<str>,forloop.lox,,,12262900.0,ns,2730
Lexer,Rc<str>,forloop.lox,,,15499900.0,ns,2940
Lexer,Rc<str>,forloop.lox,,,13933200.0,ns,3150
Lexer,Rc<str>,forloop.lox,,,14824500.0,ns,3360
Lexer,Rc<str>,forloop.lox,,,15809400.0,ns,3570
Lexer,Rc<str>,forloop.lox,,,16860600.0,ns,3780
Lexer,Rc<str>,forloop.lox,,,17702200.0,ns,3990
Lexer,Rc<str>,forloop.lox,,,18584800.0,ns,4200
Lexer,Rc<str>,forloop.lox,,,19670400.0,ns,4410
Lexer,Rc<str>,forloop.lox,,,20507200.0,ns,4620
Lexer,Rc<str>,forloop.lox,,,21410400.0,ns,4830
Lexer,Rc<str>,forloop.lox,,,22470600.0,ns,5040
Lexer,Rc<str>,forloop.lox,,,23284900.0,ns,5250
Lexer,Rc<str>,forloop.lox,,,24429500.0,ns,5460
Lexer,Rc<str>,forloop.lox,,,25325700.0,ns,5670
Lexer,Rc<str>,forloop.lox,,,26115300.0,ns,5880
Lexer,Rc<str>,forloop.lox,,,27299600.0,ns,6090
Lexer,Rc<str>,forloop.lox,,,27665900.0,ns,6300
Lexer,Rc<str>,forloop.lox,,,28786900.0,ns,6510
Lexer,Rc<str>,forloop.lox,,,29735300.0,ns,6720
Lexer,Rc<str>,forloop.lox,,,30906400.0,ns,6930
Lexer,Rc<str>,forloop.lox,,,31686600.0,ns,7140
Lexer,Rc<str>,forloop.lox,,,32651000.0,ns,7350
Lexer,Rc<str>,forloop.lox,,,33575400.0,ns,7560
Lexer,Rc<str>,forloop.lox,,,34598000.0,ns,7770
Lexer,Rc<str>,forloop.lox,,,35128600.0,ns,7980
Lexer,Rc<str>,forloop.lox,,,36246600.0,ns,8190
Lexer,Rc<str>,forloop.lox,,,37450000.0,ns,8400
Lexer,Rc<str>,forloop.lox,,,38387900.0,ns,8610
Lexer,Rc<str>,forloop.lox,,,39413400.0,ns,8820
Lexer,Rc<str>,forloop.lox,,,40127100.0,ns,9030
Lexer,Rc<str>,forloop.lox,,,40766000.0,ns,9240
