group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,Rc<str>,fun-expressions.lox,,,970000.0,ns,78
Lexer,Rc<str>,fun-expressions.lox,,,1937900.0,ns,156
Lexer,Rc<str>,fun-expressions.lox,,,2882000.0,ns,234
Lexer,Rc<str>,fun-expressions.lox,,,3879400.0,ns,312
Lexer,Rc<str>,fun-expressions.lox,,,4906700.0,ns,390
Lexer,Rc<str>,fun-expressions.lox,,,5887300.0,ns,468
Lexer,Rc<str>,fun-expressions.lox,,,6787500.0,ns,546
Lexer,Rc<str>,fun-expressions.lox,,,7817100.0,ns,624
Lexer,Rc<str>,fun-expressions.lox,,,8922200.0,ns,702
Lexer,Rc<str>,fun-expressions.lox,,,9753800.0,ns,780
Lexer,Rc<str>,fun-expressions.lox,,,10711800.0,ns,858
Lexer,Rc<str>,fun-expressions.lox,,,11731500.0,ns,936
Lexer,Rc<str>,fun-expressions.lox,,,12645800.0,ns,1014
Lexer,Rc<str>,fun-expressions.lox,,,13696700.0,ns,1092
Lexer,Rc<str>,fun-expressions.lox,,,14707800.0,ns,1170
Lexer,Rc<str>,fun-expressions.lox,,,15607600.0,ns,1248
Lexer,Rc<str>,fun-expressions.lox,,,16645400.0,ns,1326
Lexer,Rc<str>,fun-expressions.lox,,,17508400.0,ns,1404
Lexer,Rc<str>,fun-expressions.lox,,,18459300.0,ns,1482
Lexer,Rc<str>,fun-expressions.lox,,,19373500.0,ns,1560
Lexer,Rc<str>,fun-expressions.lox,,,20475200.0,ns,1638
Lexer,Rc<str>,fun-expressions.lox,,,21445500.0,ns,1716
Lexer,Rc<str>,fun-expressions.lox,,,22510000.0,ns,1794
Lexer,Rc<str>,fun-expressions.lox,,,23519100.0,ns,1872
Lexer,Rc<str>,fun-expressions.lox,,,24267600.0,ns,1950
Lexer,Rc<str>,fun-expressions.lox,,,25403700.0,ns,2028
Lexer,Rc<str>,fun-expressions.lox,,,26129900.0,ns,2106
Lexer,Rc<str>,fun-expressions.lox,,,27273300.0,ns,2184
Lexer,Rc<str>,fun-expressions.lox,,,28284200.0,ns,2262
Lexer,Rc<str>,fun-expressions.lox,,,29238400.0,ns,2340
Lexer,Rc<str>,fun-expressions.lox,,,30065600.0,ns,2418
Lexer,Rc<str>,fun-expressions.lox,,,31007000.0,ns,2496
Lexer,Rc<str>,fun-expressions.lox,,,32324000.0,ns,2574
Lexer,Rc<str>,fun-expressions.lox,,,32914700.0,ns,2652
Lexer,Rc<str>,fun-expressions.lox,,,34171600.0,ns,2730
Lexer,Rc<str>,fun-expressions.lox,,,34961000.0,ns,2808
Lexer,Rc<str>,fun-expressions.lox,,,35887000.0,ns,2886
Lexer,Rc<str>,fun-expressions.lox,,,37157200.0,ns,2964
Lexer,Rc<str>,fun-expressions.lox,,,38072400.0,ns,3042
Lexer,Rc<str>,fun-expressions.lox,,,38999000.0,ns,3120
Lexer,Rc<str>,fun-expressions.lox,,,40265600.0,ns,3198
Lexer,Rc<str>,fun-expressions.lox,,,41061200.0,ns,3276
Lexer,Rc<str>,fun-expressions.lox,,,42032000.0,ns,3354
Lexer,Rc<str>,fun-expressions.lox,,,42754500.0,ns,3432
Lexer,Rc<str>,fun-expressions.lox,,,43573900.0,ns,3510
Lexer,Rc<str>,fun-expressions.lox,,,44680500.0,ns,3588
Lexer,Rc<str>,fun-expressions.lox,,,45497100.0,ns,3666
Lexer,Rc<str>,fun-expressions.lox,,,46726900.0,ns,3744
Lexer,Rc<str>,fun-expressions.lox,,,47833800.0,ns,3822
Lexer,Rc<str>,fun-expressions.lox,,,48692400.0,ns,3900
Lexer,Rc<str>,fun-expressions.lox,,,49523300.0,ns,3978
Lexer,Rc<str>,fun-expressions.lox,,,50615300.0,ns,4056
Lexer,Rc<str>,fun-expressions.lox,,,51584600.0,ns,4134
Lexer,Rc<str>,fun-expressions.lox,,,52548800.0,ns,4212
Lexer,Rc<str>,fun-expressions.lox,,,53222300.0,ns,4290
Lexer,Rc<str>,fun-expressions.lox,,,54797200.0,ns,4368
Lexer,Rc<str>,fun-expressions.lox,,,55405300.0,ns,4446
Lexer,Rc<str>,fun-expressions.lox,,,56071400.0,ns,4524
Lexer,Rc<str>,fun-expressions.lox,,,57161600.0,ns,4602
Lexer,Rc<str>,fun-expressions.lox,,,58472600.0,ns,4680
Lexer,Rc<str>,fun-expressions.lox,,,59259800.0,ns,4758
Lexer,Rc<str>,fun-expressions.lox,,,60848100.0,ns,4836
Lexer,Rc<str>,fun-expressions.lox,,,61246700.0,ns,4914
Lexer,Rc<str>,fun-expressions.lox,,,62169700.0,ns,4992
Lexer,Rc<str>,fun-expressions.lox,,,63414200.0,ns,5070
Lexer,Rc<str>,fun-expressions.lox,,,64150400.0,ns,5148
Lexer,Rc<str>,fun-expressions.lox,,,65626800.0,ns,5226
Lexer,Rc<str>,fun-expressions.lox,,,66426300.0,ns,5304
Lexer,Rc<str>,fun-expressions.lox,,,67683800.0,ns,5382
Lexer,Rc<str>,fun-expressions.lox,,,68425700.0,ns,5460
Lexer,Rc<str>,fun-expressions.lox,,,69276800.0,ns,5538
Lexer,Rc<str>,fun-expressions.lox,,,70798400.0,ns,5616
Lexer,Rc<str>,fun-expressions.lox,,,71035900.0,ns,5694
Lexer,Rc<str>,fun-expressions.lox,,,71440500.0,ns,5772
Lexer,Rc<str>,fun-expressions.lox,,,73090200.0,ns,5850
Lexer,Rc<str>,fun-expressions.lox,,,74365900.0,ns,5928
Lexer,Rc<str>,fun-expressions.lox,,,75400200.0,ns,6006
Lexer,Rc<str>,fun-expressions.lox,,,75778100.0,ns,6084
Lexer,Rc<str>,fun-expressions.lox,,,76911400.0,ns,6162
Lexer,Rc<str>,fun-expressions.lox,,,77270800.0,ns,6240
Lexer,Rc<str>,fun-expressions.lox,,,78584900.0,ns,6318
Lexer,Rc<str>,fun-expressions.lox,,,79888100.0,ns,6396
Lexer,Rc<str>,fun-expressions.lox,,,80969300.0,ns,6474
Lexer,Rc<str>,fun-expressions.lox,,,82308600.0,ns,6552
Lexer,Rc<str>,fun-expressions.lox,,,82926800.0,ns,6630
Lexer,Rc<str>,fun-expressions.lox,,,83449300.0,ns,6708
Lexer,Rc<str>,fun-expressions.lox,,,84587200.0,ns,6786
Lexer,Rc<str>,fun-expressions.lox,,,85401500.0,ns,6864
Lexer,Rc<str>,fun-expressions.lox,,,86522200.0,ns,6942
Lexer,Rc<str>,fun-expressions.lox,,,88012800.0,ns,7020
Lexer,Rc<str>,fun-expressions.lox,,,88649000.0,ns,7098
Lexer,Rc<str>,fun-expressions.lox,,,89016500.0,ns,7176
Lexer,Rc<str>,fun-expressions.lox,,,90571600.0,ns,7254
Lexer,Rc<str>,fun-expressions.lox,,,91690100.0,ns,7332
Lexer,Rc<str>,fun-expressions.lox,,,92405200.0,ns,7410
Lexer,Rc<str>,fun-expressions.lox,,,93861400.0,ns,7488
Lexer,Rc<str>,fun-expressions.lox,,,94025600.0,ns,7566
Lexer,Rc<str>,fun-expressions.lox,,,94884600.0,ns,7644
Lexer,Rc<str>,fun-expressions.lox,,,95992200.0,ns,7722
Lexer,Rc<str>,fun-expressions.lox,,,97363000.0,ns,7800
