group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,Rc<str>,fun.lox,,,1006100.0,ns,24
Lexer,Rc<str>,fun.lox,,,1913300.0,ns,48
Lexer,Rc<str>,fun.lox,,,2921200.0,ns,72
Lexer,Rc<str>,fun.lox,,,3919500.0,ns,96
Lexer,Rc<str>,fun.lox,,,4922200.0,ns,120
Lexer,Rc<str>,fun.lox,,,5856100.0,ns,144
Lexer,Rc<str>,fun.lox,,,6825500.0,ns,168
Lexer,Rc<str>,fun.lox,,,7815300.0,ns,192
Lexer,Rc<str>,fun.lox,,,8815400.0,ns,216
Lexer,Rc<str>,fun.lox,,,9791700.0,ns,240
Lexer,Rc<str>,fun.lox,,,10824500.0,ns,264
Lexer,Rc<str>,fun.lox,,,11687200.0,ns,288
Lexer,Rc<str>,fun.lox,,,12573300.0,ns,312
Lexer,Rc<str>,fun.lox,,,13947800.0,ns,336
Lexer,Rc<str>,fun.lox,,,14650100.0,ns,360
Lexer,Rc<str>,fun.lox,,,15652600.0,ns,384
Lexer,Rc<str>,fun.lox,,,16520700.0,ns,408
Lexer,Rc<str>,fun.lox,,,17577000.0,ns,432
Lexer,Rc<str>,fun.lox,,,18623700.0,ns,456
Lexer,Rc<str>,fun.lox,,,19645100.0,ns,480
Lexer,Rc<str>,fun.lox,,,20551800.0,ns,504
Lexer,Rc<str>,fun.lox,,,21726300.0,ns,528
Lexer,Rc<str>,fun.lox,,,22508800.0,ns,552
Lexer,Rc<str>,fun.lox,,,23265300.0,ns,576
Lexer,Rc<str>,fun.lox,,,24754100.0,ns,600
Lexer,Rc<str>,fun.lox,,,25523400.0,ns,624
Lexer,Rc<str>,fun.lox,,,26429200.0,ns,648
Lexer,Rc<str>,fun.lox,,,27521600.0,ns,672
Lexer,Rc<str>,fun.lox,,,28405000.0,ns,696
Lexer,Rc<str>,fun.lox,,,29469900.0,ns,720
Lexer,Rc<str>,fun.lox,,,30477300.0,ns,744
Lexer,Rc<str>,fun.lox,,,31383100.0,ns,768
Lexer,Rc<str>,fun.lox,,,32379800.0,ns,792
Lexer,Rc<str>,fun.lox,,,33414000.0,ns,816
Lexer,Rc<str>,fun.lox,,,34319600.0,ns,840
Lexer,Rc<str>,fun.lox,,,35322900.0,ns,864
Lexer,Rc<str>,fun.lox,,,36160000.0,ns,888
Lexer,Rc<str>,fun.lox,,,37457400.0,ns,912
Lexer,Rc<str>,fun.lox,,,38171400.0,ns,936
Lexer,Rc<str>,fun.lox,,,39051700.0,ns,960
Lexer,Rc<str>,fun.lox,,,40038400.0,ns,984
Lexer,Rc<str>,fun.lox,,,41222900.0,ns,1008
Lexer,Rc<str>,fun.lox,,,45846800.0,ns,1032
Lexer,Rc<str>,fun.lox,,,43284800.0,ns,1056
Lexer,Rc<str>,fun.lox,,,44167300.0,ns,1080
Lexer,Rc<str>,fun.lox,,,45082900.0,ns,1104
Lexer,Rc<str>,fun.lox,,,46204400.0,ns,1128
Lexer,Rc<str>,fun.lox,,,47196900.0,ns,1152
Lexer,Rc<str>,fun.lox,,,48336400.0,ns,1176
Lexer,Rc<str>,fun.lox,,,48808400.0,ns,1200
Lexer,Rc<str>,fun.lox,,,49901900.0,ns,1224
Lexer,Rc<str>,fun.lox,,,51300700.0,ns,1248
Lexer,Rc<str>,fun.lox,,,51781100.0,ns,1272
