group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,&'a str,classes.lox,,,973400.0,ns,15
Parser,&'a str,classes.lox,,,1901600.0,ns,30
Parser,&'a str,classes.lox,,,2930800.0,ns,45
Parser,&'a str,classes.lox,,,3879500.0,ns,60
Parser,&'a str,classes.lox,,,4795200.0,ns,75
Parser,&'a str,classes.lox,,,5685100.0,ns,90
Parser,&'a str,classes.lox,,,6569300.0,ns,105
Parser,&'a str,classes.lox,,,7588600.0,ns,120
Parser,&'a str,classes.lox,,,8465100.0,ns,135
Parser,&'a str,classes.lox,,,9447900.0,ns,150
Parser,&'a str,classes.lox,,,10354400.0,ns,165
Parser,&'a str,classes.lox,,,11428600.0,ns,180
Parser,&'a str,classes.lox,,,12196000.0,ns,195
Parser,&'a str,classes.lox,,,13118400.0,ns,210
Parser,&'a str,classes.lox,,,14080100.0,ns,225
Parser,&'a str,classes.lox,,,14972600.0,ns,240
Parser,&'a str,classes.lox,,,16129800.0,ns,255
Parser,&'a str,classes.lox,,,16890600.0,ns,270
Parser,&'a str,classes.lox,,,17927800.0,ns,285
Parser,&'a str,classes.lox,,,19055700.0,ns,300
Parser,&'a str,classes.lox,,,19871100.0,ns,315
Parser,&'a str,classes.lox,,,20801700.0,ns,330
Parser,&'a str,classes.lox,,,21807900.0,ns,345
Parser,&'a str,classes.lox,,,22695800.0,ns,360
Parser,&'a str,classes.lox,,,23474700.0,ns,375
Parser,&'a str,classes.lox,,,24382000.0,ns,390
Parser,&'a str,classes.lox,,,25323700.0,ns,405
Parser,&'a str,classes.lox,,,26603900.0,ns,420
Parser,&'a str,classes.lox,,,27924000.0,ns,435
Parser,&'a str,classes.lox,,,28467700.0,ns,450
Parser,&'a str,classes.lox,,,29782600.0,ns,465
Parser,&'a str,classes.lox,,,30386300.0,ns,480
Parser,&'a str,classes.lox,,,31641500.0,ns,495
Parser,&'a str,classes.lox,,,32263500.0,ns,510
Parser,&'a str,classes.lox,,,33480100.0,ns,525
Parser,&'a str,classes.lox,,,34250000.0,ns,540
Parser,&'a str,classes.lox,,,35302400.0,ns,555
Parser,&'a str,classes.lox,,,36327500.0,ns,570
Parser,&'a str,classes.lox,,,35982900.0,ns,585
Parser,&'a str,classes.lox,,,36803500.0,ns,600
Parser,&'a str,classes.lox,,,37155300.0,ns,615
Parser,&'a str,classes.lox,,,38039000.0,ns,630
Parser,&'a str,classes.lox,,,38905700.0,ns,645
Parser,&'a str,classes.lox,,,39661600.0,ns,660
Parser,&'a str,classes.lox,,,40818200.0,ns,675
Parser,&'a str,classes.lox,,,41442900.0,ns,690
Parser,&'a str,classes.lox,,,42343400.0,ns,705
Parser,&'a str,classes.lox,,,43207000.0,ns,720
Parser,&'a str,classes.lox,,,44316100.0,ns,735
Parser,&'a str,classes.lox,,,45477800.0,ns,750
Parser,&'a str,classes.lox,,,45915000.0,ns,765
Parser,&'a str,classes.lox,,,46859300.0,ns,780
Parser,&'a str,classes.lox,,,47853600.0,ns,795
Parser,&'a str,classes.lox,,,48630500.0,ns,810
Parser,&'a str,classes.lox,,,49534700.0,ns,825
Parser,&'a str,classes.lox,,,50486200.0,ns,840
Parser,&'a str,classes.lox,,,51352900.0,ns,855
Parser,&'a str,classes.lox,,,52377900.0,ns,870
Parser,&'a str,classes.lox,,,53616500.0,ns,885
Parser,&'a str,classes.lox,,,54515300.0,ns,900
Parser,&'a str,classes.lox,,,56174300.0,ns,915
Parser,&'a str,classes.lox,,,56427500.0,ns,930
Parser,&'a str,classes.lox,,,57175700.0,ns,945
Parser,&'a str,classes.lox,,,58034100.0,ns,960
Parser,&'a str,classes.lox,,,59291900.0,ns,975
Parser,&'a str,classes.lox,,,60173800.0,ns,990
Parser,&'a str,classes.lox,,,60358800.0,ns,1005
Parser,&'a str,classes.lox,,,61483300.0,ns,1020
Parser,&'a str,classes.lox,,,62695600.0,ns,1035
Parser,&'a str,classes.lox,,,63578600.0,ns,1050
Parser,&'a str,classes.lox,,,64493100.0,ns,1065
Parser,&'a str,classes.lox,,,65048000.0,ns,1080
Parser,&'a str,classes.lox,,,65991600.0,ns,1095
Parser,&'a str,classes.lox,,,67320000.0,ns,1110
Parser,&'a str,classes.lox,,,68160100.0,ns,1125
Parser,&'a str,classes.lox,,,69608600.0,ns,1140
Parser,&'a str,classes.lox,,,72033300.0,ns,1155
Parser,&'a str,classes.lox,,,73361900.0,ns,1170
Parser,&'a str,classes.lox,,,73835000.0,ns,1185
Parser,&'a str,classes.lox,,,75130200.0,ns,1200
Parser,&'a str,classes.lox,,,75726100.0,ns,1215
