group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,&'a str,counter.lox,,,931600.0,ns,52
Parser,&'a str,counter.lox,,,1809200.0,ns,104
Parser,&'a str,counter.lox,,,2653300.0,ns,156
Parser,&'a str,counter.lox,,,3601000.0,ns,208
Parser,&'a str,counter.lox,,,4481700.0,ns,260
Parser,&'a str,counter.lox,,,5354500.0,ns,312
Parser,&'a str,counter.lox,,,6281400.0,ns,364
Parser,&'a str,counter.lox,,,7136100.0,ns,416
Parser,&'a str,counter.lox,,,8071700.0,ns,468
Parser,&'a str,counter.lox,,,8934600.0,ns,520
Parser,&'a str,counter.lox,,,9817000.0,ns,572
Parser,&'a str,counter.lox,,,10843800.0,ns,624
Parser,&'a str,counter.lox,,,11640800.0,ns,676
Parser,&'a str,counter.lox,,,12519200.0,ns,728
Parser,&'a str,counter.lox,,,13537800.0,ns,780
Parser,&'a str,counter.lox,,,14484600.0,ns,832
Parser,&'a str,counter.lox,,,15333600.0,ns,884
Parser,&'a str,counter.lox,,,16237400.0,ns,936
Parser,&'a str,counter.lox,,,17233100.0,ns,988
Parser,&'a str,counter.lox,,,18077900.0,ns,1040
Parser,&'a str,counter.lox,,,19016400.0,ns,1092
Parser,&'a str,counter.lox,,,19914900.0,ns,1144
Parser,&'a str,counter.lox,,,20752200.0,ns,1196
Parser,&'a str,counter.lox,,,21716100.0,ns,1248
Parser,&'a str,counter.lox,,,22582300.0,ns,1300
Parser,&'a str,counter.lox,,,23474000.0,ns,1352
Parser,&'a str,counter.lox,,,24357700.0,ns,1404
Parser,&'a str,counter.lox,,,25286100.0,ns,1456
Parser,&'a str,counter.lox,,,26457100.0,ns,1508
Parser,&'a str,counter.lox,,,27108000.0,ns,1560
Parser,&'a str,counter.lox,,,27789700.0,ns,1612
Parser,&'a str,counter.lox,,,28562800.0,ns,1664
Parser,&'a str,counter.lox,,,29442900.0,ns,1716
Parser,&'a str,counter.lox,,,30360200.0,ns,1768
Parser,&'a str,counter.lox,,,31267000.0,ns,1820
Parser,&'a str,counter.lox,,,32090000.0,ns,1872
Parser,&'a str,counter.lox,,,33057300.0,ns,1924
Parser,&'a str,counter.lox,,,33942500.0,ns,1976
Parser,&'a str,counter.lox,,,35646400.0,ns,2028
Parser,&'a str,counter.lox,,,36870400.0,ns,2080
Parser,&'a str,counter.lox,,,36564500.0,ns,2132
Parser,&'a str,counter.lox,,,38792900.0,ns,2184
Parser,&'a str,counter.lox,,,38592600.0,ns,2236
Parser,&'a str,counter.lox,,,39726800.0,ns,2288
Parser,&'a str,counter.lox,,,40814100.0,ns,2340
Parser,&'a str,counter.lox,,,41714600.0,ns,2392
Parser,&'a str,counter.lox,,,42659700.0,ns,2444
Parser,&'a str,counter.lox,,,43190800.0,ns,2496
Parser,&'a str,counter.lox,,,43744500.0,ns,2548
Parser,&'a str,counter.lox,,,44702000.0,ns,2600
Parser,&'a str,counter.lox,,,45521200.0,ns,2652
Parser,&'a str,counter.lox,,,46483500.0,ns,2704
Parser,&'a str,counter.lox,,,47363700.0,ns,2756
Parser,&'a str,counter.lox,,,48352300.0,ns,2808
Parser,&'a str,counter.lox,,,49325300.0,ns,2860
Parser,&'a str,counter.lox,,,50206700.0,ns,2912
Parser,&'a str,counter.lox,,,51393900.0,ns,2964
Parser,&'a str,counter.lox,,,52013400.0,ns,3016
Parser,&'a str,counter.lox,,,52881400.0,ns,3068
Parser,&'a str,counter.lox,,,53737400.0,ns,3120
Parser,&'a str,counter.lox,,,55142500.0,ns,3172
Parser,&'a str,counter.lox,,,55781200.0,ns,3224
Parser,&'a str,counter.lox,,,56762800.0,ns,3276
Parser,&'a str,counter.lox,,,57793200.0,ns,3328
Parser,&'a str,counter.lox,,,58621600.0,ns,3380
Parser,&'a str,counter.lox,,,59674500.0,ns,3432
Parser,&'a str,counter.lox,,,60286400.0,ns,3484
Parser,&'a str,counter.lox,,,61060200.0,ns,3536
Parser,&'a str,counter.lox,,,61980300.0,ns,3588
Parser,&'a str,counter.lox,,,62835000.0,ns,3640
Parser,&'a str,counter.lox,,,63631900.0,ns,3692
Parser,&'a str,counter.lox,,,64531400.0,ns,3744
Parser,&'a str,counter.lox,,,66899000.0,ns,3796
Parser,&'a str,counter.lox,,,68318700.0,ns,3848
Parser,&'a str,counter.lox,,,68648900.0,ns,3900
Parser,&'a str,counter.lox,,,69568600.0,ns,3952
Parser,&'a str,counter.lox,,,70769700.0,ns,4004
Parser,&'a str,counter.lox,,,71268600.0,ns,4056
Parser,&'a str,counter.lox,,,71768100.0,ns,4108
Parser,&'a str,counter.lox,,,72822300.0,ns,4160
Parser,&'a str,counter.lox,,,73563000.0,ns,4212
Parser,&'a str,counter.lox,,,74459200.0,ns,4264
Parser,&'a str,counter.lox,,,75429300.0,ns,4316
Parser,&'a str,counter.lox,,,76743300.0,ns,4368
Parser,&'a str,counter.lox,,,77822300.0,ns,4420
Parser,&'a str,counter.lox,,,78508400.0,ns,4472
Parser,&'a str,counter.lox,,,78721600.0,ns,4524
Parser,&'a str,counter.lox,,,80728300.0,ns,4576
Parser,&'a str,counter.lox,,,80923000.0,ns,4628
Parser,&'a str,counter.lox,,,81617800.0,ns,4680
Parser,&'a str,counter.lox,,,82280400.0,ns,4732
Parser,&'a str,counter.lox,,,82972100.0,ns,4784
Parser,&'a str,counter.lox,,,83633300.0,ns,4836
Parser,&'a str,counter.lox,,,84728300.0,ns,4888
Parser,&'a str,counter.lox,,,85286100.0,ns,4940
Parser,&'a str,counter.lox,,,86223700.0,ns,4992
Parser,&'a str,counter.lox,,,87116000.0,ns,5044
Parser,&'a str,counter.lox,,,89014000.0,ns,5096
Parser,&'a str,counter.lox,,,89843900.0,ns,5148
Parser,&'a str,counter.lox,,,91328000.0,ns,5200
