group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,&'a str,fib.lox,,,1073100.0,ns,40
Parser,&'a str,fib.lox,,,1734000.0,ns,80
Parser,&'a str,fib.lox,,,2566300.0,ns,120
Parser,&'a str,fib.lox,,,3495100.0,ns,160
Parser,&'a str,fib.lox,,,4357400.0,ns,200
Parser,&'a str,fib.lox,,,5202000.0,ns,240
Parser,&'a str,fib.lox,,,6149700.0,ns,280
Parser,&'a str,fib.lox,,,7224000.0,ns,320
Parser,&'a str,fib.lox,,,8362100.0,ns,360
Parser,&'a str,fib.lox,,,9035100.0,ns,400
Parser,&'a str,fib.lox,,,9819600.0,ns,440
Parser,&'a str,fib.lox,,,10609200.0,ns,480
Parser,&'a str,fib.lox,,,11880400.0,ns,520
Parser,&'a str,fib.lox,,,12834700.0,ns,560
Parser,&'a str,fib.lox,,,13912300.0,ns,600
Parser,&'a str,fib.lox,,,14779900.0,ns,640
Parser,&'a str,fib.lox,,,15700200.0,ns,680
Parser,&'a str,fib.lox,,,16568100.0,ns,720
Parser,&'a str,fib.lox,,,17980100.0,ns,760
Parser,&'a str,fib.lox,,,18662100.0,ns,800
Parser,&'a str,fib.lox,,,19765000.0,ns,840
Parser,&'a str,fib.lox,,,20778900.0,ns,880
Parser,&'a str,fib.lox,,,21431600.0,ns,920
Parser,&'a str,fib.lox,,,25638600.0,ns,960
Parser,&'a str,fib.lox,,,22872000.0,ns,1000
Parser,&'a str,fib.lox,,,24055500.0,ns,1040
Parser,&'a str,fib.lox,,,24819200.0,ns,1080
Parser,&'a str,fib.lox,,,25406900.0,ns,1120
Parser,&'a str,fib.lox,,,26757200.0,ns,1160
Parser,&'a str,fib.lox,,,26447200.0,ns,1200
Parser,&'a str,fib.lox,,,26677200.0,ns,1240
Parser,&'a str,fib.lox,,,28633200.0,ns,1280
Parser,&'a str,fib.lox,,,29280700.0,ns,1320
Parser,&'a str,fib.lox,,,30509900.0,ns,1360
Parser,&'a str,fib.lox,,,30239500.0,ns,1400
Parser,&'a str,fib.lox,,,32209700.0,ns,1440
Parser,&'a str,fib.lox,,,32706400.0,ns,1480
Parser,&'a str,fib.lox,,,33285900.0,ns,1520
Parser,&'a str,fib.lox,,,33088900.0,ns,1560
Parser,&'a str,fib.lox,,,34254400.0,ns,1600
Parser,&'a str,fib.lox,,,36132100.0,ns,1640
Parser,&'a str,fib.lox,,,35989000.0,ns,1680
Parser,&'a str,fib.lox,,,36996300.0,ns,1720
Parser,&'a str,fib.lox,,,38391400.0,ns,1760
