group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,&'a str,fizzbuzz2.lox,,,929800.0,ns,17
Parser,&'a str,fizzbuzz2.lox,,,1811200.0,ns,34
Parser,&'a str,fizzbuzz2.lox,,,2690400.0,ns,51
Parser,&'a str,fizzbuzz2.lox,,,3606500.0,ns,68
Parser,&'a str,fizzbuzz2.lox,,,4520100.0,ns,85
Parser,&'a str,fizzbuzz2.lox,,,5490000.0,ns,102
Parser,&'a str,fizzbuzz2.lox,,,6318300.0,ns,119
Parser,&'a str,fizzbuzz2.lox,,,7249000.0,ns,136
Parser,&'a str,fizzbuzz2.lox,,,8150200.0,ns,153
Parser,&'a str,fizzbuzz2.lox,,,9084500.0,ns,170
Parser,&'a str,fizzbuzz2.lox,,,9938000.0,ns,187
Parser,&'a str,fizzbuzz2.lox,,,10847900.0,ns,204
Parser,&'a str,fizzbuzz2.lox,,,11852100.0,ns,221
Parser,&'a str,fizzbuzz2.lox,,,12650200.0,ns,238
Parser,&'a str,fizzbuzz2.lox,,,13547700.0,ns,255
Parser,&'a str,fizzbuzz2.lox,,,14448200.0,ns,272
Parser,&'a str,fizzbuzz2.lox,,,15375200.0,ns,289
Parser,&'a str,fizzbuzz2.lox,,,16249000.0,ns,306
Parser,&'a str,fizzbuzz2.lox,,,17146600.0,ns,323
Parser,&'a str,fizzbuzz2.lox,,,18070500.0,ns,340
Parser,&'a str,fizzbuzz2.lox,,,19000700.0,ns,357
Parser,&'a str,fizzbuzz2.lox,,,19974100.0,ns,374
Parser,&'a str,fizzbuzz2.lox,,,20759700.0,ns,391
Parser,&'a str,fizzbuzz2.lox,,,21611100.0,ns,408
Parser,&'a str,fizzbuzz2.lox,,,22593000.0,ns,425
Parser,&'a str,fizzbuzz2.lox,,,23463100.0,ns,442
Parser,&'a str,fizzbuzz2.lox,,,24431100.0,ns,459
Parser,&'a str,fizzbuzz2.lox,,,25303500.0,ns,476
Parser,&'a str,fizzbuzz2.lox,,,26164500.0,ns,493
Parser,&'a str,fizzbuzz2.lox,,,27051400.0,ns,510
Parser,&'a str,fizzbuzz2.lox,,,27986600.0,ns,527
Parser,&'a str,fizzbuzz2.lox,,,28869000.0,ns,544
Parser,&'a str,fizzbuzz2.lox,,,29758800.0,ns,561
Parser,&'a str,fizzbuzz2.lox,,,30751600.0,ns,578
Parser,&'a str,fizzbuzz2.lox,,,31980500.0,ns,595
Parser,&'a str,fizzbuzz2.lox,,,32888900.0,ns,612
Parser,&'a str,fizzbuzz2.lox,,,33560000.0,ns,629
Parser,&'a str,fizzbuzz2.lox,,,34379100.0,ns,646
Parser,&'a str,fizzbuzz2.lox,,,35161200.0,ns,663
Parser,&'a str,fizzbuzz2.lox,,,36131400.0,ns,680
Parser,&'a str,fizzbuzz2.lox,,,37754000.0,ns,697
Parser,&'a str,fizzbuzz2.lox,,,38363400.0,ns,714
Parser,&'a str,fizzbuzz2.lox,,,39274500.0,ns,731
Parser,&'a str,fizzbuzz2.lox,,,39837900.0,ns,748
Parser,&'a str,fizzbuzz2.lox,,,40587900.0,ns,765
Parser,&'a str,fizzbuzz2.lox,,,41432800.0,ns,782
Parser,&'a str,fizzbuzz2.lox,,,42513500.0,ns,799
Parser,&'a str,fizzbuzz2.lox,,,43289500.0,ns,816
Parser,&'a str,fizzbuzz2.lox,,,44304600.0,ns,833
Parser,&'a str,fizzbuzz2.lox,,,45611800.0,ns,850
Parser,&'a str,fizzbuzz2.lox,,,46526300.0,ns,867
Parser,&'a str,fizzbuzz2.lox,,,47602000.0,ns,884
Parser,&'a str,fizzbuzz2.lox,,,47789500.0,ns,901
Parser,&'a str,fizzbuzz2.lox,,,48884000.0,ns,918
Parser,&'a str,fizzbuzz2.lox,,,49595200.0,ns,935
Parser,&'a str,fizzbuzz2.lox,,,50529200.0,ns,952
Parser,&'a str,fizzbuzz2.lox,,,51945600.0,ns,969
Parser,&'a str,fizzbuzz2.lox,,,52885500.0,ns,986
Parser,&'a str,fizzbuzz2.lox,,,53729900.0,ns,1003
Parser,&'a str,fizzbuzz2.lox,,,54306600.0,ns,1020
Parser,&'a str,fizzbuzz2.lox,,,55029400.0,ns,1037
Parser,&'a str,fizzbuzz2.lox,,,56179200.0,ns,1054
Parser,&'a str,fizzbuzz2.lox,,,56894400.0,ns,1071
Parser,&'a str,fizzbuzz2.lox,,,57677100.0,ns,1088
Parser,&'a str,fizzbuzz2.lox,,,58495700.0,ns,1105
Parser,&'a str,fizzbuzz2.lox,,,59544400.0,ns,1122
Parser,&'a str,fizzbuzz2.lox,,,60373200.0,ns,1139
Parser,&'a str,fizzbuzz2.lox,,,61176500.0,ns,1156
Parser,&'a str,fizzbuzz2.lox,,,62095900.0,ns,1173
Parser,&'a str,fizzbuzz2.lox,,,63706500.0,ns,1190
Parser,&'a str,fizzbuzz2.lox,,,64128800.0,ns,1207
Parser,&'a str,fizzbuzz2.lox,,,64795700.0,ns,1224
Parser,&'a str,fizzbuzz2.lox,,,65738300.0,ns,1241
Parser,&'a str,fizzbuzz2.lox,,,67157500.0,ns,1258
Parser,&'a str,fizzbuzz2.lox,,,68376100.0,ns,1275
Parser,&'a str,fizzbuzz2.lox,,,69447600.0,ns,1292
Parser,&'a str,fizzbuzz2.lox,,,70664500.0,ns,1309
Parser,&'a str,fizzbuzz2.lox,,,71623400.0,ns,1326
Parser,&'a str,fizzbuzz2.lox,,,71893200.0,ns,1343
Parser,&'a str,fizzbuzz2.lox,,,72367800.0,ns,1360
Parser,&'a str,fizzbuzz2.lox,,,73820700.0,ns,1377
Parser,&'a str,fizzbuzz2.lox,,,73915400.0,ns,1394
Parser,&'a str,fizzbuzz2.lox,,,74788900.0,ns,1411
Parser,&'a str,fizzbuzz2.lox,,,75677200.0,ns,1428
Parser,&'a str,fizzbuzz2.lox,,,77637300.0,ns,1445
Parser,&'a str,fizzbuzz2.lox,,,78520400.0,ns,1462
Parser,&'a str,fizzbuzz2.lox,,,79409000.0,ns,1479
Parser,&'a str,fizzbuzz2.lox,,,80490000.0,ns,1496
Parser,&'a str,fizzbuzz2.lox,,,81755700.0,ns,1513
Parser,&'a str,fizzbuzz2.lox,,,83118200.0,ns,1530
Parser,&'a str,fizzbuzz2.lox,,,83420500.0,ns,1547
Parser,&'a str,fizzbuzz2.lox,,,84217300.0,ns,1564
Parser,&'a str,fizzbuzz2.lox,,,85113000.0,ns,1581
Parser,&'a str,fizzbuzz2.lox,,,86085400.0,ns,1598
Parser,&'a str,fizzbuzz2.lox,,,86551300.0,ns,1615
Parser,&'a str,fizzbuzz2.lox,,,87804900.0,ns,1632
Parser,&'a str,fizzbuzz2.lox,,,89859900.0,ns,1649
Parser,&'a str,fizzbuzz2.lox,,,90309500.0,ns,1666
Parser,&'a str,fizzbuzz2.lox,,,90866900.0,ns,1683
Parser,&'a str,fizzbuzz2.lox,,,92209700.0,ns,1700
