group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,Rc<str>,fib.lox,,,952100.0,ns,25
Parser,Rc<str>,fib.lox,,,1820800.0,ns,50
Parser,Rc<str>,fib.lox,,,2797600.0,ns,75
Parser,Rc<str>,fib.lox,,,3594900.0,ns,100
Parser,Rc<str>,fib.lox,,,4506500.0,ns,125
Parser,Rc<str>,fib.lox,,,5417800.0,ns,150
Parser,Rc<str>,fib.lox,,,6353600.0,ns,175
Parser,Rc<str>,fib.lox,,,7293300.0,ns,200
Parser,Rc<str>,fib.lox,,,8096000.0,ns,225
Parser,Rc<str>,fib.lox,,,9033600.0,ns,250
Parser,Rc<str>,fib.lox,,,9916600.0,ns,275
Parser,Rc<str>,fib.lox,,,10916200.0,ns,300
Parser,Rc<str>,fib.lox,,,11706500.0,ns,325
Parser,Rc<str>,fib.lox,,,12772900.0,ns,350
Parser,Rc<str>,fib.lox,,,13584600.0,ns,375
Parser,Rc<str>,fib.lox,,,14485800.0,ns,400
Parser,Rc<str>,fib.lox,,,15416600.0,ns,425
Parser,Rc<str>,fib.lox,,,16370600.0,ns,450
Parser,Rc<str>,fib.lox,,,17123700.0,ns,475
Parser,Rc<str>,fib.lox,,,18021000.0,ns,500
Parser,Rc<str>,fib.lox,,,18958100.0,ns,525
Parser,Rc<str>,fib.lox,,,19924900.0,ns,550
Parser,Rc<str>,fib.lox,,,20700900.0,ns,575
Parser,Rc<str>,fib.lox,,,21534200.0,ns,600
Parser,Rc<str>,fib.lox,,,22639600.0,ns,625
Parser,Rc<str>,fib.lox,,,23622000.0,ns,650
Parser,Rc<str>,fib.lox,,,24373000.0,ns,675
Parser,Rc<str>,fib.lox,,,25256200.0,ns,700
Parser,Rc<str>,fib.lox,,,26210100.0,ns,725
Parser,Rc<str>,fib.lox,,,27154400.0,ns,750
Parser,Rc<str>,fib.lox,,,27960400.0,ns,775
Parser,Rc<str>,fib.lox,,,28901800.0,ns,800
Parser,Rc<str>,fib.lox,,,29782000.0,ns,825
Parser,Rc<str>,fib.lox,,,30740600.0,ns,850
Parser,Rc<str>,fib.lox,,,31546800.0,ns,875
Parser,Rc<str>,fib.lox,,,32701100.0,ns,900
Parser,Rc<str>,fib.lox,,,33522300.0,ns,925
Parser,Rc<str>,fib.lox,,,34579400.0,ns,950
Parser,Rc<str>,fib.lox,,,35335400.0,ns,975
Parser,Rc<str>,fib.lox,,,36160500.0,ns,1000
Parser,Rc<str>,fib.lox,,,37101200.0,ns,1025
Parser,Rc<str>,fib.lox,,,38013400.0,ns,1050
Parser,Rc<str>,fib.lox,,,40843300.0,ns,1075
Parser,Rc<str>,fib.lox,,,39879300.0,ns,1100
Parser,Rc<str>,fib.lox,,,40968300.0,ns,1125
Parser,Rc<str>,fib.lox,,,41707900.0,ns,1150
Parser,Rc<str>,fib.lox,,,42404000.0,ns,1175
Parser,Rc<str>,fib.lox,,,43300000.0,ns,1200
Parser,Rc<str>,fib.lox,,,44274200.0,ns,1225
Parser,Rc<str>,fib.lox,,,45165300.0,ns,1250
Parser,Rc<str>,fib.lox,,,46048300.0,ns,1275
Parser,Rc<str>,fib.lox,,,46930500.0,ns,1300
Parser,Rc<str>,fib.lox,,,47836500.0,ns,1325
Parser,Rc<str>,fib.lox,,,48839600.0,ns,1350
Parser,Rc<str>,fib.lox,,,49659000.0,ns,1375
Parser,Rc<str>,fib.lox,,,50715500.0,ns,1400
Parser,Rc<str>,fib.lox,,,51669400.0,ns,1425
Parser,Rc<str>,fib.lox,,,52569800.0,ns,1450
Parser,Rc<str>,fib.lox,,,53506800.0,ns,1475
Parser,Rc<str>,fib.lox,,,54332900.0,ns,1500
Parser,Rc<str>,fib.lox,,,55387100.0,ns,1525
Parser,Rc<str>,fib.lox,,,56086500.0,ns,1550
Parser,Rc<str>,fib.lox,,,57329200.0,ns,1575
Parser,Rc<str>,fib.lox,,,57915300.0,ns,1600
Parser,Rc<str>,fib.lox,,,58892200.0,ns,1625
Parser,Rc<str>,fib.lox,,,60688800.0,ns,1650
Parser,Rc<str>,fib.lox,,,62909900.0,ns,1675
Parser,Rc<str>,fib.lox,,,63727600.0,ns,1700
Parser,Rc<str>,fib.lox,,,64725600.0,ns,1725
Parser,Rc<str>,fib.lox,,,65808200.0,ns,1750
Parser,Rc<str>,fib.lox,,,66617500.0,ns,1775
Parser,Rc<str>,fib.lox,,,67310300.0,ns,1800
Parser,Rc<str>,fib.lox,,,68101300.0,ns,1825
Parser,Rc<str>,fib.lox,,,68873700.0,ns,1850
Parser,Rc<str>,fib.lox,,,70290800.0,ns,1875
Parser,Rc<str>,fib.lox,,,71324800.0,ns,1900
Parser,Rc<str>,fib.lox,,,71893600.0,ns,1925
Parser,Rc<str>,fib.lox,,,73596200.0,ns,1950
Parser,Rc<str>,fib.lox,,,73914200.0,ns,1975
Parser,Rc<str>,fib.lox,,,75760300.0,ns,2000
Parser,Rc<str>,fib.lox,,,76241300.0,ns,2025
Parser,Rc<str>,fib.lox,,,77019500.0,ns,2050
Parser,Rc<str>,fib.lox,,,75722500.0,ns,2075
Parser,Rc<str>,fib.lox,,,75881300.0,ns,2100
Parser,Rc<str>,fib.lox,,,77084100.0,ns,2125
Parser,Rc<str>,fib.lox,,,77723000.0,ns,2150
Parser,Rc<str>,fib.lox,,,78582600.0,ns,2175
Parser,Rc<str>,fib.lox,,,79575700.0,ns,2200
Parser,Rc<str>,fib.lox,,,80460300.0,ns,2225
Parser,Rc<str>,fib.lox,,,81416500.0,ns,2250
Parser,Rc<str>,fib.lox,,,82874300.0,ns,2275
Parser,Rc<str>,fib.lox,,,83430400.0,ns,2300
Parser,Rc<str>,fib.lox,,,84679800.0,ns,2325
Parser,Rc<str>,fib.lox,,,85270900.0,ns,2350
Parser,Rc<str>,fib.lox,,,86030500.0,ns,2375
Parser,Rc<str>,fib.lox,,,86888500.0,ns,2400
