group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,Rc<str>,fizzbuzz1.lox,,,1012900.0,ns,11
Parser,Rc<str>,fizzbuzz1.lox,,,1910200.0,ns,22
Parser,Rc<str>,fizzbuzz1.lox,,,2772300.0,ns,33
Parser,Rc<str>,fizzbuzz1.lox,,,3729900.0,ns,44
Parser,Rc<str>,fizzbuzz1.lox,,,4725100.0,ns,55
Parser,Rc<str>,fizzbuzz1.lox,,,5743600.0,ns,66
Parser,Rc<str>,fizzbuzz1.lox,,,6707000.0,ns,77
Parser,Rc<str>,fizzbuzz1.lox,,,7713200.0,ns,88
Parser,Rc<str>,fizzbuzz1.lox,,,8597600.0,ns,99
Parser,Rc<str>,fizzbuzz1.lox,,,9546500.0,ns,110
Parser,Rc<str>,fizzbuzz1.lox,,,10614500.0,ns,121
Parser,Rc<str>,fizzbuzz1.lox,,,11404300.0,ns,132
Parser,Rc<str>,fizzbuzz1.lox,,,12346100.0,ns,143
Parser,Rc<str>,fizzbuzz1.lox,,,13403100.0,ns,154
Parser,Rc<str>,fizzbuzz1.lox,,,14400700.0,ns,165
Parser,Rc<str>,fizzbuzz1.lox,,,15414600.0,ns,176
Parser,Rc<str>,fizzbuzz1.lox,,,16304500.0,ns,187
Parser,Rc<str>,fizzbuzz1.lox,,,17228500.0,ns,198
Parser,Rc<str>,fizzbuzz1.lox,,,18295200.0,ns,209
Parser,Rc<str>,fizzbuzz1.lox,,,19254000.0,ns,220
Parser,Rc<str>,fizzbuzz1.lox,,,20139300.0,ns,231
Parser,Rc<str>,fizzbuzz1.lox,,,21428100.0,ns,242
Parser,Rc<str>,fizzbuzz1.lox,,,22925400.0,ns,253
Parser,Rc<str>,fizzbuzz1.lox,,,22852200.0,ns,264
Parser,Rc<str>,fizzbuzz1.lox,,,24101500.0,ns,275
Parser,Rc<str>,fizzbuzz1.lox,,,25071900.0,ns,286
Parser,Rc<str>,fizzbuzz1.lox,,,26052800.0,ns,297
Parser,Rc<str>,fizzbuzz1.lox,,,26966300.0,ns,308
Parser,Rc<str>,fizzbuzz1.lox,,,27850300.0,ns,319
Parser,Rc<str>,fizzbuzz1.lox,,,28966000.0,ns,330
Parser,Rc<str>,fizzbuzz1.lox,,,29671000.0,ns,341
Parser,Rc<str>,fizzbuzz1.lox,,,30651200.0,ns,352
Parser,Rc<str>,fizzbuzz1.lox,,,31554800.0,ns,363
Parser,Rc<str>,fizzbuzz1.lox,,,32569000.0,ns,374
Parser,Rc<str>,fizzbuzz1.lox,,,33584400.0,ns,385
Parser,Rc<str>,fizzbuzz1.lox,,,34495300.0,ns,396
Parser,Rc<str>,fizzbuzz1.lox,,,35501600.0,ns,407
Parser,Rc<str>,fizzbuzz1.lox,,,36775500.0,ns,418
