group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,Rc<str>,forloop.lox,,,920200.0,ns,87
Parser,Rc<str>,forloop.lox,,,1777600.0,ns,174
Parser,Rc<str>,forloop.lox,,,2661500.0,ns,261
Parser,Rc<str>,forloop.lox,,,3575800.0,ns,348
Parser,Rc<str>,forloop.lox,,,4610700.0,ns,435
Parser,Rc<str>,forloop.lox,,,5410300.0,ns,522
Parser,Rc<str>,forloop.lox,,,6296100.0,ns,609
Parser,Rc<str>,forloop.lox,,,7227800.0,ns,696
Parser,Rc<str>,forloop.lox,,,8353600.0,ns,783
Parser,Rc<str>,forloop.lox,,,8981500.0,ns,870
Parser,Rc<str>,forloop.lox,,,9884800.0,ns,957
Parser,Rc<str>,forloop.lox,,,10746100.0,ns,1044
Parser,Rc<str>,forloop.lox,,,11637000.0,ns,1131
Parser,Rc<str>,forloop.lox,,,12556900.0,ns,1218
Parser,Rc<str>,forloop.lox,,,13522700.0,ns,1305
Parser,Rc<str>,forloop.lox,,,14382500.0,ns,1392
Parser,Rc<str>,forloop.lox,,,15413300.0,ns,1479
Parser,Rc<str>,forloop.lox,,,16354900.0,ns,1566
Parser,Rc<str>,forloop.lox,,,17041100.0,ns,1653
Parser,Rc<str>,forloop.lox,,,17985800.0,ns,1740
Parser,Rc<str>,forloop.lox,,,18880700.0,ns,1827
Parser,Rc<str>,forloop.lox,,,19728400.0,ns,1914
Parser,Rc<str>,forloop.lox,,,20664600.0,ns,2001
Parser,Rc<str>,forloop.lox,,,21537900.0,ns,2088
Parser,Rc<str>,forloop.lox,,,22479400.0,ns,2175
Parser,Rc<str>,forloop.lox,,,23316500.0,ns,2262
Parser,Rc<str>,forloop.lox,,,24381000.0,ns,2349
Parser,Rc<str>,forloop.lox,,,25300400.0,ns,2436
Parser,Rc<str>,forloop.lox,,,26130300.0,ns,2523
Parser,Rc<str>,forloop.lox,,,27049500.0,ns,2610
Parser,Rc<str>,forloop.lox,,,27925200.0,ns,2697
Parser,Rc<str>,forloop.lox,,,28819400.0,ns,2784
Parser,Rc<str>,forloop.lox,,,29727800.0,ns,2871
Parser,Rc<str>,forloop.lox,,,30687400.0,ns,2958
Parser,Rc<str>,forloop.lox,,,31776200.0,ns,3045
Parser,Rc<str>,forloop.lox,,,34016600.0,ns,3132
Parser,Rc<str>,forloop.lox,,,33329100.0,ns,3219
Parser,Rc<str>,forloop.lox,,,34210100.0,ns,3306
Parser,Rc<str>,forloop.lox,,,35001100.0,ns,3393
Parser,Rc<str>,forloop.lox,,,35979600.0,ns,3480
Parser,Rc<str>,forloop.lox,,,36816300.0,ns,3567
Parser,Rc<str>,forloop.lox,,,37656500.0,ns,3654
Parser,Rc<str>,forloop.lox,,,38731000.0,ns,3741
Parser,Rc<str>,forloop.lox,,,39692600.0,ns,3828
Parser,Rc<str>,forloop.lox,,,40681000.0,ns,3915
Parser,Rc<str>,forloop.lox,,,41504300.0,ns,4002
Parser,Rc<str>,forloop.lox,,,42277900.0,ns,4089
Parser,Rc<str>,forloop.lox,,,43214200.0,ns,4176
Parser,Rc<str>,forloop.lox,,,44214400.0,ns,4263
Parser,Rc<str>,forloop.lox,,,45002600.0,ns,4350
Parser,Rc<str>,forloop.lox,,,46123800.0,ns,4437
Parser,Rc<str>,forloop.lox,,,46904400.0,ns,4524
Parser,Rc<str>,forloop.lox,,,47728900.0,ns,4611
Parser,Rc<str>,forloop.lox,,,48443200.0,ns,4698
Parser,Rc<str>,forloop.lox,,,49311000.0,ns,4785
Parser,Rc<str>,forloop.lox,,,50237300.0,ns,4872
Parser,Rc<str>,forloop.lox,,,51005200.0,ns,4959
Parser,Rc<str>,forloop.lox,,,51907700.0,ns,5046
Parser,Rc<str>,forloop.lox,,,53371000.0,ns,5133
Parser,Rc<str>,forloop.lox,,,53972000.0,ns,5220
Parser,Rc<str>,forloop.lox,,,54640800.0,ns,5307
Parser,Rc<str>,forloop.lox,,,55742500.0,ns,5394
Parser,Rc<str>,forloop.lox,,,56558400.0,ns,5481
Parser,Rc<str>,forloop.lox,,,57515600.0,ns,5568
Parser,Rc<str>,forloop.lox,,,58447000.0,ns,5655
Parser,Rc<str>,forloop.lox,,,59201000.0,ns,5742
Parser,Rc<str>,forloop.lox,,,60014600.0,ns,5829
Parser,Rc<str>,forloop.lox,,,61017000.0,ns,5916
Parser,Rc<str>,forloop.lox,,,61822700.0,ns,6003
Parser,Rc<str>,forloop.lox,,,63097500.0,ns,6090
Parser,Rc<str>,forloop.lox,,,63663400.0,ns,6177
Parser,Rc<str>,forloop.lox,,,64853000.0,ns,6264
Parser,Rc<str>,forloop.lox,,,65806300.0,ns,6351
Parser,Rc<str>,forloop.lox,,,66414400.0,ns,6438
Parser,Rc<str>,forloop.lox,,,67545100.0,ns,6525
Parser,Rc<str>,forloop.lox,,,68029300.0,ns,6612
Parser,Rc<str>,forloop.lox,,,68900200.0,ns,6699
Parser,Rc<str>,forloop.lox,,,69844400.0,ns,6786
Parser,Rc<str>,forloop.lox,,,70934900.0,ns,6873
Parser,Rc<str>,forloop.lox,,,71681200.0,ns,6960
Parser,Rc<str>,forloop.lox,,,72561900.0,ns,7047
Parser,Rc<str>,forloop.lox,,,73618300.0,ns,7134
Parser,Rc<str>,forloop.lox,,,74929000.0,ns,7221
Parser,Rc<str>,forloop.lox,,,76013300.0,ns,7308
Parser,Rc<str>,forloop.lox,,,76494900.0,ns,7395
Parser,Rc<str>,forloop.lox,,,77288500.0,ns,7482
Parser,Rc<str>,forloop.lox,,,78187100.0,ns,7569
Parser,Rc<str>,forloop.lox,,,79717100.0,ns,7656
Parser,Rc<str>,forloop.lox,,,80291200.0,ns,7743
Parser,Rc<str>,forloop.lox,,,80916000.0,ns,7830
Parser,Rc<str>,forloop.lox,,,81705900.0,ns,7917
Parser,Rc<str>,forloop.lox,,,82591800.0,ns,8004
Parser,Rc<str>,forloop.lox,,,83529100.0,ns,8091
Parser,Rc<str>,forloop.lox,,,84852200.0,ns,8178
Parser,Rc<str>,forloop.lox,,,85868900.0,ns,8265
Parser,Rc<str>,forloop.lox,,,86753000.0,ns,8352
Parser,Rc<str>,forloop.lox,,,88234400.0,ns,8439
Parser,Rc<str>,forloop.lox,,,88527100.0,ns,8526
Parser,Rc<str>,forloop.lox,,,89607800.0,ns,8613
Parser,Rc<str>,forloop.lox,,,91111600.0,ns,8700
