group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,Rc<str>,fun-expressions.lox,,,941800.0,ns,32
Parser,Rc<str>,fun-expressions.lox,,,1832100.0,ns,64
Parser,Rc<str>,fun-expressions.lox,,,2734200.0,ns,96
Parser,Rc<str>,fun-expressions.lox,,,3655700.0,ns,128
Parser,Rc<str>,fun-expressions.lox,,,4690300.0,ns,160
Parser,Rc<str>,fun-expressions.lox,,,5502200.0,ns,192
Parser,Rc<str>,fun-expressions.lox,,,6425600.0,ns,224
Parser,Rc<str>,fun-expressions.lox,,,7364500.0,ns,256
Parser,Rc<str>,fun-expressions.lox,,,8262400.0,ns,288
Parser,Rc<str>,fun-expressions.lox,,,9174300.0,ns,320
Parser,Rc<str>,fun-expressions.lox,,,10080600.0,ns,352
Parser,Rc<str>,fun-expressions.lox,,,10975000.0,ns,384
Parser,Rc<str>,fun-expressions.lox,,,11900200.0,ns,416
Parser,Rc<str>,fun-expressions.lox,,,12838500.0,ns,448
Parser,Rc<str>,fun-expressions.lox,,,13812400.0,ns,480
Parser,Rc<str>,fun-expressions.lox,,,14675300.0,ns,512
Parser,Rc<str>,fun-expressions.lox,,,15586200.0,ns,544
Parser,Rc<str>,fun-expressions.lox,,,16609100.0,ns,576
Parser,Rc<str>,fun-expressions.lox,,,17821400.0,ns,608
Parser,Rc<str>,fun-expressions.lox,,,18317900.0,ns,640
Parser,Rc<str>,fun-expressions.lox,,,19228000.0,ns,672
Parser,Rc<str>,fun-expressions.lox,,,20087400.0,ns,704
Parser,Rc<str>,fun-expressions.lox,,,21088100.0,ns,736
Parser,Rc<str>,fun-expressions.lox,,,21977500.0,ns,768
Parser,Rc<str>,fun-expressions.lox,,,22890300.0,ns,800
Parser,Rc<str>,fun-expressions.lox,,,23794800.0,ns,832
Parser,Rc<str>,fun-expressions.lox,,,24684300.0,ns,864
Parser,Rc<str>,fun-expressions.lox,,,25567300.0,ns,896
Parser,Rc<str>,fun-expressions.lox,,,26539300.0,ns,928
Parser,Rc<str>,fun-expressions.lox,,,27423900.0,ns,960
Parser,Rc<str>,fun-expressions.lox,,,28344100.0,ns,992
Parser,Rc<str>,fun-expressions.lox,,,29329500.0,ns,1024
Parser,Rc<str>,fun-expressions.lox,,,30394900.0,ns,1056
Parser,Rc<str>,fun-expressions.lox,,,31137000.0,ns,1088
Parser,Rc<str>,fun-expressions.lox,,,32035400.0,ns,1120
Parser,Rc<str>,fun-expressions.lox,,,32919600.0,ns,1152
Parser,Rc<str>,fun-expressions.lox,,,33816700.0,ns,1184
Parser,Rc<str>,fun-expressions.lox,,,34762200.0,ns,1216
Parser,Rc<str>,fun-expressions.lox,,,35696000.0,ns,1248
Parser,Rc<str>,fun-expressions.lox,,,36561600.0,ns,1280
Parser,Rc<str>,fun-expressions.lox,,,37664300.0,ns,1312
Parser,Rc<str>,fun-expressions.lox,,,38375900.0,ns,1344
Parser,Rc<str>,fun-expressions.lox,,,39224300.0,ns,1376
Parser,Rc<str>,fun-expressions.lox,,,40233200.0,ns,1408
Parser,Rc<str>,fun-expressions.lox,,,41156500.0,ns,1440
Parser,Rc<str>,fun-expressions.lox,,,41984900.0,ns,1472
Parser,Rc<str>,fun-expressions.lox,,,42940900.0,ns,1504
Parser,Rc<str>,fun-expressions.lox,,,43934200.0,ns,1536
Parser,Rc<str>,fun-expressions.lox,,,44892000.0,ns,1568
Parser,Rc<str>,fun-expressions.lox,,,46284000.0,ns,1600
Parser,Rc<str>,fun-expressions.lox,,,46691600.0,ns,1632
Parser,Rc<str>,fun-expressions.lox,,,47543900.0,ns,1664
Parser,Rc<str>,fun-expressions.lox,,,48446100.0,ns,1696
Parser,Rc<str>,fun-expressions.lox,,,49322100.0,ns,1728
Parser,Rc<str>,fun-expressions.lox,,,50217600.0,ns,1760
Parser,Rc<str>,fun-expressions.lox,,,51104000.0,ns,1792
Parser,Rc<str>,fun-expressions.lox,,,52134800.0,ns,1824
Parser,Rc<str>,fun-expressions.lox,,,52890500.0,ns,1856
Parser,Rc<str>,fun-expressions.lox,,,54046200.0,ns,1888
Parser,Rc<str>,fun-expressions.lox,,,54902600.0,ns,1920
Parser,Rc<str>,fun-expressions.lox,,,55788600.0,ns,1952
Parser,Rc<str>,fun-expressions.lox,,,56651900.0,ns,1984
Parser,Rc<str>,fun-expressions.lox,,,57524900.0,ns,2016
Parser,Rc<str>,fun-expressions.lox,,,58565400.0,ns,2048
Parser,Rc<str>,fun-expressions.lox,,,59462000.0,ns,2080
Parser,Rc<str>,fun-expressions.lox,,,60607800.0,ns,2112
Parser,Rc<str>,fun-expressions.lox,,,61273900.0,ns,2144
Parser,Rc<str>,fun-expressions.lox,,,62478700.0,ns,2176
Parser,Rc<str>,fun-expressions.lox,,,63072300.0,ns,2208
Parser,Rc<str>,fun-expressions.lox,,,64039200.0,ns,2240
Parser,Rc<str>,fun-expressions.lox,,,64796900.0,ns,2272
Parser,Rc<str>,fun-expressions.lox,,,65709200.0,ns,2304
Parser,Rc<str>,fun-expressions.lox,,,66587200.0,ns,2336
Parser,Rc<str>,fun-expressions.lox,,,68063500.0,ns,2368
Parser,Rc<str>,fun-expressions.lox,,,68678000.0,ns,2400
Parser,Rc<str>,fun-expressions.lox,,,69753600.0,ns,2432
Parser,Rc<str>,fun-expressions.lox,,,70554100.0,ns,2464
Parser,Rc<str>,fun-expressions.lox,,,71688600.0,ns,2496
Parser,Rc<str>,fun-expressions.lox,,,72445300.0,ns,2528
Parser,Rc<str>,fun-expressions.lox,,,73184700.0,ns,2560
Parser,Rc<str>,fun-expressions.lox,,,73828500.0,ns,2592
Parser,Rc<str>,fun-expressions.lox,,,75188900.0,ns,2624
Parser,Rc<str>,fun-expressions.lox,,,75646500.0,ns,2656
Parser,Rc<str>,fun-expressions.lox,,,76558300.0,ns,2688
Parser,Rc<str>,fun-expressions.lox,,,77412500.0,ns,2720
Parser,Rc<str>,fun-expressions.lox,,,78209500.0,ns,2752
Parser,Rc<str>,fun-expressions.lox,,,79243300.0,ns,2784
Parser,Rc<str>,fun-expressions.lox,,,80325800.0,ns,2816
Parser,Rc<str>,fun-expressions.lox,,,80973600.0,ns,2848
Parser,Rc<str>,fun-expressions.lox,,,81543400.0,ns,2880
Parser,Rc<str>,fun-expressions.lox,,,82447700.0,ns,2912
Parser,Rc<str>,fun-expressions.lox,,,83272500.0,ns,2944
Parser,Rc<str>,fun-expressions.lox,,,84505700.0,ns,2976
Parser,Rc<str>,fun-expressions.lox,,,85409100.0,ns,3008
Parser,Rc<str>,fun-expressions.lox,,,87028600.0,ns,3040
Parser,Rc<str>,fun-expressions.lox,,,87394200.0,ns,3072
Parser,Rc<str>,fun-expressions.lox,,,88231200.0,ns,3104
Parser,Rc<str>,fun-expressions.lox,,,88983600.0,ns,3136
Parser,Rc<str>,fun-expressions.lox,,,90054900.0,ns,3168
Parser,Rc<str>,fun-expressions.lox,,,91477300.0,ns,3200
