group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,Rc<str>,linked-list.lox,,,1022200.0,ns,3
Parser,Rc<str>,linked-list.lox,,,1972900.0,ns,6
Parser,Rc<str>,linked-list.lox,,,2693100.0,ns,9
Parser,Rc<str>,linked-list.lox,,,3592100.0,ns,12
Parser,Rc<str>,linked-list.lox,,,4479300.0,ns,15
Parser,Rc<str>,linked-list.lox,,,5382400.0,ns,18
Parser,Rc<str>,linked-list.lox,,,6312000.0,ns,21
Parser,Rc<str>,linked-list.lox,,,7214300.0,ns,24
Parser,Rc<str>,linked-list.lox,,,8090400.0,ns,27
Parser,Rc<str>,linked-list.lox,,,9021900.0,ns,30
Parser,Rc<str>,linked-list.lox,,,10000700.0,ns,33
Parser,Rc<str>,linked-list.lox,,,10824800.0,ns,36
Parser,Rc<str>,linked-list.lox,,,11743400.0,ns,39
Parser,Rc<str>,linked-list.lox,,,12650600.0,ns,42
Parser,Rc<str>,linked-list.lox,,,13558600.0,ns,45
Parser,Rc<str>,linked-list.lox,,,14467200.0,ns,48
Parser,Rc<str>,linked-list.lox,,,15432300.0,ns,51
Parser,Rc<str>,linked-list.lox,,,16294900.0,ns,54
Parser,Rc<str>,linked-list.lox,,,17168100.0,ns,57
Parser,Rc<str>,linked-list.lox,,,18187900.0,ns,60
Parser,Rc<str>,linked-list.lox,,,18938500.0,ns,63
Parser,Rc<str>,linked-list.lox,,,19879300.0,ns,66
Parser,Rc<str>,linked-list.lox,,,20769900.0,ns,69
Parser,Rc<str>,linked-list.lox,,,21703800.0,ns,72
Parser,Rc<str>,linked-list.lox,,,22552600.0,ns,75
Parser,Rc<str>,linked-list.lox,,,23489200.0,ns,78
Parser,Rc<str>,linked-list.lox,,,24585400.0,ns,81
Parser,Rc<str>,linked-list.lox,,,25558600.0,ns,84
Parser,Rc<str>,linked-list.lox,,,26166300.0,ns,87
Parser,Rc<str>,linked-list.lox,,,27062200.0,ns,90
Parser,Rc<str>,linked-list.lox,,,27998600.0,ns,93
Parser,Rc<str>,linked-list.lox,,,28923700.0,ns,96
Parser,Rc<str>,linked-list.lox,,,29817400.0,ns,99
Parser,Rc<str>,linked-list.lox,,,30707900.0,ns,102
Parser,Rc<str>,linked-list.lox,,,31612800.0,ns,105
Parser,Rc<str>,linked-list.lox,,,32512600.0,ns,108
Parser,Rc<str>,linked-list.lox,,,33160300.0,ns,111
Parser,Rc<str>,linked-list.lox,,,33877000.0,ns,114
Parser,Rc<str>,linked-list.lox,,,34897800.0,ns,117
Parser,Rc<str>,linked-list.lox,,,35917000.0,ns,120
Parser,Rc<str>,linked-list.lox,,,36635600.0,ns,123
Parser,Rc<str>,linked-list.lox,,,37499700.0,ns,126
Parser,Rc<str>,linked-list.lox,,,38324900.0,ns,129
Parser,Rc<str>,linked-list.lox,,,39214500.0,ns,132
Parser,Rc<str>,linked-list.lox,,,39967300.0,ns,135
Parser,Rc<str>,linked-list.lox,,,40754200.0,ns,138
Parser,Rc<str>,linked-list.lox,,,41632600.0,ns,141
Parser,Rc<str>,linked-list.lox,,,42582900.0,ns,144
Parser,Rc<str>,linked-list.lox,,,43344400.0,ns,147
Parser,Rc<str>,linked-list.lox,,,44264600.0,ns,150
Parser,Rc<str>,linked-list.lox,,,45228900.0,ns,153
Parser,Rc<str>,linked-list.lox,,,46382200.0,ns,156
Parser,Rc<str>,linked-list.lox,,,47460300.0,ns,159
Parser,Rc<str>,linked-list.lox,,,48500300.0,ns,162
Parser,Rc<str>,linked-list.lox,,,49233000.0,ns,165
Parser,Rc<str>,linked-list.lox,,,50189600.0,ns,168
Parser,Rc<str>,linked-list.lox,,,51062900.0,ns,171
Parser,Rc<str>,linked-list.lox,,,51933300.0,ns,174
Parser,Rc<str>,linked-list.lox,,,52789100.0,ns,177
Parser,Rc<str>,linked-list.lox,,,53841700.0,ns,180
Parser,Rc<str>,linked-list.lox,,,56616700.0,ns,183
Parser,Rc<str>,linked-list.lox,,,59388800.0,ns,186
Parser,Rc<str>,linked-list.lox,,,60201300.0,ns,189
Parser,Rc<str>,linked-list.lox,,,60909900.0,ns,192
Parser,Rc<str>,linked-list.lox,,,61782600.0,ns,195
Parser,Rc<str>,linked-list.lox,,,62332400.0,ns,198
Parser,Rc<str>,linked-list.lox,,,63383400.0,ns,201
Parser,Rc<str>,linked-list.lox,,,64146300.0,ns,204
Parser,Rc<str>,linked-list.lox,,,65174600.0,ns,207
Parser,Rc<str>,linked-list.lox,,,66188100.0,ns,210
Parser,Rc<str>,linked-list.lox,,,67615600.0,ns,213
Parser,Rc<str>,linked-list.lox,,,68094800.0,ns,216
Parser,Rc<str>,linked-list.lox,,,68998200.0,ns,219
Parser,Rc<str>,linked-list.lox,,,69686300.0,ns,222
Parser,Rc<str>,linked-list.lox,,,71231900.0,ns,225
Parser,Rc<str>,linked-list.lox,,,73770300.0,ns,228
Parser,Rc<str>,linked-list.lox,,,74915100.0,ns,231
Parser,Rc<str>,linked-list.lox,,,77281400.0,ns,234
Parser,Rc<str>,linked-list.lox,,,77239100.0,ns,237
Parser,Rc<str>,linked-list.lox,,,78373700.0,ns,240
Parser,Rc<str>,linked-list.lox,,,78935900.0,ns,243
Parser,Rc<str>,linked-list.lox,,,80190000.0,ns,246
Parser,Rc<str>,linked-list.lox,,,80762500.0,ns,249
Parser,Rc<str>,linked-list.lox,,,81908200.0,ns,252
Parser,Rc<str>,linked-list.lox,,,80261100.0,ns,255
Parser,Rc<str>,linked-list.lox,,,81103300.0,ns,258
Parser,Rc<str>,linked-list.lox,,,82400700.0,ns,261
Parser,Rc<str>,linked-list.lox,,,83143100.0,ns,264
Parser,Rc<str>,linked-list.lox,,,83918300.0,ns,267
Parser,Rc<str>,linked-list.lox,,,85718000.0,ns,270
Parser,Rc<str>,linked-list.lox,,,86187100.0,ns,273
Parser,Rc<str>,linked-list.lox,,,86842000.0,ns,276
Parser,Rc<str>,linked-list.lox,,,88200900.0,ns,279
Parser,Rc<str>,linked-list.lox,,,88969200.0,ns,282
Parser,Rc<str>,linked-list.lox,,,89992700.0,ns,285
Parser,Rc<str>,linked-list.lox,,,91841900.0,ns,288
Parser,Rc<str>,linked-list.lox,,,92198200.0,ns,291
Parser,Rc<str>,linked-list.lox,,,93326800.0,ns,294
Parser,Rc<str>,linked-list.lox,,,94437700.0,ns,297
Parser,Rc<str>,linked-list.lox,,,95682400.0,ns,300
