group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,&'a str,classes.lox,,,1020500.0,ns,21
Lexer,&'a str,classes.lox,,,2031200.0,ns,42
Lexer,&'a str,classes.lox,,,3028800.0,ns,63
Lexer,&'a str,classes.lox,,,4023900.0,ns,84
Lexer,&'a str,classes.lox,,,5065100.0,ns,105
Lexer,&'a str,classes.lox,,,6053700.0,ns,126
Lexer,&'a str,classes.lox,,,7165100.0,ns,147
Lexer,&'a str,classes.lox,,,8130700.0,ns,168
Lexer,&'a str,classes.lox,,,9120000.0,ns,189
Lexer,&'a str,classes.lox,,,10146000.0,ns,210
Lexer,&'a str,classes.lox,,,11249900.0,ns,231
Lexer,&'a str,classes.lox,,,12245600.0,ns,252
Lexer,&'a str,classes.lox,,,13250600.0,ns,273
Lexer,&'a str,classes.lox,,,14211200.0,ns,294
Lexer,&'a str,classes.lox,,,15337900.0,ns,315
Lexer,&'a str,classes.lox,,,16202300.0,ns,336
Lexer,&'a str,classes.lox,,,17487200.0,ns,357
Lexer,&'a str,classes.lox,,,18355300.0,ns,378
Lexer,&'a str,classes.lox,,,19490900.0,ns,399
Lexer,&'a str,classes.lox,,,20185900.0,ns,420
Lexer,&'a str,classes.lox,,,21318900.0,ns,441
Lexer,&'a str,classes.lox,,,22194000.0,ns,462
Lexer,&'a str,classes.lox,,,23319000.0,ns,483
Lexer,&'a str,classes.lox,,,24378800.0,ns,504
Lexer,&'a str,classes.lox,,,25059300.0,ns,525
Lexer,&'a str,classes.lox,,,26235700.0,ns,546
Lexer,&'a str,classes.lox,,,27145300.0,ns,567
Lexer,&'a str,classes.lox,,,28677300.0,ns,588
Lexer,&'a str,classes.lox,,,29764400.0,ns,609
Lexer,&'a str,classes.lox,,,30861900.0,ns,630
Lexer,&'a str,classes.lox,,,31937900.0,ns,651
Lexer,&'a str,classes.lox,,,32245800.0,ns,672
Lexer,&'a str,classes.lox,,,33361200.0,ns,693
Lexer,&'a str,classes.lox,,,34466700.0,ns,714
Lexer,&'a str,classes.lox,,,35397600.0,ns,735
Lexer,&'a str,classes.lox,,,36432200.0,ns,756
Lexer,&'a str,classes.lox,,,37310200.0,ns,777
Lexer,&'a str,classes.lox,,,38568600.0,ns,798
