group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,&'a str,fun-expressions.lox,,,1229000.0,ns,82
Lexer,&'a str,fun-expressions.lox,,,1979900.0,ns,164
Lexer,&'a str,fun-expressions.lox,,,2884900.0,ns,246
Lexer,&'a str,fun-expressions.lox,,,3955500.0,ns,328
Lexer,&'a str,fun-expressions.lox,,,4979600.0,ns,410
Lexer,&'a str,fun-expressions.lox,,,5971300.0,ns,492
Lexer,&'a str,fun-expressions.lox,,,6871000.0,ns,574
Lexer,&'a str,fun-expressions.lox,,,7873700.0,ns,656
Lexer,&'a str,fun-expressions.lox,,,8924600.0,ns,738
Lexer,&'a str,fun-expressions.lox,,,9942400.0,ns,820
Lexer,&'a str,fun-expressions.lox,,,10822300.0,ns,902
Lexer,&'a str,fun-expressions.lox,,,11933100.0,ns,984
Lexer,&'a str,fun-expressions.lox,,,13085100.0,ns,1066
Lexer,&'a str,fun-expressions.lox,,,14059200.0,ns,1148
Lexer,&'a str,fun-expressions.lox,,,15030000.0,ns,1230
Lexer,&'a str,fun-expressions.lox,,,16002900.0,ns,1312
Lexer,&'a str,fun-expressions.lox,,,17018200.0,ns,1394
Lexer,&'a str,fun-expressions.lox,,,17794200.0,ns,1476
Lexer,&'a str,fun-expressions.lox,,,18855100.0,ns,1558
Lexer,&'a str,fun-expressions.lox,,,19807500.0,ns,1640
Lexer,&'a str,fun-expressions.lox,,,20936000.0,ns,1722
Lexer,&'a str,fun-expressions.lox,,,22041700.0,ns,1804
Lexer,&'a str,fun-expressions.lox,,,23020100.0,ns,1886
Lexer,&'a str,fun-expressions.lox,,,23972400.0,ns,1968
Lexer,&'a str,fun-expressions.lox,,,24915700.0,ns,2050
Lexer,&'a str,fun-expressions.lox,,,25929500.0,ns,2132
Lexer,&'a str,fun-expressions.lox,,,26685400.0,ns,2214
Lexer,&'a str,fun-expressions.lox,,,27552500.0,ns,2296
Lexer,&'a str,fun-expressions.lox,,,28734700.0,ns,2378
Lexer,&'a str,fun-expressions.lox,,,29536700.0,ns,2460
Lexer,&'a str,fun-expressions.lox,,,30736300.0,ns,2542
Lexer,&'a str,fun-expressions.lox,,,31741300.0,ns,2624
Lexer,&'a str,fun-expressions.lox,,,33538300.0,ns,2706
Lexer,&'a str,fun-expressions.lox,,,33990100.0,ns,2788
Lexer,&'a str,fun-expressions.lox,,,34783100.0,ns,2870
Lexer,&'a str,fun-expressions.lox,,,35876300.0,ns,2952
Lexer,&'a str,fun-expressions.lox,,,36812500.0,ns,3034
Lexer,&'a str,fun-expressions.lox,,,37930000.0,ns,3116
Lexer,&'a str,fun-expressions.lox,,,38802300.0,ns,3198
Lexer,&'a str,fun-expressions.lox,,,39542900.0,ns,3280
Lexer,&'a str,fun-expressions.lox,,,40454800.0,ns,3362
Lexer,&'a str,fun-expressions.lox,,,41260800.0,ns,3444
Lexer,&'a str,fun-expressions.lox,,,42430200.0,ns,3526
Lexer,&'a str,fun-expressions.lox,,,43126200.0,ns,3608
Lexer,&'a str,fun-expressions.lox,,,44268400.0,ns,3690
Lexer,&'a str,fun-expressions.lox,,,45580000.0,ns,3772
Lexer,&'a str,fun-expressions.lox,,,46298200.0,ns,3854
Lexer,&'a str,fun-expressions.lox,,,47484800.0,ns,3936
Lexer,&'a str,fun-expressions.lox,,,48229700.0,ns,4018
Lexer,&'a str,fun-expressions.lox,,,49198900.0,ns,4100
Lexer,&'a str,fun-expressions.lox,,,51211100.0,ns,4182
Lexer,&'a str,fun-expressions.lox,,,51578400.0,ns,4264
Lexer,&'a str,fun-expressions.lox,,,52117700.0,ns,4346
Lexer,&'a str,fun-expressions.lox,,,53118000.0,ns,4428
Lexer,&'a str,fun-expressions.lox,,,54108800.0,ns,4510
Lexer,&'a str,fun-expressions.lox,,,56060700.0,ns,4592
Lexer,&'a str,fun-expressions.lox,,,56988100.0,ns,4674
Lexer,&'a str,fun-expressions.lox,,,57680400.0,ns,4756
Lexer,&'a str,fun-expressions.lox,,,58220000.0,ns,4838
Lexer,&'a str,fun-expressions.lox,,,59279500.0,ns,4920
Lexer,&'a str,fun-expressions.lox,,,60053600.0,ns,5002
Lexer,&'a str,fun-expressions.lox,,,60981400.0,ns,5084
Lexer,&'a str,fun-expressions.lox,,,61665600.0,ns,5166
