group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,Rc<str>,classes.lox,,,977200.0,ns,20
Lexer,Rc<str>,classes.lox,,,1956900.0,ns,40
Lexer,Rc<str>,classes.lox,,,2919600.0,ns,60
Lexer,Rc<str>,classes.lox,,,4020900.0,ns,80
Lexer,Rc<str>,classes.lox,,,4906200.0,ns,100
Lexer,Rc<str>,classes.lox,,,5869200.0,ns,120
Lexer,Rc<str>,classes.lox,,,6853800.0,ns,140
Lexer,Rc<str>,classes.lox,,,7822300.0,ns,160
Lexer,Rc<str>,classes.lox,,,8881300.0,ns,180
Lexer,Rc<str>,classes.lox,,,9797000.0,ns,200
Lexer,Rc<str>,classes.lox,,,10784600.0,ns,220
Lexer,Rc<str>,classes.lox,,,11785800.0,ns,240
Lexer,Rc<str>,classes.lox,,,12741100.0,ns,260
Lexer,Rc<str>,classes.lox,,,13803200.0,ns,280
Lexer,Rc<str>,classes.lox,,,14699800.0,ns,300
Lexer,Rc<str>,classes.lox,,,15703700.0,ns,320
Lexer,Rc<str>,classes.lox,,,16663500.0,ns,340
Lexer,Rc<str>,classes.lox,,,17740900.0,ns,360
Lexer,Rc<str>,classes.lox,,,18666700.0,ns,380
Lexer,Rc<str>,classes.lox,,,19610500.0,ns,400
Lexer,Rc<str>,classes.lox,,,20815500.0,ns,420
Lexer,Rc<str>,classes.lox,,,21697300.0,ns,440
Lexer,Rc<str>,classes.lox,,,22617100.0,ns,460
Lexer,Rc<str>,classes.lox,,,23900600.0,ns,480
Lexer,Rc<str>,classes.lox,,,24817800.0,ns,500
Lexer,Rc<str>,classes.lox,,,25857800.0,ns,520
Lexer,Rc<str>,classes.lox,,,26729100.0,ns,540
Lexer,Rc<str>,classes.lox,,,27556400.0,ns,560
Lexer,Rc<str>,classes.lox,,,28665000.0,ns,580
Lexer,Rc<str>,classes.lox,,,29543200.0,ns,600
Lexer,Rc<str>,classes.lox,,,30576000.0,ns,620
Lexer,Rc<str>,classes.lox,,,31481800.0,ns,640
Lexer,Rc<str>,classes.lox,,,36110200.0,ns,660
Lexer,Rc<str>,classes.lox,,,33708300.0,ns,680
Lexer,Rc<str>,classes.lox,,,34520700.0,ns,700
Lexer,Rc<str>,classes.lox,,,35482000.0,ns,720
Lexer,Rc<str>,classes.lox,,,37023500.0,ns,740
Lexer,Rc<str>,classes.lox,,,37534600.0,ns,760
Lexer,Rc<str>,classes.lox,,,38359700.0,ns,780
Lexer,Rc<str>,classes.lox,,,39626600.0,ns,800
Lexer,Rc<str>,classes.lox,,,40361400.0,ns,820
Lexer,Rc<str>,classes.lox,,,41479900.0,ns,840
Lexer,Rc<str>,classes.lox,,,42817200.0,ns,860
Lexer,Rc<str>,classes.lox,,,43395500.0,ns,880
Lexer,Rc<str>,classes.lox,,,44263600.0,ns,900
Lexer,Rc<str>,classes.lox,,,45333400.0,ns,920
Lexer,Rc<str>,classes.lox,,,46311100.0,ns,940
Lexer,Rc<str>,classes.lox,,,47230000.0,ns,960
Lexer,Rc<str>,classes.lox,,,48262500.0,ns,980
Lexer,Rc<str>,classes.lox,,,49283500.0,ns,1000
Lexer,Rc<str>,classes.lox,,,50509300.0,ns,1020
Lexer,Rc<str>,classes.lox,,,52150400.0,ns,1040
Lexer,Rc<str>,classes.lox,,,52639500.0,ns,1060
Lexer,Rc<str>,classes.lox,,,53680200.0,ns,1080
Lexer,Rc<str>,classes.lox,,,54285000.0,ns,1100
Lexer,Rc<str>,classes.lox,,,55559900.0,ns,1120
Lexer,Rc<str>,classes.lox,,,56158000.0,ns,1140
Lexer,Rc<str>,classes.lox,,,56914900.0,ns,1160
Lexer,Rc<str>,classes.lox,,,57957100.0,ns,1180
Lexer,Rc<str>,classes.lox,,,59152200.0,ns,1200
Lexer,Rc<str>,classes.lox,,,60774000.0,ns,1220
Lexer,Rc<str>,classes.lox,,,61186100.0,ns,1240
Lexer,Rc<str>,classes.lox,,,62144400.0,ns,1260
Lexer,Rc<str>,classes.lox,,,63110600.0,ns,1280
Lexer,Rc<str>,classes.lox,,,63910000.0,ns,1300
Lexer,Rc<str>,classes.lox,,,65579400.0,ns,1320
Lexer,Rc<str>,classes.lox,,,65854100.0,ns,1340
Lexer,Rc<str>,classes.lox,,,67090900.0,ns,1360
Lexer,Rc<str>,classes.lox,,,69161400.0,ns,1380
Lexer,Rc<str>,classes.lox,,,69527800.0,ns,1400
Lexer,Rc<str>,classes.lox,,,71018300.0,ns,1420
Lexer,Rc<str>,classes.lox,,,71137700.0,ns,1440
Lexer,Rc<str>,classes.lox,,,71974100.0,ns,1460
Lexer,Rc<str>,classes.lox,,,73504500.0,ns,1480
Lexer,Rc<str>,classes.lox,,,74536400.0,ns,1500
Lexer,Rc<str>,classes.lox,,,75215200.0,ns,1520
Lexer,Rc<str>,classes.lox,,,75919000.0,ns,1540
Lexer,Rc<str>,classes.lox,,,77293300.0,ns,1560
Lexer,Rc<str>,classes.lox,,,78173700.0,ns,1580
Lexer,Rc<str>,classes.lox,,,79443200.0,ns,1600
Lexer,Rc<str>,classes.lox,,,80426800.0,ns,1620
Lexer,Rc<str>,classes.lox,,,81079500.0,ns,1640
Lexer,Rc<str>,classes.lox,,,82352900.0,ns,1660
Lexer,Rc<str>,classes.lox,,,83811500.0,ns,1680
Lexer,Rc<str>,classes.lox,,,83936500.0,ns,1700
Lexer,Rc<str>,classes.lox,,,84827600.0,ns,1720
Lexer,Rc<str>,classes.lox,,,85765400.0,ns,1740
Lexer,Rc<str>,classes.lox,,,87033200.0,ns,1760
Lexer,Rc<str>,classes.lox,,,88245000.0,ns,1780
Lexer,Rc<str>,classes.lox,,,88844600.0,ns,1800
Lexer,Rc<str>,classes.lox,,,90166100.0,ns,1820
Lexer,Rc<str>,classes.lox,,,91002700.0,ns,1840
Lexer,Rc<str>,classes.lox,,,91931800.0,ns,1860
Lexer,Rc<str>,classes.lox,,,93680800.0,ns,1880
Lexer,Rc<str>,classes.lox,,,94202200.0,ns,1900
Lexer,Rc<str>,classes.lox,,,94902900.0,ns,1920
Lexer,Rc<str>,classes.lox,,,95756700.0,ns,1940
Lexer,Rc<str>,classes.lox,,,96827100.0,ns,1960
Lexer,Rc<str>,classes.lox,,,97572600.0,ns,1980
Lexer,Rc<str>,classes.lox,,,98651700.0,ns,2000
