group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,Rc<str>,counter.lox,,,1083900.0,ns,66
Lexer,Rc<str>,counter.lox,,,1938000.0,ns,132
Lexer,Rc<str>,counter.lox,,,2843300.0,ns,198
Lexer,Rc<str>,counter.lox,,,3785000.0,ns,264
Lexer,Rc<str>,counter.lox,,,4710400.0,ns,330
Lexer,Rc<str>,counter.lox,,,5759500.0,ns,396
Lexer,Rc<str>,counter.lox,,,6701200.0,ns,462
Lexer,Rc<str>,counter.lox,,,7675900.0,ns,528
Lexer,Rc<str>,counter.lox,,,8655600.0,ns,594
Lexer,Rc<str>,counter.lox,,,9581200.0,ns,660
Lexer,Rc<str>,counter.lox,,,10594900.0,ns,726
Lexer,Rc<str>,counter.lox,,,11610400.0,ns,792
Lexer,Rc<str>,counter.lox,,,12521300.0,ns,858
Lexer,Rc<str>,counter.lox,,,13499900.0,ns,924
Lexer,Rc<str>,counter.lox,,,14500000.0,ns,990
Lexer,Rc<str>,counter.lox,,,15513700.0,ns,1056
Lexer,Rc<str>,counter.lox,,,16351100.0,ns,1122
Lexer,Rc<str>,counter.lox,,,17359800.0,ns,1188
Lexer,Rc<str>,counter.lox,,,18234900.0,ns,1254
Lexer,Rc<str>,counter.lox,,,19370200.0,ns,1320
Lexer,Rc<str>,counter.lox,,,20251800.0,ns,1386
Lexer,Rc<str>,counter.lox,,,21245200.0,ns,1452
Lexer,Rc<str>,counter.lox,,,22286100.0,ns,1518
Lexer,Rc<str>,counter.lox,,,23119400.0,ns,1584
Lexer,Rc<str>,counter.lox,,,24046100.0,ns,1650
Lexer,Rc<str>,counter.lox,,,25107800.0,ns,1716
Lexer,Rc<str>,counter.lox,,,26001400.0,ns,1782
Lexer,Rc<str>,counter.lox,,,26961900.0,ns,1848
Lexer,Rc<str>,counter.lox,,,28292000.0,ns,1914
Lexer,Rc<str>,counter.lox,,,29055000.0,ns,1980
Lexer,Rc<str>,counter.lox,,,29950500.0,ns,2046
Lexer,Rc<str>,counter.lox,,,31105600.0,ns,2112
Lexer,Rc<str>,counter.lox,,,31815100.0,ns,2178
Lexer,Rc<str>,counter.lox,,,32960400.0,ns,2244
Lexer,Rc<str>,counter.lox,,,33797500.0,ns,2310
Lexer,Rc<str>,counter.lox,,,34619600.0,ns,2376
Lexer,Rc<str>,counter.lox,,,35417500.0,ns,2442
Lexer,Rc<str>,counter.lox,,,36823100.0,ns,2508
Lexer,Rc<str>,counter.lox,,,37435300.0,ns,2574
Lexer,Rc<str>,counter.lox,,,40940700.0,ns,2640
Lexer,Rc<str>,counter.lox,,,39639800.0,ns,2706
Lexer,Rc<str>,counter.lox,,,40183200.0,ns,2772
Lexer,Rc<str>,counter.lox,,,40913500.0,ns,2838
Lexer,Rc<str>,counter.lox,,,42078600.0,ns,2904
Lexer,Rc<str>,counter.lox,,,43129800.0,ns,2970
Lexer,Rc<str>,counter.lox,,,44095800.0,ns,3036
Lexer,Rc<str>,counter.lox,,,44973800.0,ns,3102
Lexer,Rc<str>,counter.lox,,,45764800.0,ns,3168
Lexer,Rc<str>,counter.lox,,,46729800.0,ns,3234
Lexer,Rc<str>,counter.lox,,,48020400.0,ns,3300
Lexer,Rc<str>,counter.lox,,,48931900.0,ns,3366
Lexer,Rc<str>,counter.lox,,,49516600.0,ns,3432
Lexer,Rc<str>,counter.lox,,,50364900.0,ns,3498
Lexer,Rc<str>,counter.lox,,,51537200.0,ns,3564
Lexer,Rc<str>,counter.lox,,,52512400.0,ns,3630
Lexer,Rc<str>,counter.lox,,,53463900.0,ns,3696
Lexer,Rc<str>,counter.lox,,,54830900.0,ns,3762
Lexer,Rc<str>,counter.lox,,,55420600.0,ns,3828
Lexer,Rc<str>,counter.lox,,,56124600.0,ns,3894
Lexer,Rc<str>,counter.lox,,,57158900.0,ns,3960
Lexer,Rc<str>,counter.lox,,,58550000.0,ns,4026
Lexer,Rc<str>,counter.lox,,,59058700.0,ns,4092
Lexer,Rc<str>,counter.lox,,,59980600.0,ns,4158
Lexer,Rc<str>,counter.lox,,,60969200.0,ns,4224
Lexer,Rc<str>,counter.lox,,,61927000.0,ns,4290
Lexer,Rc<str>,counter.lox,,,63070200.0,ns,4356
Lexer,Rc<str>,counter.lox,,,63478900.0,ns,4422
Lexer,Rc<str>,counter.lox,,,64779100.0,ns,4488
Lexer,Rc<str>,counter.lox,,,65635000.0,ns,4554
Lexer,Rc<str>,counter.lox,,,66576200.0,ns,4620
Lexer,Rc<str>,counter.lox,,,67631600.0,ns,4686
Lexer,Rc<str>,counter.lox,,,68953800.0,ns,4752
Lexer,Rc<str>,counter.lox,,,69634800.0,ns,4818
Lexer,Rc<str>,counter.lox,,,70885500.0,ns,4884
Lexer,Rc<str>,counter.lox,,,72084700.0,ns,4950
Lexer,Rc<str>,counter.lox,,,73427700.0,ns,5016
Lexer,Rc<str>,counter.lox,,,73888500.0,ns,5082
Lexer,Rc<str>,counter.lox,,,74986900.0,ns,5148
Lexer,Rc<str>,counter.lox,,,75931700.0,ns,5214
Lexer,Rc<str>,counter.lox,,,77127800.0,ns,5280
Lexer,Rc<str>,counter.lox,,,77809200.0,ns,5346
Lexer,Rc<str>,counter.lox,,,78196000.0,ns,5412
Lexer,Rc<str>,counter.lox,,,79890600.0,ns,5478
Lexer,Rc<str>,counter.lox,,,80309000.0,ns,5544
Lexer,Rc<str>,counter.lox,,,82243300.0,ns,5610
Lexer,Rc<str>,counter.lox,,,83091500.0,ns,5676
Lexer,Rc<str>,counter.lox,,,84035700.0,ns,5742
Lexer,Rc<str>,counter.lox,,,85146400.0,ns,5808
Lexer,Rc<str>,counter.lox,,,85860500.0,ns,5874
Lexer,Rc<str>,counter.lox,,,86525200.0,ns,5940
Lexer,Rc<str>,counter.lox,,,86835700.0,ns,6006
