group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,Rc<str>,fizzbuzz1.lox,,,1193200.0,ns,22
Lexer,Rc<str>,fizzbuzz1.lox,,,1966700.0,ns,44
Lexer,Rc<str>,fizzbuzz1.lox,,,2926100.0,ns,66
Lexer,Rc<str>,fizzbuzz1.lox,,,3910600.0,ns,88
Lexer,Rc<str>,fizzbuzz1.lox,,,4966200.0,ns,110
Lexer,Rc<str>,fizzbuzz1.lox,,,5929900.0,ns,132
Lexer,Rc<str>,fizzbuzz1.lox,,,7016000.0,ns,154
Lexer,Rc<str>,fizzbuzz1.lox,,,8011400.0,ns,176
Lexer,Rc<str>,fizzbuzz1.lox,,,9044900.0,ns,198
Lexer,Rc<str>,fizzbuzz1.lox,,,10093100.0,ns,220
Lexer,Rc<str>,fizzbuzz1.lox,,,11127400.0,ns,242
Lexer,Rc<str>,fizzbuzz1.lox,,,12095100.0,ns,264
Lexer,Rc<str>,fizzbuzz1.lox,,,13162700.0,ns,286
Lexer,Rc<str>,fizzbuzz1.lox,,,14155100.0,ns,308
Lexer,Rc<str>,fizzbuzz1.lox,,,15125400.0,ns,330
Lexer,Rc<str>,fizzbuzz1.lox,,,16149400.0,ns,352
Lexer,Rc<str>,fizzbuzz1.lox,,,17485100.0,ns,374
Lexer,Rc<str>,fizzbuzz1.lox,,,18173200.0,ns,396
Lexer,Rc<str>,fizzbuzz1.lox,,,19163000.0,ns,418
Lexer,Rc<str>,fizzbuzz1.lox,,,20149600.0,ns,440
Lexer,Rc<str>,fizzbuzz1.lox,,,21352800.0,ns,462
Lexer,Rc<str>,fizzbuzz1.lox,,,22400200.0,ns,484
Lexer,Rc<str>,fizzbuzz1.lox,,,23236300.0,ns,506
Lexer,Rc<str>,fizzbuzz1.lox,,,24610000.0,ns,528
Lexer,Rc<str>,fizzbuzz1.lox,,,25312700.0,ns,550
Lexer,Rc<str>,fizzbuzz1.lox,,,26232600.0,ns,572
Lexer,Rc<str>,fizzbuzz1.lox,,,27232800.0,ns,594
Lexer,Rc<str>,fizzbuzz1.lox,,,28169300.0,ns,616
Lexer,Rc<str>,fizzbuzz1.lox,,,29267000.0,ns,638
Lexer,Rc<str>,fizzbuzz1.lox,,,30385100.0,ns,660
Lexer,Rc<str>,fizzbuzz1.lox,,,31415300.0,ns,682
Lexer,Rc<str>,fizzbuzz1.lox,,,32129900.0,ns,704
Lexer,Rc<str>,fizzbuzz1.lox,,,33481900.0,ns,726
Lexer,Rc<str>,fizzbuzz1.lox,,,33848500.0,ns,748
Lexer,Rc<str>,fizzbuzz1.lox,,,34690400.0,ns,770
Lexer,Rc<str>,fizzbuzz1.lox,,,35810100.0,ns,792
Lexer,Rc<str>,fizzbuzz1.lox,,,39973800.0,ns,814
Lexer,Rc<str>,fizzbuzz1.lox,,,37968300.0,ns,836
Lexer,Rc<str>,fizzbuzz1.lox,,,38891400.0,ns,858
Lexer,Rc<str>,fizzbuzz1.lox,,,40125200.0,ns,880
Lexer,Rc<str>,fizzbuzz1.lox,,,41418000.0,ns,902
Lexer,Rc<str>,fizzbuzz1.lox,,,42664800.0,ns,924
Lexer,Rc<str>,fizzbuzz1.lox,,,43467200.0,ns,946
Lexer,Rc<str>,fizzbuzz1.lox,,,44604300.0,ns,968
Lexer,Rc<str>,fizzbuzz1.lox,,,45269700.0,ns,990
Lexer,Rc<str>,fizzbuzz1.lox,,,46224400.0,ns,1012
Lexer,Rc<str>,fizzbuzz1.lox,,,47296900.0,ns,1034
Lexer,Rc<str>,fizzbuzz1.lox,,,48395500.0,ns,1056
Lexer,Rc<str>,fizzbuzz1.lox,,,49283800.0,ns,1078
Lexer,Rc<str>,fizzbuzz1.lox,,,50312200.0,ns,1100
Lexer,Rc<str>,fizzbuzz1.lox,,,51349800.0,ns,1122
Lexer,Rc<str>,fizzbuzz1.lox,,,52258000.0,ns,1144
Lexer,Rc<str>,fizzbuzz1.lox,,,53415600.0,ns,1166
Lexer,Rc<str>,fizzbuzz1.lox,,,54315000.0,ns,1188
Lexer,Rc<str>,fizzbuzz1.lox,,,55365900.0,ns,1210
Lexer,Rc<str>,fizzbuzz1.lox,,,56464600.0,ns,1232
Lexer,Rc<str>,fizzbuzz1.lox,,,57276000.0,ns,1254
Lexer,Rc<str>,fizzbuzz1.lox,,,58954200.0,ns,1276
Lexer,Rc<str>,fizzbuzz1.lox,,,59733100.0,ns,1298
Lexer,Rc<str>,fizzbuzz1.lox,,,60584100.0,ns,1320
Lexer,Rc<str>,fizzbuzz1.lox,,,61845000.0,ns,1342
Lexer,Rc<str>,fizzbuzz1.lox,,,62531700.0,ns,1364
Lexer,Rc<str>,fizzbuzz1.lox,,,63729800.0,ns,1386
Lexer,Rc<str>,fizzbuzz1.lox,,,64497200.0,ns,1408
Lexer,Rc<str>,fizzbuzz1.lox,,,65441900.0,ns,1430
Lexer,Rc<str>,fizzbuzz1.lox,,,66624400.0,ns,1452
Lexer,Rc<str>,fizzbuzz1.lox,,,67577700.0,ns,1474
Lexer,Rc<str>,fizzbuzz1.lox,,,68786400.0,ns,1496
Lexer,Rc<str>,fizzbuzz1.lox,,,69649400.0,ns,1518
Lexer,Rc<str>,fizzbuzz1.lox,,,70640600.0,ns,1540
Lexer,Rc<str>,fizzbuzz1.lox,,,71544700.0,ns,1562
Lexer,Rc<str>,fizzbuzz1.lox,,,72546900.0,ns,1584
Lexer,Rc<str>,fizzbuzz1.lox,,,74096300.0,ns,1606
Lexer,Rc<str>,fizzbuzz1.lox,,,74582300.0,ns,1628
Lexer,Rc<str>,fizzbuzz1.lox,,,75586800.0,ns,1650
Lexer,Rc<str>,fizzbuzz1.lox,,,76895300.0,ns,1672
Lexer,Rc<str>,fizzbuzz1.lox,,,77752700.0,ns,1694
Lexer,Rc<str>,fizzbuzz1.lox,,,78653600.0,ns,1716
Lexer,Rc<str>,fizzbuzz1.lox,,,79953000.0,ns,1738
Lexer,Rc<str>,fizzbuzz1.lox,,,80549100.0,ns,1760
