group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,Rc<str>,fun.lox,,,944000.0,ns,23
Lexer,Rc<str>,fun.lox,,,1855000.0,ns,46
Lexer,Rc<str>,fun.lox,,,2744300.0,ns,69
Lexer,Rc<str>,fun.lox,,,3669600.0,ns,92
Lexer,Rc<str>,fun.lox,,,4628600.0,ns,115
Lexer,Rc<str>,fun.lox,,,5544700.0,ns,138
Lexer,Rc<str>,fun.lox,,,6406900.0,ns,161
Lexer,Rc<str>,fun.lox,,,7344300.0,ns,184
Lexer,Rc<str>,fun.lox,,,8264500.0,ns,207
Lexer,Rc<str>,fun.lox,,,9156200.0,ns,230
Lexer,Rc<str>,fun.lox,,,10147000.0,ns,253
Lexer,Rc<str>,fun.lox,,,10996000.0,ns,276
Lexer,Rc<str>,fun.lox,,,11944400.0,ns,299
Lexer,Rc<str>,fun.lox,,,12796000.0,ns,322
Lexer,Rc<str>,fun.lox,,,13701900.0,ns,345
Lexer,Rc<str>,fun.lox,,,14689900.0,ns,368
Lexer,Rc<str>,fun.lox,,,15693500.0,ns,391
Lexer,Rc<str>,fun.lox,,,16618600.0,ns,414
Lexer,Rc<str>,fun.lox,,,17530100.0,ns,437
Lexer,Rc<str>,fun.lox,,,18386400.0,ns,460
Lexer,Rc<str>,fun.lox,,,19332900.0,ns,483
Lexer,Rc<str>,fun.lox,,,20110600.0,ns,506
Lexer,Rc<str>,fun.lox,,,21021500.0,ns,529
Lexer,Rc<str>,fun.lox,,,22051000.0,ns,552
Lexer,Rc<str>,fun.lox,,,22855000.0,ns,575
Lexer,Rc<str>,fun.lox,,,23771000.0,ns,598
Lexer,Rc<str>,fun.lox,,,24805800.0,ns,621
Lexer,Rc<str>,fun.lox,,,25646500.0,ns,644
Lexer,Rc<str>,fun.lox,,,26616300.0,ns,667
Lexer,Rc<str>,fun.lox,,,27523900.0,ns,690
Lexer,Rc<str>,fun.lox,,,28451600.0,ns,713
Lexer,Rc<str>,fun.lox,,,40858100.0,ns,736
Lexer,Rc<str>,fun.lox,,,30576200.0,ns,759
Lexer,Rc<str>,fun.lox,,,31171000.0,ns,782
Lexer,Rc<str>,fun.lox,,,32198400.0,ns,805
Lexer,Rc<str>,fun.lox,,,33000200.0,ns,828
Lexer,Rc<str>,fun.lox,,,34031700.0,ns,851
Lexer,Rc<str>,fun.lox,,,35066100.0,ns,874
Lexer,Rc<str>,fun.lox,,,35683000.0,ns,897
Lexer,Rc<str>,fun.lox,,,36569800.0,ns,920
Lexer,Rc<str>,fun.lox,,,37487100.0,ns,943
Lexer,Rc<str>,fun.lox,,,38799800.0,ns,966
Lexer,Rc<str>,fun.lox,,,39360600.0,ns,989
Lexer,Rc<str>,fun.lox,,,40536100.0,ns,1012
Lexer,Rc<str>,fun.lox,,,41311600.0,ns,1035
Lexer,Rc<str>,fun.lox,,,42227300.0,ns,1058
Lexer,Rc<str>,fun.lox,,,43125800.0,ns,1081
Lexer,Rc<str>,fun.lox,,,44337800.0,ns,1104
Lexer,Rc<str>,fun.lox,,,45514600.0,ns,1127
Lexer,Rc<str>,fun.lox,,,45979200.0,ns,1150
Lexer,Rc<str>,fun.lox,,,47140700.0,ns,1173
Lexer,Rc<str>,fun.lox,,,47715500.0,ns,1196
Lexer,Rc<str>,fun.lox,,,48634500.0,ns,1219
Lexer,Rc<str>,fun.lox,,,49751600.0,ns,1242
Lexer,Rc<str>,fun.lox,,,50365000.0,ns,1265
Lexer,Rc<str>,fun.lox,,,51909000.0,ns,1288
Lexer,Rc<str>,fun.lox,,,53098300.0,ns,1311
Lexer,Rc<str>,fun.lox,,,53501500.0,ns,1334
Lexer,Rc<str>,fun.lox,,,54185100.0,ns,1357
Lexer,Rc<str>,fun.lox,,,54965300.0,ns,1380
Lexer,Rc<str>,fun.lox,,,55871800.0,ns,1403
Lexer,Rc<str>,fun.lox,,,56845300.0,ns,1426
Lexer,Rc<str>,fun.lox,,,57678000.0,ns,1449
Lexer,Rc<str>,fun.lox,,,58653900.0,ns,1472
Lexer,Rc<str>,fun.lox,,,59918200.0,ns,1495
Lexer,Rc<str>,fun.lox,,,60793300.0,ns,1518
Lexer,Rc<str>,fun.lox,,,62191200.0,ns,1541
Lexer,Rc<str>,fun.lox,,,62638600.0,ns,1564
Lexer,Rc<str>,fun.lox,,,63278000.0,ns,1587
Lexer,Rc<str>,fun.lox,,,64150100.0,ns,1610
Lexer,Rc<str>,fun.lox,,,65060600.0,ns,1633
Lexer,Rc<str>,fun.lox,,,66116200.0,ns,1656
