group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,Rc<str>,linked-list.lox,,,1222400.0,ns,8
Lexer,Rc<str>,linked-list.lox,,,1963900.0,ns,16
Lexer,Rc<str>,linked-list.lox,,,2939700.0,ns,24
Lexer,Rc<str>,linked-list.lox,,,3912400.0,ns,32
Lexer,Rc<str>,linked-list.lox,,,5074500.0,ns,40
Lexer,Rc<str>,linked-list.lox,,,5976100.0,ns,48
Lexer,Rc<str>,linked-list.lox,,,6998400.0,ns,56
Lexer,Rc<str>,linked-list.lox,,,8122000.0,ns,64
Lexer,Rc<str>,linked-list.lox,,,9017100.0,ns,72
Lexer,Rc<str>,linked-list.lox,,,10009500.0,ns,80
Lexer,Rc<str>,linked-list.lox,,,10977400.0,ns,88
Lexer,Rc<str>,linked-list.lox,,,11983300.0,ns,96
Lexer,Rc<str>,linked-list.lox,,,12995600.0,ns,104
Lexer,Rc<str>,linked-list.lox,,,14040700.0,ns,112
Lexer,Rc<str>,linked-list.lox,,,15013700.0,ns,120
Lexer,Rc<str>,linked-list.lox,,,16368800.0,ns,128
Lexer,Rc<str>,linked-list.lox,,,17070500.0,ns,136
Lexer,Rc<str>,linked-list.lox,,,18117000.0,ns,144
Lexer,Rc<str>,linked-list.lox,,,18995600.0,ns,152
Lexer,Rc<str>,linked-list.lox,,,20001500.0,ns,160
Lexer,Rc<str>,linked-list.lox,,,21205700.0,ns,168
Lexer,Rc<str>,linked-list.lox,,,22122400.0,ns,176
Lexer,Rc<str>,linked-list.lox,,,23015600.0,ns,184
Lexer,Rc<str>,linked-list.lox,,,24195900.0,ns,192
Lexer,Rc<str>,linked-list.lox,,,24965200.0,ns,200
Lexer,Rc<str>,linked-list.lox,,,26103400.0,ns,208
Lexer,Rc<str>,linked-list.lox,,,27187800.0,ns,216
Lexer,Rc<str>,linked-list.lox,,,31654200.0,ns,224
Lexer,Rc<str>,linked-list.lox,,,29896500.0,ns,232
Lexer,Rc<str>,linked-list.lox,,,30115800.0,ns,240
Lexer,Rc<str>,linked-list.lox,,,31015300.0,ns,248
Lexer,Rc<str>,linked-list.lox,,,32072300.0,ns,256
Lexer,Rc<str>,linked-list.lox,,,33027200.0,ns,264
Lexer,Rc<str>,linked-list.lox,,,34139800.0,ns,272
Lexer,Rc<str>,linked-list.lox,,,35040900.0,ns,280
Lexer,Rc<str>,linked-list.lox,,,36227300.0,ns,288
Lexer,Rc<str>,linked-list.lox,,,37037400.0,ns,296
Lexer,Rc<str>,linked-list.lox,,,38153900.0,ns,304
Lexer,Rc<str>,linked-list.lox,,,39281300.0,ns,312
Lexer,Rc<str>,linked-list.lox,,,40374400.0,ns,320
Lexer,Rc<str>,linked-list.lox,,,41214300.0,ns,328
Lexer,Rc<str>,linked-list.lox,,,42320800.0,ns,336
Lexer,Rc<str>,linked-list.lox,,,43874600.0,ns,344
Lexer,Rc<str>,linked-list.lox,,,44431200.0,ns,352
Lexer,Rc<str>,linked-list.lox,,,45560900.0,ns,360
Lexer,Rc<str>,linked-list.lox,,,46433300.0,ns,368
Lexer,Rc<str>,linked-list.lox,,,47694800.0,ns,376
Lexer,Rc<str>,linked-list.lox,,,48219800.0,ns,384
Lexer,Rc<str>,linked-list.lox,,,49172400.0,ns,392
Lexer,Rc<str>,linked-list.lox,,,50578200.0,ns,400
Lexer,Rc<str>,linked-list.lox,,,51348900.0,ns,408
Lexer,Rc<str>,linked-list.lox,,,52400800.0,ns,416
Lexer,Rc<str>,linked-list.lox,,,53454000.0,ns,424
Lexer,Rc<str>,linked-list.lox,,,54177300.0,ns,432
Lexer,Rc<str>,linked-list.lox,,,55134000.0,ns,440
Lexer,Rc<str>,linked-list.lox,,,56203400.0,ns,448
Lexer,Rc<str>,linked-list.lox,,,57531900.0,ns,456
Lexer,Rc<str>,linked-list.lox,,,59021200.0,ns,464
Lexer,Rc<str>,linked-list.lox,,,59446900.0,ns,472
Lexer,Rc<str>,linked-list.lox,,,60333500.0,ns,480
Lexer,Rc<str>,linked-list.lox,,,61304300.0,ns,488
Lexer,Rc<str>,linked-list.lox,,,63056000.0,ns,496
Lexer,Rc<str>,linked-list.lox,,,63300600.0,ns,504
Lexer,Rc<str>,linked-list.lox,,,64387700.0,ns,512
Lexer,Rc<str>,linked-list.lox,,,65428900.0,ns,520
Lexer,Rc<str>,linked-list.lox,,,66655400.0,ns,528
Lexer,Rc<str>,linked-list.lox,,,67528700.0,ns,536
Lexer,Rc<str>,linked-list.lox,,,68939000.0,ns,544
Lexer,Rc<str>,linked-list.lox,,,69596500.0,ns,552
Lexer,Rc<str>,linked-list.lox,,,70638200.0,ns,560
Lexer,Rc<str>,linked-list.lox,,,71529500.0,ns,568
Lexer,Rc<str>,linked-list.lox,,,72282900.0,ns,576
Lexer,Rc<str>,linked-list.lox,,,73251800.0,ns,584
Lexer,Rc<str>,linked-list.lox,,,74486400.0,ns,592
Lexer,Rc<str>,linked-list.lox,,,75794000.0,ns,600
Lexer,Rc<str>,linked-list.lox,,,76361000.0,ns,608
Lexer,Rc<str>,linked-list.lox,,,77701900.0,ns,616
Lexer,Rc<str>,linked-list.lox,,,78380100.0,ns,624
Lexer,Rc<str>,linked-list.lox,,,79310500.0,ns,632
Lexer,Rc<str>,linked-list.lox,,,80226600.0,ns,640
Lexer,Rc<str>,linked-list.lox,,,81321600.0,ns,648
Lexer,Rc<str>,linked-list.lox,,,83061400.0,ns,656
Lexer,Rc<str>,linked-list.lox,,,83518600.0,ns,664
Lexer,Rc<str>,linked-list.lox,,,84489200.0,ns,672
Lexer,Rc<str>,linked-list.lox,,,85100900.0,ns,680
Lexer,Rc<str>,linked-list.lox,,,86727600.0,ns,688
Lexer,Rc<str>,linked-list.lox,,,87573200.0,ns,696
Lexer,Rc<str>,linked-list.lox,,,88624900.0,ns,704
Lexer,Rc<str>,linked-list.lox,,,90820100.0,ns,712
Lexer,Rc<str>,linked-list.lox,,,92069800.0,ns,720
