group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,&'a str,linked-list.lox,,,1083900.0,ns,6
Parser,&'a str,linked-list.lox,,,2033900.0,ns,12
Parser,&'a str,linked-list.lox,,,3044200.0,ns,18
Parser,&'a str,linked-list.lox,,,4119900.0,ns,24
Parser,&'a str,linked-list.lox,,,5131300.0,ns,30
Parser,&'a str,linked-list.lox,,,6183000.0,ns,36
Parser,&'a str,linked-list.lox,,,7049400.0,ns,42
Parser,&'a str,linked-list.lox,,,8090300.0,ns,48
Parser,&'a str,linked-list.lox,,,9102400.0,ns,54
Parser,&'a str,linked-list.lox,,,10036700.0,ns,60
Parser,&'a str,linked-list.lox,,,11020200.0,ns,66
Parser,&'a str,linked-list.lox,,,12228300.0,ns,72
Parser,&'a str,linked-list.lox,,,13066300.0,ns,78
Parser,&'a str,linked-list.lox,,,14022300.0,ns,84
Parser,&'a str,linked-list.lox,,,15157000.0,ns,90
Parser,&'a str,linked-list.lox,,,16369200.0,ns,96
Parser,&'a str,linked-list.lox,,,17303600.0,ns,102
Parser,&'a str,linked-list.lox,,,18119700.0,ns,108
Parser,&'a str,linked-list.lox,,,19166200.0,ns,114
Parser,&'a str,linked-list.lox,,,20386800.0,ns,120
Parser,&'a str,linked-list.lox,,,21523800.0,ns,126
Parser,&'a str,linked-list.lox,,,22796500.0,ns,132
Parser,&'a str,linked-list.lox,,,23670000.0,ns,138
Parser,&'a str,linked-list.lox,,,24601800.0,ns,144
Parser,&'a str,linked-list.lox,,,25769800.0,ns,150
Parser,&'a str,linked-list.lox,,,26476600.0,ns,156
Parser,&'a str,linked-list.lox,,,27562700.0,ns,162
Parser,&'a str,linked-list.lox,,,28634900.0,ns,168
Parser,&'a str,linked-list.lox,,,29716900.0,ns,174
Parser,&'a str,linked-list.lox,,,31161600.0,ns,180
Parser,&'a str,linked-list.lox,,,31827800.0,ns,186
Parser,&'a str,linked-list.lox,,,33010800.0,ns,192
Parser,&'a str,linked-list.lox,,,34034000.0,ns,198
Parser,&'a str,linked-list.lox,,,34838100.0,ns,204
Parser,&'a str,linked-list.lox,,,35500800.0,ns,210
Parser,&'a str,linked-list.lox,,,36734600.0,ns,216
Parser,&'a str,linked-list.lox,,,41611800.0,ns,222
Parser,&'a str,linked-list.lox,,,39500100.0,ns,228
Parser,&'a str,linked-list.lox,,,38377300.0,ns,234
Parser,&'a str,linked-list.lox,,,39641100.0,ns,240
Parser,&'a str,linked-list.lox,,,40619000.0,ns,246
Parser,&'a str,linked-list.lox,,,41610500.0,ns,252
Parser,&'a str,linked-list.lox,,,42404000.0,ns,258
Parser,&'a str,linked-list.lox,,,42686100.0,ns,264
Parser,&'a str,linked-list.lox,,,43574200.0,ns,270
Parser,&'a str,linked-list.lox,,,44061200.0,ns,276
