group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,Rc<str>,classes.lox,,,1136100.0,ns,12
Parser,Rc<str>,classes.lox,,,1779800.0,ns,24
Parser,Rc<str>,classes.lox,,,2586500.0,ns,36
Parser,Rc<str>,classes.lox,,,3471600.0,ns,48
Parser,Rc<str>,classes.lox,,,4465200.0,ns,60
Parser,Rc<str>,classes.lox,,,5274000.0,ns,72
Parser,Rc<str>,classes.lox,,,6152200.0,ns,84
Parser,Rc<str>,classes.lox,,,7129000.0,ns,96
Parser,Rc<str>,classes.lox,,,7949500.0,ns,108
Parser,Rc<str>,classes.lox,,,8899900.0,ns,120
Parser,Rc<str>,classes.lox,,,9691600.0,ns,132
Parser,Rc<str>,classes.lox,,,12072300.0,ns,144
Parser,Rc<str>,classes.lox,,,14055600.0,ns,156
Parser,Rc<str>,classes.lox,,,13289600.0,ns,168
Parser,Rc<str>,classes.lox,,,14041200.0,ns,180
Parser,Rc<str>,classes.lox,,,14690100.0,ns,192
Parser,Rc<str>,classes.lox,,,15535000.0,ns,204
Parser,Rc<str>,classes.lox,,,16521600.0,ns,216
Parser,Rc<str>,classes.lox,,,17540100.0,ns,228
Parser,Rc<str>,classes.lox,,,18319200.0,ns,240
Parser,Rc<str>,classes.lox,,,19253500.0,ns,252
Parser,Rc<str>,classes.lox,,,20301500.0,ns,264
Parser,Rc<str>,classes.lox,,,21208000.0,ns,276
Parser,Rc<str>,classes.lox,,,21990700.0,ns,288
Parser,Rc<str>,classes.lox,,,22914500.0,ns,300
Parser,Rc<str>,classes.lox,,,23786500.0,ns,312
Parser,Rc<str>,classes.lox,,,24717400.0,ns,324
Parser,Rc<str>,classes.lox,,,24789000.0,ns,336
Parser,Rc<str>,classes.lox,,,25683900.0,ns,348
Parser,Rc<str>,classes.lox,,,26708800.0,ns,360
Parser,Rc<str>,classes.lox,,,27745600.0,ns,372
Parser,Rc<str>,classes.lox,,,28511000.0,ns,384
Parser,Rc<str>,classes.lox,,,29562300.0,ns,396
Parser,Rc<str>,classes.lox,,,30155500.0,ns,408
Parser,Rc<str>,classes.lox,,,31230800.0,ns,420
Parser,Rc<str>,classes.lox,,,31997300.0,ns,432
Parser,Rc<str>,classes.lox,,,32936300.0,ns,444
Parser,Rc<str>,classes.lox,,,33745000.0,ns,456
Parser,Rc<str>,classes.lox,,,34458800.0,ns,468
Parser,Rc<str>,classes.lox,,,35672000.0,ns,480
Parser,Rc<str>,classes.lox,,,36362200.0,ns,492
Parser,Rc<str>,classes.lox,,,37295600.0,ns,504
Parser,Rc<str>,classes.lox,,,37872400.0,ns,516
Parser,Rc<str>,classes.lox,,,39049000.0,ns,528
Parser,Rc<str>,classes.lox,,,39962500.0,ns,540
Parser,Rc<str>,classes.lox,,,40644400.0,ns,552
Parser,Rc<str>,classes.lox,,,41831000.0,ns,564
Parser,Rc<str>,classes.lox,,,42734900.0,ns,576
Parser,Rc<str>,classes.lox,,,43797200.0,ns,588
Parser,Rc<str>,classes.lox,,,44566400.0,ns,600
Parser,Rc<str>,classes.lox,,,45400300.0,ns,612
Parser,Rc<str>,classes.lox,,,46225800.0,ns,624
Parser,Rc<str>,classes.lox,,,46944300.0,ns,636
Parser,Rc<str>,classes.lox,,,48032400.0,ns,648
Parser,Rc<str>,classes.lox,,,48738900.0,ns,660
Parser,Rc<str>,classes.lox,,,49728500.0,ns,672
Parser,Rc<str>,classes.lox,,,50858400.0,ns,684
Parser,Rc<str>,classes.lox,,,51578200.0,ns,696
Parser,Rc<str>,classes.lox,,,52389100.0,ns,708
Parser,Rc<str>,classes.lox,,,53292500.0,ns,720
Parser,Rc<str>,classes.lox,,,54118200.0,ns,732
Parser,Rc<str>,classes.lox,,,54923900.0,ns,744
Parser,Rc<str>,classes.lox,,,55924900.0,ns,756
Parser,Rc<str>,classes.lox,,,56786300.0,ns,768
Parser,Rc<str>,classes.lox,,,57797700.0,ns,780
Parser,Rc<str>,classes.lox,,,58716200.0,ns,792
Parser,Rc<str>,classes.lox,,,59589900.0,ns,804
Parser,Rc<str>,classes.lox,,,60271600.0,ns,816
Parser,Rc<str>,classes.lox,,,61167800.0,ns,828
Parser,Rc<str>,classes.lox,,,62149700.0,ns,840
Parser,Rc<str>,classes.lox,,,62955400.0,ns,852
Parser,Rc<str>,classes.lox,,,64071700.0,ns,864
Parser,Rc<str>,classes.lox,,,64973400.0,ns,876
Parser,Rc<str>,classes.lox,,,66060400.0,ns,888
Parser,Rc<str>,classes.lox,,,66794400.0,ns,900
Parser,Rc<str>,classes.lox,,,67519800.0,ns,912
Parser,Rc<str>,classes.lox,,,68359400.0,ns,924
Parser,Rc<str>,classes.lox,,,69203200.0,ns,936
Parser,Rc<str>,classes.lox,,,70043500.0,ns,948
Parser,Rc<str>,classes.lox,,,70855000.0,ns,960
Parser,Rc<str>,classes.lox,,,71996900.0,ns,972
Parser,Rc<str>,classes.lox,,,73223600.0,ns,984
Parser,Rc<str>,classes.lox,,,73697000.0,ns,996
Parser,Rc<str>,classes.lox,,,74585800.0,ns,1008
Parser,Rc<str>,classes.lox,,,75164800.0,ns,1020
Parser,Rc<str>,classes.lox,,,76338300.0,ns,1032
Parser,Rc<str>,classes.lox,,,76924800.0,ns,1044
Parser,Rc<str>,classes.lox,,,78516800.0,ns,1056
Parser,Rc<str>,classes.lox,,,79223800.0,ns,1068
Parser,Rc<str>,classes.lox,,,79928800.0,ns,1080
Parser,Rc<str>,classes.lox,,,80556100.0,ns,1092
Parser,Rc<str>,classes.lox,,,81732000.0,ns,1104
Parser,Rc<str>,classes.lox,,,82423100.0,ns,1116
Parser,Rc<str>,classes.lox,,,83670100.0,ns,1128
Parser,Rc<str>,classes.lox,,,84960300.0,ns,1140
Parser,Rc<str>,classes.lox,,,85036700.0,ns,1152
Parser,Rc<str>,classes.lox,,,86110300.0,ns,1164
Parser,Rc<str>,classes.lox,,,87244200.0,ns,1176
Parser,Rc<str>,classes.lox,,,87776900.0,ns,1188
Parser,Rc<str>,classes.lox,,,88971300.0,ns,1200
