group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,Rc<str>,fib.lox,,,939800.0,ns,34
Parser,Rc<str>,fib.lox,,,1823100.0,ns,68
Parser,Rc<str>,fib.lox,,,2709800.0,ns,102
Parser,Rc<str>,fib.lox,,,3622600.0,ns,136
Parser,Rc<str>,fib.lox,,,4516000.0,ns,170
Parser,Rc<str>,fib.lox,,,5366400.0,ns,204
Parser,Rc<str>,fib.lox,,,6210600.0,ns,238
Parser,Rc<str>,fib.lox,,,7178900.0,ns,272
Parser,Rc<str>,fib.lox,,,8010200.0,ns,306
Parser,Rc<str>,fib.lox,,,8896700.0,ns,340
Parser,Rc<str>,fib.lox,,,9818300.0,ns,374
Parser,Rc<str>,fib.lox,,,10774500.0,ns,408
Parser,Rc<str>,fib.lox,,,11560800.0,ns,442
Parser,Rc<str>,fib.lox,,,12404700.0,ns,476
Parser,Rc<str>,fib.lox,,,13404600.0,ns,510
Parser,Rc<str>,fib.lox,,,14192400.0,ns,544
Parser,Rc<str>,fib.lox,,,15239800.0,ns,578
Parser,Rc<str>,fib.lox,,,15976100.0,ns,612
Parser,Rc<str>,fib.lox,,,16904000.0,ns,646
Parser,Rc<str>,fib.lox,,,17838500.0,ns,680
Parser,Rc<str>,fib.lox,,,18695700.0,ns,714
Parser,Rc<str>,fib.lox,,,19507500.0,ns,748
Parser,Rc<str>,fib.lox,,,20265200.0,ns,782
Parser,Rc<str>,fib.lox,,,21437000.0,ns,816
Parser,Rc<str>,fib.lox,,,22128600.0,ns,850
Parser,Rc<str>,fib.lox,,,22910200.0,ns,884
Parser,Rc<str>,fib.lox,,,23942800.0,ns,918
Parser,Rc<str>,fib.lox,,,24824100.0,ns,952
Parser,Rc<str>,fib.lox,,,25796600.0,ns,986
Parser,Rc<str>,fib.lox,,,26476900.0,ns,1020
Parser,Rc<str>,fib.lox,,,27466200.0,ns,1054
Parser,Rc<str>,fib.lox,,,28387200.0,ns,1088
Parser,Rc<str>,fib.lox,,,29401700.0,ns,1122
Parser,Rc<str>,fib.lox,,,30214200.0,ns,1156
Parser,Rc<str>,fib.lox,,,34160600.0,ns,1190
Parser,Rc<str>,fib.lox,,,32505000.0,ns,1224
Parser,Rc<str>,fib.lox,,,32922600.0,ns,1258
Parser,Rc<str>,fib.lox,,,33557000.0,ns,1292
Parser,Rc<str>,fib.lox,,,34912400.0,ns,1326
Parser,Rc<str>,fib.lox,,,36311900.0,ns,1360
Parser,Rc<str>,fib.lox,,,37469300.0,ns,1394
Parser,Rc<str>,fib.lox,,,38282500.0,ns,1428
Parser,Rc<str>,fib.lox,,,39290700.0,ns,1462
Parser,Rc<str>,fib.lox,,,40314300.0,ns,1496
Parser,Rc<str>,fib.lox,,,41023900.0,ns,1530
Parser,Rc<str>,fib.lox,,,42064300.0,ns,1564
Parser,Rc<str>,fib.lox,,,43633300.0,ns,1598
Parser,Rc<str>,fib.lox,,,44118200.0,ns,1632
Parser,Rc<str>,fib.lox,,,44888000.0,ns,1666
Parser,Rc<str>,fib.lox,,,45653900.0,ns,1700
Parser,Rc<str>,fib.lox,,,46615000.0,ns,1734
Parser,Rc<str>,fib.lox,,,47121600.0,ns,1768
Parser,Rc<str>,fib.lox,,,47932000.0,ns,1802
Parser,Rc<str>,fib.lox,,,48678800.0,ns,1836
Parser,Rc<str>,fib.lox,,,49865500.0,ns,1870
Parser,Rc<str>,fib.lox,,,50615100.0,ns,1904
Parser,Rc<str>,fib.lox,,,51511000.0,ns,1938
Parser,Rc<str>,fib.lox,,,52939800.0,ns,1972
Parser,Rc<str>,fib.lox,,,53926400.0,ns,2006
Parser,Rc<str>,fib.lox,,,54534300.0,ns,2040
Parser,Rc<str>,fib.lox,,,54899500.0,ns,2074
Parser,Rc<str>,fib.lox,,,56005400.0,ns,2108
Parser,Rc<str>,fib.lox,,,56916500.0,ns,2142
Parser,Rc<str>,fib.lox,,,57769200.0,ns,2176
Parser,Rc<str>,fib.lox,,,58623800.0,ns,2210
Parser,Rc<str>,fib.lox,,,59558900.0,ns,2244
Parser,Rc<str>,fib.lox,,,61460400.0,ns,2278
Parser,Rc<str>,fib.lox,,,62087400.0,ns,2312
Parser,Rc<str>,fib.lox,,,62992900.0,ns,2346
Parser,Rc<str>,fib.lox,,,63806000.0,ns,2380
Parser,Rc<str>,fib.lox,,,64493000.0,ns,2414
Parser,Rc<str>,fib.lox,,,65092500.0,ns,2448
Parser,Rc<str>,fib.lox,,,66581000.0,ns,2482
Parser,Rc<str>,fib.lox,,,67861800.0,ns,2516
Parser,Rc<str>,fib.lox,,,68489100.0,ns,2550
Parser,Rc<str>,fib.lox,,,69333100.0,ns,2584
Parser,Rc<str>,fib.lox,,,70129700.0,ns,2618
Parser,Rc<str>,fib.lox,,,70879800.0,ns,2652
Parser,Rc<str>,fib.lox,,,71393500.0,ns,2686
Parser,Rc<str>,fib.lox,,,72467400.0,ns,2720
Parser,Rc<str>,fib.lox,,,73012000.0,ns,2754
Parser,Rc<str>,fib.lox,,,76468400.0,ns,2788
Parser,Rc<str>,fib.lox,,,76477300.0,ns,2822
Parser,Rc<str>,fib.lox,,,77566700.0,ns,2856
Parser,Rc<str>,fib.lox,,,78048700.0,ns,2890
Parser,Rc<str>,fib.lox,,,78558800.0,ns,2924
Parser,Rc<str>,fib.lox,,,79470500.0,ns,2958
Parser,Rc<str>,fib.lox,,,80877700.0,ns,2992
Parser,Rc<str>,fib.lox,,,81150900.0,ns,3026
Parser,Rc<str>,fib.lox,,,81012100.0,ns,3060
Parser,Rc<str>,fib.lox,,,82053900.0,ns,3094
Parser,Rc<str>,fib.lox,,,83282900.0,ns,3128
Parser,Rc<str>,fib.lox,,,83982100.0,ns,3162
Parser,Rc<str>,fib.lox,,,86060200.0,ns,3196
Parser,Rc<str>,fib.lox,,,86444900.0,ns,3230
Parser,Rc<str>,fib.lox,,,87549400.0,ns,3264
Parser,Rc<str>,fib.lox,,,88358400.0,ns,3298
Parser,Rc<str>,fib.lox,,,88575500.0,ns,3332
Parser,Rc<str>,fib.lox,,,90428200.0,ns,3366
Parser,Rc<str>,fib.lox,,,90917400.0,ns,3400
