group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,Rc<str>,forloop.lox,,,918900.0,ns,129
Parser,Rc<str>,forloop.lox,,,1895900.0,ns,258
Parser,Rc<str>,forloop.lox,,,2738700.0,ns,387
Parser,Rc<str>,forloop.lox,,,3668600.0,ns,516
Parser,Rc<str>,forloop.lox,,,4709500.0,ns,645
Parser,Rc<str>,forloop.lox,,,5807000.0,ns,774
Parser,Rc<str>,forloop.lox,,,6546400.0,ns,903
Parser,Rc<str>,forloop.lox,,,7472700.0,ns,1032
Parser,Rc<str>,forloop.lox,,,8278600.0,ns,1161
Parser,Rc<str>,forloop.lox,,,9288700.0,ns,1290
Parser,Rc<str>,forloop.lox,,,10100000.0,ns,1419
Parser,Rc<str>,forloop.lox,,,11027800.0,ns,1548
Parser,Rc<str>,forloop.lox,,,12360800.0,ns,1677
Parser,Rc<str>,forloop.lox,,,13093400.0,ns,1806
Parser,Rc<str>,forloop.lox,,,13842800.0,ns,1935
Parser,Rc<str>,forloop.lox,,,14852600.0,ns,2064
Parser,Rc<str>,forloop.lox,,,15854200.0,ns,2193
Parser,Rc<str>,forloop.lox,,,16617800.0,ns,2322
Parser,Rc<str>,forloop.lox,,,17434900.0,ns,2451
Parser,Rc<str>,forloop.lox,,,18410400.0,ns,2580
Parser,Rc<str>,forloop.lox,,,19789700.0,ns,2709
Parser,Rc<str>,forloop.lox,,,20295000.0,ns,2838
Parser,Rc<str>,forloop.lox,,,21071200.0,ns,2967
Parser,Rc<str>,forloop.lox,,,22199000.0,ns,3096
Parser,Rc<str>,forloop.lox,,,23064000.0,ns,3225
Parser,Rc<str>,forloop.lox,,,23996600.0,ns,3354
Parser,Rc<str>,forloop.lox,,,25021700.0,ns,3483
Parser,Rc<str>,forloop.lox,,,26059800.0,ns,3612
Parser,Rc<str>,forloop.lox,,,27088800.0,ns,3741
Parser,Rc<str>,forloop.lox,,,27660000.0,ns,3870
Parser,Rc<str>,forloop.lox,,,28673100.0,ns,3999
Parser,Rc<str>,forloop.lox,,,29581000.0,ns,4128
