group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,&'a str,linked-list.lox,,,1198500.0,ns,8
Lexer,&'a str,linked-list.lox,,,1996300.0,ns,16
Lexer,&'a str,linked-list.lox,,,2925400.0,ns,24
Lexer,&'a str,linked-list.lox,,,3892300.0,ns,32
Lexer,&'a str,linked-list.lox,,,4874700.0,ns,40
Lexer,&'a str,linked-list.lox,,,5923900.0,ns,48
Lexer,&'a str,linked-list.lox,,,6884500.0,ns,56
Lexer,&'a str,linked-list.lox,,,7935400.0,ns,64
Lexer,&'a str,linked-list.lox,,,8876100.0,ns,72
Lexer,&'a str,linked-list.lox,,,9838800.0,ns,80
Lexer,&'a str,linked-list.lox,,,10872600.0,ns,88
Lexer,&'a str,linked-list.lox,,,11921400.0,ns,96
Lexer,&'a str,linked-list.lox,,,12828700.0,ns,104
Lexer,&'a str,linked-list.lox,,,13859500.0,ns,112
Lexer,&'a str,linked-list.lox,,,14773100.0,ns,120
Lexer,&'a str,linked-list.lox,,,15881300.0,ns,128
Lexer,&'a str,linked-list.lox,,,16917400.0,ns,136
Lexer,&'a str,linked-list.lox,,,17823500.0,ns,144
Lexer,&'a str,linked-list.lox,,,18719100.0,ns,152
Lexer,&'a str,linked-list.lox,,,19933300.0,ns,160
Lexer,&'a str,linked-list.lox,,,20776300.0,ns,168
Lexer,&'a str,linked-list.lox,,,21755800.0,ns,176
Lexer,&'a str,linked-list.lox,,,22958800.0,ns,184
Lexer,&'a str,linked-list.lox,,,24206700.0,ns,192
Lexer,&'a str,linked-list.lox,,,27644500.0,ns,200
Lexer,&'a str,linked-list.lox,,,26431200.0,ns,208
Lexer,&'a str,linked-list.lox,,,26550900.0,ns,216
Lexer,&'a str,linked-list.lox,,,27632300.0,ns,224
Lexer,&'a str,linked-list.lox,,,28417200.0,ns,232
Lexer,&'a str,linked-list.lox,,,29884700.0,ns,240
Lexer,&'a str,linked-list.lox,,,30725400.0,ns,248
Lexer,&'a str,linked-list.lox,,,31723000.0,ns,256
Lexer,&'a str,linked-list.lox,,,32964400.0,ns,264
Lexer,&'a str,linked-list.lox,,,33852900.0,ns,272
Lexer,&'a str,linked-list.lox,,,34718900.0,ns,280
Lexer,&'a str,linked-list.lox,,,35748200.0,ns,288
Lexer,&'a str,linked-list.lox,,,36479900.0,ns,296
Lexer,&'a str,linked-list.lox,,,37757000.0,ns,304
Lexer,&'a str,linked-list.lox,,,38690700.0,ns,312
Lexer,&'a str,linked-list.lox,,,39855500.0,ns,320
Lexer,&'a str,linked-list.lox,,,40640800.0,ns,328
Lexer,&'a str,linked-list.lox,,,41564200.0,ns,336
