group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,Rc<str>,classes.lox,,,951900.0,ns,12
Parser,Rc<str>,classes.lox,,,1793500.0,ns,24
Parser,Rc<str>,classes.lox,,,2706600.0,ns,36
Parser,Rc<str>,classes.lox,,,3508400.0,ns,48
Parser,Rc<str>,classes.lox,,,4533000.0,ns,60
Parser,Rc<str>,classes.lox,,,5488800.0,ns,72
Parser,Rc<str>,classes.lox,,,6498400.0,ns,84
Parser,Rc<str>,classes.lox,,,7363900.0,ns,96
Parser,Rc<str>,classes.lox,,,8496600.0,ns,108
Parser,Rc<str>,classes.lox,,,9171200.0,ns,120
Parser,Rc<str>,classes.lox,,,13226800.0,ns,132
Parser,Rc<str>,classes.lox,,,11612700.0,ns,144
Parser,Rc<str>,classes.lox,,,12747600.0,ns,156
Parser,Rc<str>,classes.lox,,,13978300.0,ns,168
Parser,Rc<str>,classes.lox,,,14940500.0,ns,180
Parser,Rc<str>,classes.lox,,,15990100.0,ns,192
Parser,Rc<str>,classes.lox,,,16476200.0,ns,204
Parser,Rc<str>,classes.lox,,,17344600.0,ns,216
Parser,Rc<str>,classes.lox,,,17956400.0,ns,228
Parser,Rc<str>,classes.lox,,,19242400.0,ns,240
Parser,Rc<str>,classes.lox,,,20493000.0,ns,252
Parser,Rc<str>,classes.lox,,,21455200.0,ns,264
Parser,Rc<str>,classes.lox,,,22173700.0,ns,276
Parser,Rc<str>,classes.lox,,,23339900.0,ns,288
Parser,Rc<str>,classes.lox,,,24422600.0,ns,300
Parser,Rc<str>,classes.lox,,,24795700.0,ns,312
Parser,Rc<str>,classes.lox,,,25838000.0,ns,324
Parser,Rc<str>,classes.lox,,,26492300.0,ns,336
Parser,Rc<str>,classes.lox,,,28247600.0,ns,348
Parser,Rc<str>,classes.lox,,,28313200.0,ns,360
Parser,Rc<str>,classes.lox,,,29495100.0,ns,372
Parser,Rc<str>,classes.lox,,,30659800.0,ns,384
Parser,Rc<str>,classes.lox,,,31018900.0,ns,396
Parser,Rc<str>,classes.lox,,,31502600.0,ns,408
Parser,Rc<str>,classes.lox,,,32615400.0,ns,420
Parser,Rc<str>,classes.lox,,,33604500.0,ns,432
Parser,Rc<str>,classes.lox,,,35088700.0,ns,444
Parser,Rc<str>,classes.lox,,,34920800.0,ns,456
Parser,Rc<str>,classes.lox,,,35822300.0,ns,468
Parser,Rc<str>,classes.lox,,,36645300.0,ns,480
Parser,Rc<str>,classes.lox,,,37780300.0,ns,492
Parser,Rc<str>,classes.lox,,,38719900.0,ns,504
Parser,Rc<str>,classes.lox,,,39065800.0,ns,516
Parser,Rc<str>,classes.lox,,,40001800.0,ns,528
Parser,Rc<str>,classes.lox,,,41322500.0,ns,540
Parser,Rc<str>,classes.lox,,,41119300.0,ns,552
Parser,Rc<str>,classes.lox,,,45360300.0,ns,564
Parser,Rc<str>,classes.lox,,,42509600.0,ns,576
Parser,Rc<str>,classes.lox,,,43214500.0,ns,588
Parser,Rc<str>,classes.lox,,,44552200.0,ns,600
Parser,Rc<str>,classes.lox,,,45396100.0,ns,612
Parser,Rc<str>,classes.lox,,,46582900.0,ns,624
Parser,Rc<str>,classes.lox,,,46674000.0,ns,636
Parser,Rc<str>,classes.lox,,,47350700.0,ns,648
Parser,Rc<str>,classes.lox,,,48441600.0,ns,660
Parser,Rc<str>,classes.lox,,,49000600.0,ns,672
Parser,Rc<str>,classes.lox,,,50276300.0,ns,684
Parser,Rc<str>,classes.lox,,,50408300.0,ns,696
Parser,Rc<str>,classes.lox,,,51839800.0,ns,708
Parser,Rc<str>,classes.lox,,,52462700.0,ns,720
Parser,Rc<str>,classes.lox,,,53296500.0,ns,732
Parser,Rc<str>,classes.lox,,,53524700.0,ns,744
Parser,Rc<str>,classes.lox,,,55066300.0,ns,756
Parser,Rc<str>,classes.lox,,,55875700.0,ns,768
Parser,Rc<str>,classes.lox,,,57363200.0,ns,780
Parser,Rc<str>,classes.lox,,,59570600.0,ns,792
Parser,Rc<str>,classes.lox,,,59032600.0,ns,804
Parser,Rc<str>,classes.lox,,,59034000.0,ns,816
Parser,Rc<str>,classes.lox,,,59886000.0,ns,828
Parser,Rc<str>,classes.lox,,,61509200.0,ns,840
Parser,Rc<str>,classes.lox,,,61274700.0,ns,852
Parser,Rc<str>,classes.lox,,,62574900.0,ns,864
Parser,Rc<str>,classes.lox,,,63896100.0,ns,876
Parser,Rc<str>,classes.lox,,,64891300.0,ns,888
Parser,Rc<str>,classes.lox,,,66045700.0,ns,900
Parser,Rc<str>,classes.lox,,,65298800.0,ns,912
Parser,Rc<str>,classes.lox,,,67302700.0,ns,924
Parser,Rc<str>,classes.lox,,,68116100.0,ns,936
Parser,Rc<str>,classes.lox,,,68278100.0,ns,948
