group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,Rc<str>,counter.lox,,,1055900.0,ns,45
Parser,Rc<str>,counter.lox,,,1852400.0,ns,90
Parser,Rc<str>,counter.lox,,,2751700.0,ns,135
Parser,Rc<str>,counter.lox,,,3690000.0,ns,180
Parser,Rc<str>,counter.lox,,,4646100.0,ns,225
Parser,Rc<str>,counter.lox,,,5628500.0,ns,270
Parser,Rc<str>,counter.lox,,,6495200.0,ns,315
Parser,Rc<str>,counter.lox,,,7562000.0,ns,360
Parser,Rc<str>,counter.lox,,,8243200.0,ns,405
Parser,Rc<str>,counter.lox,,,9208500.0,ns,450
Parser,Rc<str>,counter.lox,,,10035500.0,ns,495
Parser,Rc<str>,counter.lox,,,11146100.0,ns,540
Parser,Rc<str>,counter.lox,,,11911000.0,ns,585
Parser,Rc<str>,counter.lox,,,12842000.0,ns,630
Parser,Rc<str>,counter.lox,,,13673600.0,ns,675
Parser,Rc<str>,counter.lox,,,14794000.0,ns,720
Parser,Rc<str>,counter.lox,,,15796400.0,ns,765
Parser,Rc<str>,counter.lox,,,16470700.0,ns,810
Parser,Rc<str>,counter.lox,,,17259900.0,ns,855
Parser,Rc<str>,counter.lox,,,18401000.0,ns,900
Parser,Rc<str>,counter.lox,,,19318400.0,ns,945
Parser,Rc<str>,counter.lox,,,19973200.0,ns,990
Parser,Rc<str>,counter.lox,,,21195700.0,ns,1035
Parser,Rc<str>,counter.lox,,,21929600.0,ns,1080
Parser,Rc<str>,counter.lox,,,22655600.0,ns,1125
Parser,Rc<str>,counter.lox,,,23787600.0,ns,1170
Parser,Rc<str>,counter.lox,,,24624700.0,ns,1215
Parser,Rc<str>,counter.lox,,,25815300.0,ns,1260
Parser,Rc<str>,counter.lox,,,26637700.0,ns,1305
Parser,Rc<str>,counter.lox,,,27475100.0,ns,1350
Parser,Rc<str>,counter.lox,,,28675000.0,ns,1395
Parser,Rc<str>,counter.lox,,,29817300.0,ns,1440
Parser,Rc<str>,counter.lox,,,30688600.0,ns,1485
Parser,Rc<str>,counter.lox,,,31281300.0,ns,1530
Parser,Rc<str>,counter.lox,,,32524700.0,ns,1575
Parser,Rc<str>,counter.lox,,,33279500.0,ns,1620
Parser,Rc<str>,counter.lox,,,34258600.0,ns,1665
Parser,Rc<str>,counter.lox,,,34751700.0,ns,1710
Parser,Rc<str>,counter.lox,,,35889100.0,ns,1755
Parser,Rc<str>,counter.lox,,,36586300.0,ns,1800
Parser,Rc<str>,counter.lox,,,37751800.0,ns,1845
Parser,Rc<str>,counter.lox,,,40223400.0,ns,1890
Parser,Rc<str>,counter.lox,,,39082900.0,ns,1935
Parser,Rc<str>,counter.lox,,,40987700.0,ns,1980
Parser,Rc<str>,counter.lox,,,41458700.0,ns,2025
Parser,Rc<str>,counter.lox,,,42765200.0,ns,2070
Parser,Rc<str>,counter.lox,,,43388400.0,ns,2115
Parser,Rc<str>,counter.lox,,,43916700.0,ns,2160
Parser,Rc<str>,counter.lox,,,44737500.0,ns,2205
Parser,Rc<str>,counter.lox,,,46128500.0,ns,2250
Parser,Rc<str>,counter.lox,,,46900000.0,ns,2295
Parser,Rc<str>,counter.lox,,,47801000.0,ns,2340
Parser,Rc<str>,counter.lox,,,48709000.0,ns,2385
Parser,Rc<str>,counter.lox,,,49564700.0,ns,2430
Parser,Rc<str>,counter.lox,,,50492000.0,ns,2475
Parser,Rc<str>,counter.lox,,,51499400.0,ns,2520
Parser,Rc<str>,counter.lox,,,53171100.0,ns,2565
Parser,Rc<str>,counter.lox,,,53754200.0,ns,2610
Parser,Rc<str>,counter.lox,,,54468500.0,ns,2655
Parser,Rc<str>,counter.lox,,,55416800.0,ns,2700
Parser,Rc<str>,counter.lox,,,56200300.0,ns,2745
Parser,Rc<str>,counter.lox,,,56880100.0,ns,2790
Parser,Rc<str>,counter.lox,,,58235200.0,ns,2835
Parser,Rc<str>,counter.lox,,,58603100.0,ns,2880
Parser,Rc<str>,counter.lox,,,59744200.0,ns,2925
Parser,Rc<str>,counter.lox,,,60511500.0,ns,2970
Parser,Rc<str>,counter.lox,,,61598200.0,ns,3015
Parser,Rc<str>,counter.lox,,,62373900.0,ns,3060
Parser,Rc<str>,counter.lox,,,62857400.0,ns,3105
Parser,Rc<str>,counter.lox,,,64296400.0,ns,3150
Parser,Rc<str>,counter.lox,,,64932400.0,ns,3195
Parser,Rc<str>,counter.lox,,,66347400.0,ns,3240
Parser,Rc<str>,counter.lox,,,66194000.0,ns,3285
Parser,Rc<str>,counter.lox,,,69108100.0,ns,3330
Parser,Rc<str>,counter.lox,,,69624300.0,ns,3375
Parser,Rc<str>,counter.lox,,,70079300.0,ns,3420
Parser,Rc<str>,counter.lox,,,70953800.0,ns,3465
Parser,Rc<str>,counter.lox,,,72087000.0,ns,3510
Parser,Rc<str>,counter.lox,,,73123600.0,ns,3555
Parser,Rc<str>,counter.lox,,,73302900.0,ns,3600
Parser,Rc<str>,counter.lox,,,74602300.0,ns,3645
Parser,Rc<str>,counter.lox,,,74974600.0,ns,3690
Parser,Rc<str>,counter.lox,,,76602100.0,ns,3735
Parser,Rc<str>,counter.lox,,,76655200.0,ns,3780
Parser,Rc<str>,counter.lox,,,77985100.0,ns,3825
Parser,Rc<str>,counter.lox,,,78769200.0,ns,3870
Parser,Rc<str>,counter.lox,,,80193900.0,ns,3915
Parser,Rc<str>,counter.lox,,,81266700.0,ns,3960
Parser,Rc<str>,counter.lox,,,81933700.0,ns,4005
Parser,Rc<str>,counter.lox,,,82279500.0,ns,4050
Parser,Rc<str>,counter.lox,,,83942700.0,ns,4095
Parser,Rc<str>,counter.lox,,,84589500.0,ns,4140
Parser,Rc<str>,counter.lox,,,85243500.0,ns,4185
Parser,Rc<str>,counter.lox,,,86179100.0,ns,4230
Parser,Rc<str>,counter.lox,,,87735700.0,ns,4275
Parser,Rc<str>,counter.lox,,,88219500.0,ns,4320
Parser,Rc<str>,counter.lox,,,88961800.0,ns,4365
Parser,Rc<str>,counter.lox,,,89512900.0,ns,4410
Parser,Rc<str>,counter.lox,,,91905900.0,ns,4455
Parser,Rc<str>,counter.lox,,,92243700.0,ns,4500
