group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,Rc<str>,fun.lox,,,928400.0,ns,16
Parser,Rc<str>,fun.lox,,,1840600.0,ns,32
Parser,Rc<str>,fun.lox,,,2724100.0,ns,48
Parser,Rc<str>,fun.lox,,,3823300.0,ns,64
Parser,Rc<str>,fun.lox,,,4690800.0,ns,80
Parser,Rc<str>,fun.lox,,,5592400.0,ns,96
Parser,Rc<str>,fun.lox,,,6571000.0,ns,112
Parser,Rc<str>,fun.lox,,,7499300.0,ns,128
Parser,Rc<str>,fun.lox,,,8502200.0,ns,144
Parser,Rc<str>,fun.lox,,,9477100.0,ns,160
Parser,Rc<str>,fun.lox,,,10362000.0,ns,176
Parser,Rc<str>,fun.lox,,,11277900.0,ns,192
Parser,Rc<str>,fun.lox,,,12153900.0,ns,208
Parser,Rc<str>,fun.lox,,,13179400.0,ns,224
Parser,Rc<str>,fun.lox,,,14216800.0,ns,240
Parser,Rc<str>,fun.lox,,,14949800.0,ns,256
Parser,Rc<str>,fun.lox,,,15854400.0,ns,272
Parser,Rc<str>,fun.lox,,,16882400.0,ns,288
Parser,Rc<str>,fun.lox,,,18115100.0,ns,304
Parser,Rc<str>,fun.lox,,,18630500.0,ns,320
Parser,Rc<str>,fun.lox,,,19666800.0,ns,336
Parser,Rc<str>,fun.lox,,,20861000.0,ns,352
Parser,Rc<str>,fun.lox,,,21615100.0,ns,368
Parser,Rc<str>,fun.lox,,,22375100.0,ns,384
Parser,Rc<str>,fun.lox,,,23335000.0,ns,400
Parser,Rc<str>,fun.lox,,,24044100.0,ns,416
Parser,Rc<str>,fun.lox,,,25232400.0,ns,432
Parser,Rc<str>,fun.lox,,,26024000.0,ns,448
Parser,Rc<str>,fun.lox,,,26991700.0,ns,464
Parser,Rc<str>,fun.lox,,,27979600.0,ns,480
Parser,Rc<str>,fun.lox,,,28766000.0,ns,496
Parser,Rc<str>,fun.lox,,,29737400.0,ns,512
Parser,Rc<str>,fun.lox,,,30654800.0,ns,528
Parser,Rc<str>,fun.lox,,,31464200.0,ns,544
Parser,Rc<str>,fun.lox,,,32158800.0,ns,560
Parser,Rc<str>,fun.lox,,,33255100.0,ns,576
Parser,Rc<str>,fun.lox,,,34123000.0,ns,592
Parser,Rc<str>,fun.lox,,,35602500.0,ns,608
Parser,Rc<str>,fun.lox,,,36301000.0,ns,624
Parser,Rc<str>,fun.lox,,,37070600.0,ns,640
Parser,Rc<str>,fun.lox,,,37870400.0,ns,656
Parser,Rc<str>,fun.lox,,,38449200.0,ns,672
Parser,Rc<str>,fun.lox,,,41593400.0,ns,688
Parser,Rc<str>,fun.lox,,,40543300.0,ns,704
Parser,Rc<str>,fun.lox,,,41793400.0,ns,720
Parser,Rc<str>,fun.lox,,,42376600.0,ns,736
Parser,Rc<str>,fun.lox,,,43082900.0,ns,752
Parser,Rc<str>,fun.lox,,,43912300.0,ns,768
Parser,Rc<str>,fun.lox,,,44949400.0,ns,784
Parser,Rc<str>,fun.lox,,,46312200.0,ns,800
Parser,Rc<str>,fun.lox,,,47362700.0,ns,816
Parser,Rc<str>,fun.lox,,,48214700.0,ns,832
Parser,Rc<str>,fun.lox,,,49055500.0,ns,848
Parser,Rc<str>,fun.lox,,,49742800.0,ns,864
Parser,Rc<str>,fun.lox,,,50672500.0,ns,880
Parser,Rc<str>,fun.lox,,,51853700.0,ns,896
Parser,Rc<str>,fun.lox,,,52463600.0,ns,912
Parser,Rc<str>,fun.lox,,,53229200.0,ns,928
Parser,Rc<str>,fun.lox,,,54239300.0,ns,944
Parser,Rc<str>,fun.lox,,,55048500.0,ns,960
Parser,Rc<str>,fun.lox,,,56324600.0,ns,976
Parser,Rc<str>,fun.lox,,,57092700.0,ns,992
Parser,Rc<str>,fun.lox,,,58232900.0,ns,1008
Parser,Rc<str>,fun.lox,,,59278300.0,ns,1024
Parser,Rc<str>,fun.lox,,,59882800.0,ns,1040
Parser,Rc<str>,fun.lox,,,60434000.0,ns,1056
Parser,Rc<str>,fun.lox,,,61294700.0,ns,1072
Parser,Rc<str>,fun.lox,,,62257600.0,ns,1088
Parser,Rc<str>,fun.lox,,,63914000.0,ns,1104
Parser,Rc<str>,fun.lox,,,64320800.0,ns,1120
Parser,Rc<str>,fun.lox,,,65024800.0,ns,1136
Parser,Rc<str>,fun.lox,,,65973800.0,ns,1152
Parser,Rc<str>,fun.lox,,,66631600.0,ns,1168
Parser,Rc<str>,fun.lox,,,67933600.0,ns,1184
Parser,Rc<str>,fun.lox,,,68539000.0,ns,1200
Parser,Rc<str>,fun.lox,,,69937000.0,ns,1216
Parser,Rc<str>,fun.lox,,,70860200.0,ns,1232
Parser,Rc<str>,fun.lox,,,72153500.0,ns,1248
Parser,Rc<str>,fun.lox,,,73021300.0,ns,1264
Parser,Rc<str>,fun.lox,,,73361200.0,ns,1280
Parser,Rc<str>,fun.lox,,,74809400.0,ns,1296
Parser,Rc<str>,fun.lox,,,74782800.0,ns,1312
Parser,Rc<str>,fun.lox,,,76718800.0,ns,1328
Parser,Rc<str>,fun.lox,,,77686100.0,ns,1344
Parser,Rc<str>,fun.lox,,,78085500.0,ns,1360
Parser,Rc<str>,fun.lox,,,79774300.0,ns,1376
Parser,Rc<str>,fun.lox,,,80250200.0,ns,1392
Parser,Rc<str>,fun.lox,,,81037400.0,ns,1408
Parser,Rc<str>,fun.lox,,,82243900.0,ns,1424
Parser,Rc<str>,fun.lox,,,82621900.0,ns,1440
Parser,Rc<str>,fun.lox,,,83732100.0,ns,1456
Parser,Rc<str>,fun.lox,,,84693300.0,ns,1472
Parser,Rc<str>,fun.lox,,,86119400.0,ns,1488
Parser,Rc<str>,fun.lox,,,85646300.0,ns,1504
Parser,Rc<str>,fun.lox,,,87326900.0,ns,1520
Parser,Rc<str>,fun.lox,,,89162900.0,ns,1536
Parser,Rc<str>,fun.lox,,,88684700.0,ns,1552
Parser,Rc<str>,fun.lox,,,89831600.0,ns,1568
Parser,Rc<str>,fun.lox,,,89938500.0,ns,1584
Parser,Rc<str>,fun.lox,,,90989900.0,ns,1600
