group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,Rc<str>,linked-list.lox,,,1248100.0,ns,5
Parser,Rc<str>,linked-list.lox,,,3486200.0,ns,10
Parser,Rc<str>,linked-list.lox,,,3152400.0,ns,15
Parser,Rc<str>,linked-list.lox,,,3812400.0,ns,20
Parser,Rc<str>,linked-list.lox,,,4836100.0,ns,25
Parser,Rc<str>,linked-list.lox,,,6027000.0,ns,30
Parser,Rc<str>,linked-list.lox,,,6821900.0,ns,35
Parser,Rc<str>,linked-list.lox,,,7817900.0,ns,40
Parser,Rc<str>,linked-list.lox,,,11003700.0,ns,45
Parser,Rc<str>,linked-list.lox,,,10890700.0,ns,50
Parser,Rc<str>,linked-list.lox,,,11319800.0,ns,55
Parser,Rc<str>,linked-list.lox,,,12317300.0,ns,60
Parser,Rc<str>,linked-list.lox,,,13439800.0,ns,65
Parser,Rc<str>,linked-list.lox,,,13786500.0,ns,70
Parser,Rc<str>,linked-list.lox,,,15095000.0,ns,75
Parser,Rc<str>,linked-list.lox,,,15564400.0,ns,80
Parser,Rc<str>,linked-list.lox,,,16668600.0,ns,85
Parser,Rc<str>,linked-list.lox,,,17719900.0,ns,90
Parser,Rc<str>,linked-list.lox,,,18736300.0,ns,95
Parser,Rc<str>,linked-list.lox,,,19635000.0,ns,100
Parser,Rc<str>,linked-list.lox,,,20625800.0,ns,105
Parser,Rc<str>,linked-list.lox,,,21731800.0,ns,110
Parser,Rc<str>,linked-list.lox,,,22711600.0,ns,115
Parser,Rc<str>,linked-list.lox,,,23814200.0,ns,120
Parser,Rc<str>,linked-list.lox,,,24703700.0,ns,125
Parser,Rc<str>,linked-list.lox,,,25692900.0,ns,130
Parser,Rc<str>,linked-list.lox,,,26815200.0,ns,135
Parser,Rc<str>,linked-list.lox,,,27693700.0,ns,140
Parser,Rc<str>,linked-list.lox,,,28601500.0,ns,145
Parser,Rc<str>,linked-list.lox,,,29580800.0,ns,150
Parser,Rc<str>,linked-list.lox,,,30579500.0,ns,155
Parser,Rc<str>,linked-list.lox,,,31429900.0,ns,160
Parser,Rc<str>,linked-list.lox,,,32469300.0,ns,165
Parser,Rc<str>,linked-list.lox,,,33343200.0,ns,170
Parser,Rc<str>,linked-list.lox,,,34228600.0,ns,175
Parser,Rc<str>,linked-list.lox,,,35823800.0,ns,180
Parser,Rc<str>,linked-list.lox,,,36806100.0,ns,185
Parser,Rc<str>,linked-list.lox,,,37658400.0,ns,190
Parser,Rc<str>,linked-list.lox,,,38581000.0,ns,195
Parser,Rc<str>,linked-list.lox,,,39536200.0,ns,200
Parser,Rc<str>,linked-list.lox,,,40477600.0,ns,205
Parser,Rc<str>,linked-list.lox,,,41351400.0,ns,210
Parser,Rc<str>,linked-list.lox,,,42353500.0,ns,215
Parser,Rc<str>,linked-list.lox,,,43296900.0,ns,220
Parser,Rc<str>,linked-list.lox,,,44384300.0,ns,225
Parser,Rc<str>,linked-list.lox,,,45416000.0,ns,230
Parser,Rc<str>,linked-list.lox,,,46497600.0,ns,235
Parser,Rc<str>,linked-list.lox,,,47321100.0,ns,240
Parser,Rc<str>,linked-list.lox,,,47992500.0,ns,245
Parser,Rc<str>,linked-list.lox,,,49233200.0,ns,250
Parser,Rc<str>,linked-list.lox,,,50102800.0,ns,255
Parser,Rc<str>,linked-list.lox,,,51037700.0,ns,260
Parser,Rc<str>,linked-list.lox,,,52041000.0,ns,265
Parser,Rc<str>,linked-list.lox,,,52843100.0,ns,270
Parser,Rc<str>,linked-list.lox,,,53836000.0,ns,275
Parser,Rc<str>,linked-list.lox,,,55148200.0,ns,280
Parser,Rc<str>,linked-list.lox,,,55664300.0,ns,285
Parser,Rc<str>,linked-list.lox,,,56986500.0,ns,290
Parser,Rc<str>,linked-list.lox,,,58821900.0,ns,295
Parser,Rc<str>,linked-list.lox,,,59204900.0,ns,300
Parser,Rc<str>,linked-list.lox,,,59886700.0,ns,305
Parser,Rc<str>,linked-list.lox,,,60450900.0,ns,310
Parser,Rc<str>,linked-list.lox,,,61214900.0,ns,315
Parser,Rc<str>,linked-list.lox,,,63422600.0,ns,320
Parser,Rc<str>,linked-list.lox,,,63838000.0,ns,325
Parser,Rc<str>,linked-list.lox,,,64208900.0,ns,330
Parser,Rc<str>,linked-list.lox,,,66479900.0,ns,335
Parser,Rc<str>,linked-list.lox,,,66447500.0,ns,340
Parser,Rc<str>,linked-list.lox,,,67865700.0,ns,345
Parser,Rc<str>,linked-list.lox,,,68002900.0,ns,350
Parser,Rc<str>,linked-list.lox,,,69411300.0,ns,355
Parser,Rc<str>,linked-list.lox,,,70322700.0,ns,360
Parser,Rc<str>,linked-list.lox,,,71301200.0,ns,365
Parser,Rc<str>,linked-list.lox,,,72368200.0,ns,370
Parser,Rc<str>,linked-list.lox,,,73563100.0,ns,375
Parser,Rc<str>,linked-list.lox,,,74813700.0,ns,380
Parser,Rc<str>,linked-list.lox,,,75598000.0,ns,385
Parser,Rc<str>,linked-list.lox,,,80543900.0,ns,390
Parser,Rc<str>,linked-list.lox,,,78234600.0,ns,395
Parser,Rc<str>,linked-list.lox,,,78566200.0,ns,400
Parser,Rc<str>,linked-list.lox,,,79015500.0,ns,405
Parser,Rc<str>,linked-list.lox,,,80826600.0,ns,410
Parser,Rc<str>,linked-list.lox,,,81619900.0,ns,415
Parser,Rc<str>,linked-list.lox,,,82282800.0,ns,420
Parser,Rc<str>,linked-list.lox,,,83235000.0,ns,425
Parser,Rc<str>,linked-list.lox,,,84900100.0,ns,430
Parser,Rc<str>,linked-list.lox,,,86071400.0,ns,435
Parser,Rc<str>,linked-list.lox,,,87143000.0,ns,440
Parser,Rc<str>,linked-list.lox,,,88141900.0,ns,445
Parser,Rc<str>,linked-list.lox,,,88883700.0,ns,450
Parser,Rc<str>,linked-list.lox,,,89258600.0,ns,455
Parser,Rc<str>,linked-list.lox,,,89699300.0,ns,460
Parser,Rc<str>,linked-list.lox,,,91032000.0,ns,465
Parser,Rc<str>,linked-list.lox,,,92527200.0,ns,470
Parser,Rc<str>,linked-list.lox,,,93398700.0,ns,475
Parser,Rc<str>,linked-list.lox,,,94306500.0,ns,480
Parser,Rc<str>,linked-list.lox,,,95316600.0,ns,485
Parser,Rc<str>,linked-list.lox,,,97244400.0,ns,490
Parser,Rc<str>,linked-list.lox,,,98189300.0,ns,495
Parser,Rc<str>,linked-list.lox,,,99424300.0,ns,500
