group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,Rc<str>,fib.lox,,,1079200.0,ns,76
Lexer,Rc<str>,fib.lox,,,1741800.0,ns,152
Lexer,Rc<str>,fib.lox,,,2544200.0,ns,228
Lexer,Rc<str>,fib.lox,,,3380500.0,ns,304
Lexer,Rc<str>,fib.lox,,,4230800.0,ns,380
Lexer,Rc<str>,fib.lox,,,5145300.0,ns,456
Lexer,Rc<str>,fib.lox,,,6079800.0,ns,532
Lexer,Rc<str>,fib.lox,,,6964400.0,ns,608
Lexer,Rc<str>,fib.lox,,,7868200.0,ns,684
Lexer,Rc<str>,fib.lox,,,8747800.0,ns,760
Lexer,Rc<str>,fib.lox,,,9562300.0,ns,836
Lexer,Rc<str>,fib.lox,,,10576300.0,ns,912
Lexer,Rc<str>,fib.lox,,,11290000.0,ns,988
Lexer,Rc<str>,fib.lox,,,12056800.0,ns,1064
Lexer,Rc<str>,fib.lox,,,12920000.0,ns,1140
Lexer,Rc<str>,fib.lox,,,15125400.0,ns,1216
Lexer,Rc<str>,fib.lox,,,16689100.0,ns,1292
Lexer,Rc<str>,fib.lox,,,15883400.0,ns,1368
Lexer,Rc<str>,fib.lox,,,16978300.0,ns,1444
Lexer,Rc<str>,fib.lox,,,17675800.0,ns,1520
Lexer,Rc<str>,fib.lox,,,18536700.0,ns,1596
Lexer,Rc<str>,fib.lox,,,19421000.0,ns,1672
Lexer,Rc<str>,fib.lox,,,20028300.0,ns,1748
Lexer,Rc<str>,fib.lox,,,21060400.0,ns,1824
Lexer,Rc<str>,fib.lox,,,21895500.0,ns,1900
Lexer,Rc<str>,fib.lox,,,22673400.0,ns,1976
Lexer,Rc<str>,fib.lox,,,23733800.0,ns,2052
Lexer,Rc<str>,fib.lox,,,24530500.0,ns,2128
Lexer,Rc<str>,fib.lox,,,25424900.0,ns,2204
Lexer,Rc<str>,fib.lox,,,25977900.0,ns,2280
Lexer,Rc<str>,fib.lox,,,26755600.0,ns,2356
Lexer,Rc<str>,fib.lox,,,27727800.0,ns,2432
Lexer,Rc<str>,fib.lox,,,28618400.0,ns,2508
Lexer,Rc<str>,fib.lox,,,29699300.0,ns,2584
Lexer,Rc<str>,fib.lox,,,30402600.0,ns,2660
Lexer,Rc<str>,fib.lox,,,31708600.0,ns,2736
Lexer,Rc<str>,fib.lox,,,32725600.0,ns,2812
Lexer,Rc<str>,fib.lox,,,33438300.0,ns,2888
Lexer,Rc<str>,fib.lox,,,33969400.0,ns,2964
Lexer,Rc<str>,fib.lox,,,35143000.0,ns,3040
Lexer,Rc<str>,fib.lox,,,35407500.0,ns,3116
Lexer,Rc<str>,fib.lox,,,36527600.0,ns,3192
Lexer,Rc<str>,fib.lox,,,37088200.0,ns,3268
Lexer,Rc<str>,fib.lox,,,37861900.0,ns,3344
Lexer,Rc<str>,fib.lox,,,39190300.0,ns,3420
Lexer,Rc<str>,fib.lox,,,39835200.0,ns,3496
Lexer,Rc<str>,fib.lox,,,40724200.0,ns,3572
Lexer,Rc<str>,fib.lox,,,41701100.0,ns,3648
Lexer,Rc<str>,fib.lox,,,42153800.0,ns,3724
Lexer,Rc<str>,fib.lox,,,43180800.0,ns,3800
Lexer,Rc<str>,fib.lox,,,43945500.0,ns,3876
Lexer,Rc<str>,fib.lox,,,45037800.0,ns,3952
Lexer,Rc<str>,fib.lox,,,45461400.0,ns,4028
Lexer,Rc<str>,fib.lox,,,46809900.0,ns,4104
Lexer,Rc<str>,fib.lox,,,47549700.0,ns,4180
Lexer,Rc<str>,fib.lox,,,48180200.0,ns,4256
Lexer,Rc<str>,fib.lox,,,49092200.0,ns,4332
Lexer,Rc<str>,fib.lox,,,49576200.0,ns,4408
Lexer,Rc<str>,fib.lox,,,50884900.0,ns,4484
Lexer,Rc<str>,fib.lox,,,52452600.0,ns,4560
Lexer,Rc<str>,fib.lox,,,53313000.0,ns,4636
Lexer,Rc<str>,fib.lox,,,53279800.0,ns,4712
Lexer,Rc<str>,fib.lox,,,54612600.0,ns,4788
Lexer,Rc<str>,fib.lox,,,55605000.0,ns,4864
Lexer,Rc<str>,fib.lox,,,56170000.0,ns,4940
Lexer,Rc<str>,fib.lox,,,56859000.0,ns,5016
Lexer,Rc<str>,fib.lox,,,57779600.0,ns,5092
Lexer,Rc<str>,fib.lox,,,58807600.0,ns,5168
Lexer,Rc<str>,fib.lox,,,61634800.0,ns,5244
Lexer,Rc<str>,fib.lox,,,61062400.0,ns,5320
Lexer,Rc<str>,fib.lox,,,61672200.0,ns,5396
Lexer,Rc<str>,fib.lox,,,62996200.0,ns,5472
