group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,Rc<str>,fun-expressions.lox,,,884300.0,ns,99
Lexer,Rc<str>,fun-expressions.lox,,,1735700.0,ns,198
Lexer,Rc<str>,fun-expressions.lox,,,2616500.0,ns,297
Lexer,Rc<str>,fun-expressions.lox,,,3475400.0,ns,396
Lexer,Rc<str>,fun-expressions.lox,,,4342400.0,ns,495
Lexer,Rc<str>,fun-expressions.lox,,,5239100.0,ns,594
Lexer,Rc<str>,fun-expressions.lox,,,6146500.0,ns,693
Lexer,Rc<str>,fun-expressions.lox,,,7090900.0,ns,792
Lexer,Rc<str>,fun-expressions.lox,,,7890300.0,ns,891
Lexer,Rc<str>,fun-expressions.lox,,,8823300.0,ns,990
Lexer,Rc<str>,fun-expressions.lox,,,9766100.0,ns,1089
Lexer,Rc<str>,fun-expressions.lox,,,10705100.0,ns,1188
Lexer,Rc<str>,fun-expressions.lox,,,11391400.0,ns,1287
Lexer,Rc<str>,fun-expressions.lox,,,12267400.0,ns,1386
Lexer,Rc<str>,fun-expressions.lox,,,13130900.0,ns,1485
Lexer,Rc<str>,fun-expressions.lox,,,14250200.0,ns,1584
Lexer,Rc<str>,fun-expressions.lox,,,15034800.0,ns,1683
Lexer,Rc<str>,fun-expressions.lox,,,15744000.0,ns,1782
Lexer,Rc<str>,fun-expressions.lox,,,16573900.0,ns,1881
Lexer,Rc<str>,fun-expressions.lox,,,17402900.0,ns,1980
Lexer,Rc<str>,fun-expressions.lox,,,18522500.0,ns,2079
Lexer,Rc<str>,fun-expressions.lox,,,19003400.0,ns,2178
Lexer,Rc<str>,fun-expressions.lox,,,20009300.0,ns,2277
Lexer,Rc<str>,fun-expressions.lox,,,21128000.0,ns,2376
Lexer,Rc<str>,fun-expressions.lox,,,21560300.0,ns,2475
Lexer,Rc<str>,fun-expressions.lox,,,22694200.0,ns,2574
Lexer,Rc<str>,fun-expressions.lox,,,23474000.0,ns,2673
Lexer,Rc<str>,fun-expressions.lox,,,24523000.0,ns,2772
Lexer,Rc<str>,fun-expressions.lox,,,25171100.0,ns,2871
Lexer,Rc<str>,fun-expressions.lox,,,26160100.0,ns,2970
Lexer,Rc<str>,fun-expressions.lox,,,26880800.0,ns,3069
Lexer,Rc<str>,fun-expressions.lox,,,28040100.0,ns,3168
Lexer,Rc<str>,fun-expressions.lox,,,28434700.0,ns,3267
Lexer,Rc<str>,fun-expressions.lox,,,29725300.0,ns,3366
Lexer,Rc<str>,fun-expressions.lox,,,30159900.0,ns,3465
Lexer,Rc<str>,fun-expressions.lox,,,31190700.0,ns,3564
Lexer,Rc<str>,fun-expressions.lox,,,31519300.0,ns,3663
Lexer,Rc<str>,fun-expressions.lox,,,32735200.0,ns,3762
Lexer,Rc<str>,fun-expressions.lox,,,33496200.0,ns,3861
Lexer,Rc<str>,fun-expressions.lox,,,34469900.0,ns,3960
Lexer,Rc<str>,fun-expressions.lox,,,38482100.0,ns,4059
Lexer,Rc<str>,fun-expressions.lox,,,36720800.0,ns,4158
Lexer,Rc<str>,fun-expressions.lox,,,37261000.0,ns,4257
Lexer,Rc<str>,fun-expressions.lox,,,38067700.0,ns,4356
Lexer,Rc<str>,fun-expressions.lox,,,39302800.0,ns,4455
Lexer,Rc<str>,fun-expressions.lox,,,39820100.0,ns,4554
Lexer,Rc<str>,fun-expressions.lox,,,40498000.0,ns,4653
Lexer,Rc<str>,fun-expressions.lox,,,41441200.0,ns,4752
Lexer,Rc<str>,fun-expressions.lox,,,42064200.0,ns,4851
Lexer,Rc<str>,fun-expressions.lox,,,42862700.0,ns,4950
Lexer,Rc<str>,fun-expressions.lox,,,44172800.0,ns,5049
Lexer,Rc<str>,fun-expressions.lox,,,45858100.0,ns,5148
Lexer,Rc<str>,fun-expressions.lox,,,45900500.0,ns,5247
Lexer,Rc<str>,fun-expressions.lox,,,46677000.0,ns,5346
Lexer,Rc<str>,fun-expressions.lox,,,47369400.0,ns,5445
Lexer,Rc<str>,fun-expressions.lox,,,48852000.0,ns,5544
Lexer,Rc<str>,fun-expressions.lox,,,48986700.0,ns,5643
Lexer,Rc<str>,fun-expressions.lox,,,49853100.0,ns,5742
Lexer,Rc<str>,fun-expressions.lox,,,50968100.0,ns,5841
Lexer,Rc<str>,fun-expressions.lox,,,52309500.0,ns,5940
Lexer,Rc<str>,fun-expressions.lox,,,52796000.0,ns,6039
Lexer,Rc<str>,fun-expressions.lox,,,53538000.0,ns,6138
Lexer,Rc<str>,fun-expressions.lox,,,54775300.0,ns,6237
Lexer,Rc<str>,fun-expressions.lox,,,54896700.0,ns,6336
Lexer,Rc<str>,fun-expressions.lox,,,55808100.0,ns,6435
Lexer,Rc<str>,fun-expressions.lox,,,57625400.0,ns,6534
Lexer,Rc<str>,fun-expressions.lox,,,58080000.0,ns,6633
Lexer,Rc<str>,fun-expressions.lox,,,58755300.0,ns,6732
Lexer,Rc<str>,fun-expressions.lox,,,59406300.0,ns,6831
Lexer,Rc<str>,fun-expressions.lox,,,60396600.0,ns,6930
Lexer,Rc<str>,fun-expressions.lox,,,61268300.0,ns,7029
Lexer,Rc<str>,fun-expressions.lox,,,62105700.0,ns,7128
Lexer,Rc<str>,fun-expressions.lox,,,62971200.0,ns,7227
Lexer,Rc<str>,fun-expressions.lox,,,63903400.0,ns,7326
Lexer,Rc<str>,fun-expressions.lox,,,64560700.0,ns,7425
Lexer,Rc<str>,fun-expressions.lox,,,65555100.0,ns,7524
Lexer,Rc<str>,fun-expressions.lox,,,66769600.0,ns,7623
Lexer,Rc<str>,fun-expressions.lox,,,68195500.0,ns,7722
Lexer,Rc<str>,fun-expressions.lox,,,68683500.0,ns,7821
Lexer,Rc<str>,fun-expressions.lox,,,69124500.0,ns,7920
Lexer,Rc<str>,fun-expressions.lox,,,69545700.0,ns,8019
Lexer,Rc<str>,fun-expressions.lox,,,71538100.0,ns,8118
Lexer,Rc<str>,fun-expressions.lox,,,71583300.0,ns,8217
Lexer,Rc<str>,fun-expressions.lox,,,72364900.0,ns,8316
Lexer,Rc<str>,fun-expressions.lox,,,73131500.0,ns,8415
Lexer,Rc<str>,fun-expressions.lox,,,74314400.0,ns,8514
Lexer,Rc<str>,fun-expressions.lox,,,75455300.0,ns,8613
Lexer,Rc<str>,fun-expressions.lox,,,75757600.0,ns,8712
Lexer,Rc<str>,fun-expressions.lox,,,76751200.0,ns,8811
Lexer,Rc<str>,fun-expressions.lox,,,77912800.0,ns,8910
Lexer,Rc<str>,fun-expressions.lox,,,78400100.0,ns,9009
Lexer,Rc<str>,fun-expressions.lox,,,79480700.0,ns,9108
Lexer,Rc<str>,fun-expressions.lox,,,80974900.0,ns,9207
Lexer,Rc<str>,fun-expressions.lox,,,81169700.0,ns,9306
Lexer,Rc<str>,fun-expressions.lox,,,82298300.0,ns,9405
Lexer,Rc<str>,fun-expressions.lox,,,83334500.0,ns,9504
Lexer,Rc<str>,fun-expressions.lox,,,83522600.0,ns,9603
Lexer,Rc<str>,fun-expressions.lox,,,84141800.0,ns,9702
Lexer,Rc<str>,fun-expressions.lox,,,85901500.0,ns,9801
Lexer,Rc<str>,fun-expressions.lox,,,86348200.0,ns,9900
