group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,Rc<str>,linked-list.lox,,,1051400.0,ns,11
Lexer,Rc<str>,linked-list.lox,,,1877500.0,ns,22
Lexer,Rc<str>,linked-list.lox,,,2773500.0,ns,33
Lexer,Rc<str>,linked-list.lox,,,3789200.0,ns,44
Lexer,Rc<str>,linked-list.lox,,,4721500.0,ns,55
Lexer,Rc<str>,linked-list.lox,,,5687300.0,ns,66
Lexer,Rc<str>,linked-list.lox,,,6640200.0,ns,77
Lexer,Rc<str>,linked-list.lox,,,8712700.0,ns,88
Lexer,Rc<str>,linked-list.lox,,,11693300.0,ns,99
Lexer,Rc<str>,linked-list.lox,,,10000000.0,ns,110
Lexer,Rc<str>,linked-list.lox,,,10760900.0,ns,121
Lexer,Rc<str>,linked-list.lox,,,11754600.0,ns,132
Lexer,Rc<str>,linked-list.lox,,,12525400.0,ns,143
Lexer,Rc<str>,linked-list.lox,,,13409000.0,ns,154
Lexer,Rc<str>,linked-list.lox,,,14394700.0,ns,165
Lexer,Rc<str>,linked-list.lox,,,15161200.0,ns,176
Lexer,Rc<str>,linked-list.lox,,,16103600.0,ns,187
Lexer,Rc<str>,linked-list.lox,,,17134000.0,ns,198
Lexer,Rc<str>,linked-list.lox,,,18067800.0,ns,209
Lexer,Rc<str>,linked-list.lox,,,18973600.0,ns,220
Lexer,Rc<str>,linked-list.lox,,,19949700.0,ns,231
Lexer,Rc<str>,linked-list.lox,,,20995300.0,ns,242
Lexer,Rc<str>,linked-list.lox,,,21855800.0,ns,253
Lexer,Rc<str>,linked-list.lox,,,22887100.0,ns,264
Lexer,Rc<str>,linked-list.lox,,,23823800.0,ns,275
Lexer,Rc<str>,linked-list.lox,,,24617000.0,ns,286
Lexer,Rc<str>,linked-list.lox,,,25581300.0,ns,297
Lexer,Rc<str>,linked-list.lox,,,26280500.0,ns,308
Lexer,Rc<str>,linked-list.lox,,,27351200.0,ns,319
Lexer,Rc<str>,linked-list.lox,,,28407000.0,ns,330
Lexer,Rc<str>,linked-list.lox,,,29195200.0,ns,341
Lexer,Rc<str>,linked-list.lox,,,29989700.0,ns,352
Lexer,Rc<str>,linked-list.lox,,,31099300.0,ns,363
Lexer,Rc<str>,linked-list.lox,,,32105800.0,ns,374
Lexer,Rc<str>,linked-list.lox,,,32701800.0,ns,385
Lexer,Rc<str>,linked-list.lox,,,33796400.0,ns,396
Lexer,Rc<str>,linked-list.lox,,,35027200.0,ns,407
Lexer,Rc<str>,linked-list.lox,,,35950400.0,ns,418
Lexer,Rc<str>,linked-list.lox,,,36606800.0,ns,429
Lexer,Rc<str>,linked-list.lox,,,37695400.0,ns,440
Lexer,Rc<str>,linked-list.lox,,,38775600.0,ns,451
Lexer,Rc<str>,linked-list.lox,,,39503300.0,ns,462
Lexer,Rc<str>,linked-list.lox,,,40496800.0,ns,473
Lexer,Rc<str>,linked-list.lox,,,41467200.0,ns,484
Lexer,Rc<str>,linked-list.lox,,,42328900.0,ns,495
Lexer,Rc<str>,linked-list.lox,,,43484000.0,ns,506
Lexer,Rc<str>,linked-list.lox,,,44715900.0,ns,517
Lexer,Rc<str>,linked-list.lox,,,45400300.0,ns,528
Lexer,Rc<str>,linked-list.lox,,,46158500.0,ns,539
Lexer,Rc<str>,linked-list.lox,,,47599000.0,ns,550
Lexer,Rc<str>,linked-list.lox,,,47727600.0,ns,561
Lexer,Rc<str>,linked-list.lox,,,48800300.0,ns,572
Lexer,Rc<str>,linked-list.lox,,,49578200.0,ns,583
Lexer,Rc<str>,linked-list.lox,,,50631000.0,ns,594
Lexer,Rc<str>,linked-list.lox,,,51394300.0,ns,605
Lexer,Rc<str>,linked-list.lox,,,52517400.0,ns,616
Lexer,Rc<str>,linked-list.lox,,,53606300.0,ns,627
Lexer,Rc<str>,linked-list.lox,,,54832500.0,ns,638
Lexer,Rc<str>,linked-list.lox,,,55717300.0,ns,649
Lexer,Rc<str>,linked-list.lox,,,56271300.0,ns,660
Lexer,Rc<str>,linked-list.lox,,,57090900.0,ns,671
Lexer,Rc<str>,linked-list.lox,,,58285500.0,ns,682
Lexer,Rc<str>,linked-list.lox,,,58997500.0,ns,693
Lexer,Rc<str>,linked-list.lox,,,59876000.0,ns,704
Lexer,Rc<str>,linked-list.lox,,,62778800.0,ns,715
Lexer,Rc<str>,linked-list.lox,,,62983300.0,ns,726
Lexer,Rc<str>,linked-list.lox,,,63112100.0,ns,737
Lexer,Rc<str>,linked-list.lox,,,63680800.0,ns,748
Lexer,Rc<str>,linked-list.lox,,,64758900.0,ns,759
Lexer,Rc<str>,linked-list.lox,,,65474000.0,ns,770
Lexer,Rc<str>,linked-list.lox,,,66632100.0,ns,781
Lexer,Rc<str>,linked-list.lox,,,67504700.0,ns,792
Lexer,Rc<str>,linked-list.lox,,,69093800.0,ns,803
Lexer,Rc<str>,linked-list.lox,,,69843700.0,ns,814
Lexer,Rc<str>,linked-list.lox,,,70374900.0,ns,825
Lexer,Rc<str>,linked-list.lox,,,71449500.0,ns,836
Lexer,Rc<str>,linked-list.lox,,,72538200.0,ns,847
Lexer,Rc<str>,linked-list.lox,,,72926700.0,ns,858
Lexer,Rc<str>,linked-list.lox,,,74906800.0,ns,869
Lexer,Rc<str>,linked-list.lox,,,76462800.0,ns,880
Lexer,Rc<str>,linked-list.lox,,,76530700.0,ns,891
Lexer,Rc<str>,linked-list.lox,,,77159200.0,ns,902
Lexer,Rc<str>,linked-list.lox,,,77916500.0,ns,913
Lexer,Rc<str>,linked-list.lox,,,78874100.0,ns,924
Lexer,Rc<str>,linked-list.lox,,,80071600.0,ns,935
Lexer,Rc<str>,linked-list.lox,,,82011200.0,ns,946
Lexer,Rc<str>,linked-list.lox,,,82504100.0,ns,957
Lexer,Rc<str>,linked-list.lox,,,82668600.0,ns,968
Lexer,Rc<str>,linked-list.lox,,,83545400.0,ns,979
Lexer,Rc<str>,linked-list.lox,,,85072500.0,ns,990
Lexer,Rc<str>,linked-list.lox,,,85957900.0,ns,1001
Lexer,Rc<str>,linked-list.lox,,,87601600.0,ns,1012
Lexer,Rc<str>,linked-list.lox,,,88625300.0,ns,1023
Lexer,Rc<str>,linked-list.lox,,,88872500.0,ns,1034
Lexer,Rc<str>,linked-list.lox,,,89498200.0,ns,1045
Lexer,Rc<str>,linked-list.lox,,,89895600.0,ns,1056
Lexer,Rc<str>,linked-list.lox,,,91595000.0,ns,1067
Lexer,Rc<str>,linked-list.lox,,,92410900.0,ns,1078
Lexer,Rc<str>,linked-list.lox,,,92743100.0,ns,1089
Lexer,Rc<str>,linked-list.lox,,,93256800.0,ns,1100
