group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,&'a str,fizzbuzz1.lox,,,1086200.0,ns,17
Parser,&'a str,fizzbuzz1.lox,,,1807300.0,ns,34
Parser,&'a str,fizzbuzz1.lox,,,2691400.0,ns,51
Parser,&'a str,fizzbuzz1.lox,,,3658500.0,ns,68
Parser,&'a str,fizzbuzz1.lox,,,4642700.0,ns,85
Parser,&'a str,fizzbuzz1.lox,,,5567900.0,ns,102
Parser,&'a str,fizzbuzz1.lox,,,6507200.0,ns,119
Parser,&'a str,fizzbuzz1.lox,,,7404700.0,ns,136
Parser,&'a str,fizzbuzz1.lox,,,8519200.0,ns,153
Parser,&'a str,fizzbuzz1.lox,,,9217900.0,ns,170
Parser,&'a str,fizzbuzz1.lox,,,10191400.0,ns,187
Parser,&'a str,fizzbuzz1.lox,,,11106200.0,ns,204
Parser,&'a str,fizzbuzz1.lox,,,12102700.0,ns,221
Parser,&'a str,fizzbuzz1.lox,,,13027900.0,ns,238
Parser,&'a str,fizzbuzz1.lox,,,13914100.0,ns,255
Parser,&'a str,fizzbuzz1.lox,,,14733200.0,ns,272
Parser,&'a str,fizzbuzz1.lox,,,15597800.0,ns,289
Parser,&'a str,fizzbuzz1.lox,,,16552600.0,ns,306
Parser,&'a str,fizzbuzz1.lox,,,17745600.0,ns,323
Parser,&'a str,fizzbuzz1.lox,,,18409300.0,ns,340
Parser,&'a str,fizzbuzz1.lox,,,19344900.0,ns,357
Parser,&'a str,fizzbuzz1.lox,,,20411700.0,ns,374
Parser,&'a str,fizzbuzz1.lox,,,21038200.0,ns,391
Parser,&'a str,fizzbuzz1.lox,,,21925200.0,ns,408
Parser,&'a str,fizzbuzz1.lox,,,23117300.0,ns,425
Parser,&'a str,fizzbuzz1.lox,,,24215900.0,ns,442
Parser,&'a str,fizzbuzz1.lox,,,24938500.0,ns,459
Parser,&'a str,fizzbuzz1.lox,,,25671500.0,ns,476
Parser,&'a str,fizzbuzz1.lox,,,26518400.0,ns,493
Parser,&'a str,fizzbuzz1.lox,,,27572100.0,ns,510
Parser,&'a str,fizzbuzz1.lox,,,31632000.0,ns,527
Parser,&'a str,fizzbuzz1.lox,,,29382500.0,ns,544
Parser,&'a str,fizzbuzz1.lox,,,30145500.0,ns,561
Parser,&'a str,fizzbuzz1.lox,,,31167000.0,ns,578
Parser,&'a str,fizzbuzz1.lox,,,32011300.0,ns,595
Parser,&'a str,fizzbuzz1.lox,,,33135900.0,ns,612
Parser,&'a str,fizzbuzz1.lox,,,33641600.0,ns,629
Parser,&'a str,fizzbuzz1.lox,,,34716100.0,ns,646
Parser,&'a str,fizzbuzz1.lox,,,35518300.0,ns,663
Parser,&'a str,fizzbuzz1.lox,,,35721300.0,ns,680
Parser,&'a str,fizzbuzz1.lox,,,36567300.0,ns,697
Parser,&'a str,fizzbuzz1.lox,,,37414900.0,ns,714
Parser,&'a str,fizzbuzz1.lox,,,38369600.0,ns,731
Parser,&'a str,fizzbuzz1.lox,,,39430700.0,ns,748
Parser,&'a str,fizzbuzz1.lox,,,40183800.0,ns,765
Parser,&'a str,fizzbuzz1.lox,,,41149600.0,ns,782
Parser,&'a str,fizzbuzz1.lox,,,41880900.0,ns,799
Parser,&'a str,fizzbuzz1.lox,,,43248800.0,ns,816
Parser,&'a str,fizzbuzz1.lox,,,44431200.0,ns,833
Parser,&'a str,fizzbuzz1.lox,,,44815500.0,ns,850
Parser,&'a str,fizzbuzz1.lox,,,45336100.0,ns,867
Parser,&'a str,fizzbuzz1.lox,,,46313600.0,ns,884
Parser,&'a str,fizzbuzz1.lox,,,47177300.0,ns,901
Parser,&'a str,fizzbuzz1.lox,,,48137500.0,ns,918
Parser,&'a str,fizzbuzz1.lox,,,49010900.0,ns,935
Parser,&'a str,fizzbuzz1.lox,,,50824400.0,ns,952
Parser,&'a str,fizzbuzz1.lox,,,51361700.0,ns,969
Parser,&'a str,fizzbuzz1.lox,,,52610700.0,ns,986
Parser,&'a str,fizzbuzz1.lox,,,54132900.0,ns,1003
Parser,&'a str,fizzbuzz1.lox,,,54830100.0,ns,1020
Parser,&'a str,fizzbuzz1.lox,,,55710600.0,ns,1037
Parser,&'a str,fizzbuzz1.lox,,,56484500.0,ns,1054
Parser,&'a str,fizzbuzz1.lox,,,57425700.0,ns,1071
Parser,&'a str,fizzbuzz1.lox,,,58195300.0,ns,1088
Parser,&'a str,fizzbuzz1.lox,,,59839700.0,ns,1105
Parser,&'a str,fizzbuzz1.lox,,,60394000.0,ns,1122
Parser,&'a str,fizzbuzz1.lox,,,61152800.0,ns,1139
Parser,&'a str,fizzbuzz1.lox,,,61683300.0,ns,1156
Parser,&'a str,fizzbuzz1.lox,,,62533200.0,ns,1173
