group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,&'a str,fun-expressions.lox,,,882400.0,ns,54
Parser,&'a str,fun-expressions.lox,,,1674800.0,ns,108
Parser,&'a str,fun-expressions.lox,,,2560000.0,ns,162
Parser,&'a str,fun-expressions.lox,,,3366400.0,ns,216
Parser,&'a str,fun-expressions.lox,,,4239100.0,ns,270
Parser,&'a str,fun-expressions.lox,,,5080100.0,ns,324
Parser,&'a str,fun-expressions.lox,,,5949200.0,ns,378
Parser,&'a str,fun-expressions.lox,,,6730600.0,ns,432
Parser,&'a str,fun-expressions.lox,,,7658700.0,ns,486
Parser,&'a str,fun-expressions.lox,,,8443200.0,ns,540
Parser,&'a str,fun-expressions.lox,,,9304600.0,ns,594
Parser,&'a str,fun-expressions.lox,,,10144100.0,ns,648
Parser,&'a str,fun-expressions.lox,,,11100400.0,ns,702
Parser,&'a str,fun-expressions.lox,,,11963200.0,ns,756
Parser,&'a str,fun-expressions.lox,,,12817400.0,ns,810
Parser,&'a str,fun-expressions.lox,,,13679900.0,ns,864
Parser,&'a str,fun-expressions.lox,,,14509800.0,ns,918
Parser,&'a str,fun-expressions.lox,,,15335200.0,ns,972
Parser,&'a str,fun-expressions.lox,,,16336400.0,ns,1026
Parser,&'a str,fun-expressions.lox,,,17104800.0,ns,1080
Parser,&'a str,fun-expressions.lox,,,17923800.0,ns,1134
Parser,&'a str,fun-expressions.lox,,,18859900.0,ns,1188
Parser,&'a str,fun-expressions.lox,,,19671600.0,ns,1242
Parser,&'a str,fun-expressions.lox,,,20458900.0,ns,1296
Parser,&'a str,fun-expressions.lox,,,21349000.0,ns,1350
Parser,&'a str,fun-expressions.lox,,,22207500.0,ns,1404
Parser,&'a str,fun-expressions.lox,,,23159500.0,ns,1458
Parser,&'a str,fun-expressions.lox,,,24033400.0,ns,1512
Parser,&'a str,fun-expressions.lox,,,26846300.0,ns,1566
Parser,&'a str,fun-expressions.lox,,,28046700.0,ns,1620
Parser,&'a str,fun-expressions.lox,,,26218400.0,ns,1674
