group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,Rc<str>,fizzbuzz1.lox,,,1073800.0,ns,17
Parser,Rc<str>,fizzbuzz1.lox,,,1926300.0,ns,34
Parser,Rc<str>,fizzbuzz1.lox,,,2802200.0,ns,51
Parser,Rc<str>,fizzbuzz1.lox,,,3702800.0,ns,68
Parser,Rc<str>,fizzbuzz1.lox,,,4603700.0,ns,85
Parser,Rc<str>,fizzbuzz1.lox,,,5582400.0,ns,102
Parser,Rc<str>,fizzbuzz1.lox,,,6684900.0,ns,119
Parser,Rc<str>,fizzbuzz1.lox,,,7658800.0,ns,136
Parser,Rc<str>,fizzbuzz1.lox,,,8410600.0,ns,153
Parser,Rc<str>,fizzbuzz1.lox,,,9475300.0,ns,170
Parser,Rc<str>,fizzbuzz1.lox,,,10202500.0,ns,187
Parser,Rc<str>,fizzbuzz1.lox,,,11330000.0,ns,204
Parser,Rc<str>,fizzbuzz1.lox,,,11928100.0,ns,221
Parser,Rc<str>,fizzbuzz1.lox,,,13330000.0,ns,238
Parser,Rc<str>,fizzbuzz1.lox,,,14059000.0,ns,255
Parser,Rc<str>,fizzbuzz1.lox,,,14812400.0,ns,272
Parser,Rc<str>,fizzbuzz1.lox,,,15726400.0,ns,289
Parser,Rc<str>,fizzbuzz1.lox,,,16730300.0,ns,306
Parser,Rc<str>,fizzbuzz1.lox,,,17380000.0,ns,323
Parser,Rc<str>,fizzbuzz1.lox,,,18176500.0,ns,340
Parser,Rc<str>,fizzbuzz1.lox,,,19188900.0,ns,357
Parser,Rc<str>,fizzbuzz1.lox,,,20342400.0,ns,374
Parser,Rc<str>,fizzbuzz1.lox,,,20988000.0,ns,391
Parser,Rc<str>,fizzbuzz1.lox,,,21899000.0,ns,408
Parser,Rc<str>,fizzbuzz1.lox,,,22969100.0,ns,425
Parser,Rc<str>,fizzbuzz1.lox,,,23660600.0,ns,442
Parser,Rc<str>,fizzbuzz1.lox,,,24550300.0,ns,459
Parser,Rc<str>,fizzbuzz1.lox,,,25873000.0,ns,476
Parser,Rc<str>,fizzbuzz1.lox,,,26758000.0,ns,493
Parser,Rc<str>,fizzbuzz1.lox,,,27705300.0,ns,510
Parser,Rc<str>,fizzbuzz1.lox,,,28373700.0,ns,527
Parser,Rc<str>,fizzbuzz1.lox,,,29311800.0,ns,544
Parser,Rc<str>,fizzbuzz1.lox,,,29907900.0,ns,561
Parser,Rc<str>,fizzbuzz1.lox,,,30933900.0,ns,578
Parser,Rc<str>,fizzbuzz1.lox,,,31353400.0,ns,595
Parser,Rc<str>,fizzbuzz1.lox,,,32538600.0,ns,612
Parser,Rc<str>,fizzbuzz1.lox,,,33579600.0,ns,629
Parser,Rc<str>,fizzbuzz1.lox,,,34627700.0,ns,646
Parser,Rc<str>,fizzbuzz1.lox,,,36917200.0,ns,663
Parser,Rc<str>,fizzbuzz1.lox,,,37008800.0,ns,680
Parser,Rc<str>,fizzbuzz1.lox,,,37829500.0,ns,697
Parser,Rc<str>,fizzbuzz1.lox,,,38307100.0,ns,714
Parser,Rc<str>,fizzbuzz1.lox,,,39694800.0,ns,731
Parser,Rc<str>,fizzbuzz1.lox,,,40625000.0,ns,748
Parser,Rc<str>,fizzbuzz1.lox,,,41265100.0,ns,765
Parser,Rc<str>,fizzbuzz1.lox,,,42400400.0,ns,782
Parser,Rc<str>,fizzbuzz1.lox,,,42850400.0,ns,799
Parser,Rc<str>,fizzbuzz1.lox,,,44196300.0,ns,816
Parser,Rc<str>,fizzbuzz1.lox,,,45893800.0,ns,833
Parser,Rc<str>,fizzbuzz1.lox,,,46468300.0,ns,850
Parser,Rc<str>,fizzbuzz1.lox,,,47414200.0,ns,867
Parser,Rc<str>,fizzbuzz1.lox,,,47721700.0,ns,884
Parser,Rc<str>,fizzbuzz1.lox,,,49097500.0,ns,901
Parser,Rc<str>,fizzbuzz1.lox,,,49691500.0,ns,918
Parser,Rc<str>,fizzbuzz1.lox,,,50625000.0,ns,935
Parser,Rc<str>,fizzbuzz1.lox,,,51470900.0,ns,952
Parser,Rc<str>,fizzbuzz1.lox,,,51470200.0,ns,969
Parser,Rc<str>,fizzbuzz1.lox,,,52687700.0,ns,986
Parser,Rc<str>,fizzbuzz1.lox,,,53454100.0,ns,1003
Parser,Rc<str>,fizzbuzz1.lox,,,54499900.0,ns,1020
Parser,Rc<str>,fizzbuzz1.lox,,,55751000.0,ns,1037
Parser,Rc<str>,fizzbuzz1.lox,,,56091000.0,ns,1054
Parser,Rc<str>,fizzbuzz1.lox,,,57118700.0,ns,1071
Parser,Rc<str>,fizzbuzz1.lox,,,58120400.0,ns,1088
Parser,Rc<str>,fizzbuzz1.lox,,,58731700.0,ns,1105
Parser,Rc<str>,fizzbuzz1.lox,,,59120300.0,ns,1122
Parser,Rc<str>,fizzbuzz1.lox,,,60344500.0,ns,1139
Parser,Rc<str>,fizzbuzz1.lox,,,61291700.0,ns,1156
Parser,Rc<str>,fizzbuzz1.lox,,,62351000.0,ns,1173
Parser,Rc<str>,fizzbuzz1.lox,,,63074200.0,ns,1190
Parser,Rc<str>,fizzbuzz1.lox,,,64175500.0,ns,1207
Parser,Rc<str>,fizzbuzz1.lox,,,65362100.0,ns,1224
Parser,Rc<str>,fizzbuzz1.lox,,,66927300.0,ns,1241
Parser,Rc<str>,fizzbuzz1.lox,,,67220400.0,ns,1258
Parser,Rc<str>,fizzbuzz1.lox,,,68202700.0,ns,1275
Parser,Rc<str>,fizzbuzz1.lox,,,68923400.0,ns,1292
Parser,Rc<str>,fizzbuzz1.lox,,,69654300.0,ns,1309
Parser,Rc<str>,fizzbuzz1.lox,,,70783600.0,ns,1326
Parser,Rc<str>,fizzbuzz1.lox,,,71609400.0,ns,1343
Parser,Rc<str>,fizzbuzz1.lox,,,72327600.0,ns,1360
Parser,Rc<str>,fizzbuzz1.lox,,,73713200.0,ns,1377
Parser,Rc<str>,fizzbuzz1.lox,,,74549800.0,ns,1394
Parser,Rc<str>,fizzbuzz1.lox,,,75096500.0,ns,1411
Parser,Rc<str>,fizzbuzz1.lox,,,76296300.0,ns,1428
Parser,Rc<str>,fizzbuzz1.lox,,,77206000.0,ns,1445
Parser,Rc<str>,fizzbuzz1.lox,,,77206100.0,ns,1462
Parser,Rc<str>,fizzbuzz1.lox,,,83124200.0,ns,1479
Parser,Rc<str>,fizzbuzz1.lox,,,82037900.0,ns,1496
Parser,Rc<str>,fizzbuzz1.lox,,,83198400.0,ns,1513
Parser,Rc<str>,fizzbuzz1.lox,,,83405000.0,ns,1530
Parser,Rc<str>,fizzbuzz1.lox,,,84873600.0,ns,1547
Parser,Rc<str>,fizzbuzz1.lox,,,84975300.0,ns,1564
Parser,Rc<str>,fizzbuzz1.lox,,,84988100.0,ns,1581
Parser,Rc<str>,fizzbuzz1.lox,,,86240100.0,ns,1598
Parser,Rc<str>,fizzbuzz1.lox,,,87510600.0,ns,1615
Parser,Rc<str>,fizzbuzz1.lox,,,87689700.0,ns,1632
Parser,Rc<str>,fizzbuzz1.lox,,,88825900.0,ns,1649
Parser,Rc<str>,fizzbuzz1.lox,,,90262500.0,ns,1666
Parser,Rc<str>,fizzbuzz1.lox,,,90729200.0,ns,1683
Parser,Rc<str>,fizzbuzz1.lox,,,101665400.0,ns,1700
