group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,Rc<str>,fun-expressions.lox,,,845600.0,ns,52
Parser,Rc<str>,fun-expressions.lox,,,1700000.0,ns,104
Parser,Rc<str>,fun-expressions.lox,,,2479900.0,ns,156
Parser,Rc<str>,fun-expressions.lox,,,3365900.0,ns,208
Parser,Rc<str>,fun-expressions.lox,,,4266500.0,ns,260
Parser,Rc<str>,fun-expressions.lox,,,5062800.0,ns,312
Parser,Rc<str>,fun-expressions.lox,,,5948900.0,ns,364
Parser,Rc<str>,fun-expressions.lox,,,7062800.0,ns,416
Parser,Rc<str>,fun-expressions.lox,,,7674900.0,ns,468
Parser,Rc<str>,fun-expressions.lox,,,8501500.0,ns,520
Parser,Rc<str>,fun-expressions.lox,,,9449300.0,ns,572
Parser,Rc<str>,fun-expressions.lox,,,10437100.0,ns,624
Parser,Rc<str>,fun-expressions.lox,,,11191900.0,ns,676
Parser,Rc<str>,fun-expressions.lox,,,12142100.0,ns,728
Parser,Rc<str>,fun-expressions.lox,,,12649000.0,ns,780
Parser,Rc<str>,fun-expressions.lox,,,13467100.0,ns,832
Parser,Rc<str>,fun-expressions.lox,,,14408000.0,ns,884
Parser,Rc<str>,fun-expressions.lox,,,15086600.0,ns,936
Parser,Rc<str>,fun-expressions.lox,,,16077600.0,ns,988
Parser,Rc<str>,fun-expressions.lox,,,16755100.0,ns,1040
Parser,Rc<str>,fun-expressions.lox,,,17687700.0,ns,1092
Parser,Rc<str>,fun-expressions.lox,,,18638900.0,ns,1144
Parser,Rc<str>,fun-expressions.lox,,,19438100.0,ns,1196
Parser,Rc<str>,fun-expressions.lox,,,19974700.0,ns,1248
Parser,Rc<str>,fun-expressions.lox,,,20861900.0,ns,1300
Parser,Rc<str>,fun-expressions.lox,,,21827100.0,ns,1352
Parser,Rc<str>,fun-expressions.lox,,,22424500.0,ns,1404
Parser,Rc<str>,fun-expressions.lox,,,23504000.0,ns,1456
Parser,Rc<str>,fun-expressions.lox,,,24158900.0,ns,1508
Parser,Rc<str>,fun-expressions.lox,,,24933300.0,ns,1560
Parser,Rc<str>,fun-expressions.lox,,,26534000.0,ns,1612
Parser,Rc<str>,fun-expressions.lox,,,26656600.0,ns,1664
Parser,Rc<str>,fun-expressions.lox,,,27525900.0,ns,1716
Parser,Rc<str>,fun-expressions.lox,,,28191000.0,ns,1768
Parser,Rc<str>,fun-expressions.lox,,,29418200.0,ns,1820
Parser,Rc<str>,fun-expressions.lox,,,30544400.0,ns,1872
Parser,Rc<str>,fun-expressions.lox,,,31081900.0,ns,1924
Parser,Rc<str>,fun-expressions.lox,,,31434900.0,ns,1976
Parser,Rc<str>,fun-expressions.lox,,,32461300.0,ns,2028
Parser,Rc<str>,fun-expressions.lox,,,33252500.0,ns,2080
Parser,Rc<str>,fun-expressions.lox,,,34213900.0,ns,2132
Parser,Rc<str>,fun-expressions.lox,,,35022800.0,ns,2184
Parser,Rc<str>,fun-expressions.lox,,,35745500.0,ns,2236
Parser,Rc<str>,fun-expressions.lox,,,36209500.0,ns,2288
Parser,Rc<str>,fun-expressions.lox,,,37191200.0,ns,2340
Parser,Rc<str>,fun-expressions.lox,,,41474500.0,ns,2392
Parser,Rc<str>,fun-expressions.lox,,,39241300.0,ns,2444
Parser,Rc<str>,fun-expressions.lox,,,40037100.0,ns,2496
Parser,Rc<str>,fun-expressions.lox,,,40592500.0,ns,2548
Parser,Rc<str>,fun-expressions.lox,,,41514900.0,ns,2600
Parser,Rc<str>,fun-expressions.lox,,,42378100.0,ns,2652
Parser,Rc<str>,fun-expressions.lox,,,43420800.0,ns,2704
Parser,Rc<str>,fun-expressions.lox,,,44266800.0,ns,2756
Parser,Rc<str>,fun-expressions.lox,,,45210500.0,ns,2808
Parser,Rc<str>,fun-expressions.lox,,,45908600.0,ns,2860
Parser,Rc<str>,fun-expressions.lox,,,46826700.0,ns,2912
Parser,Rc<str>,fun-expressions.lox,,,47206600.0,ns,2964
Parser,Rc<str>,fun-expressions.lox,,,48492300.0,ns,3016
Parser,Rc<str>,fun-expressions.lox,,,49438400.0,ns,3068
Parser,Rc<str>,fun-expressions.lox,,,50182800.0,ns,3120
Parser,Rc<str>,fun-expressions.lox,,,51292800.0,ns,3172
Parser,Rc<str>,fun-expressions.lox,,,50869900.0,ns,3224
Parser,Rc<str>,fun-expressions.lox,,,52176300.0,ns,3276
Parser,Rc<str>,fun-expressions.lox,,,52818600.0,ns,3328
Parser,Rc<str>,fun-expressions.lox,,,53479200.0,ns,3380
Parser,Rc<str>,fun-expressions.lox,,,54266900.0,ns,3432
Parser,Rc<str>,fun-expressions.lox,,,55003100.0,ns,3484
Parser,Rc<str>,fun-expressions.lox,,,56008000.0,ns,3536
Parser,Rc<str>,fun-expressions.lox,,,56932000.0,ns,3588
Parser,Rc<str>,fun-expressions.lox,,,57473500.0,ns,3640
Parser,Rc<str>,fun-expressions.lox,,,58095200.0,ns,3692
Parser,Rc<str>,fun-expressions.lox,,,59085600.0,ns,3744
Parser,Rc<str>,fun-expressions.lox,,,59690800.0,ns,3796
Parser,Rc<str>,fun-expressions.lox,,,60901100.0,ns,3848
Parser,Rc<str>,fun-expressions.lox,,,61618500.0,ns,3900
Parser,Rc<str>,fun-expressions.lox,,,60865200.0,ns,3952
Parser,Rc<str>,fun-expressions.lox,,,62166100.0,ns,4004
Parser,Rc<str>,fun-expressions.lox,,,63164100.0,ns,4056
Parser,Rc<str>,fun-expressions.lox,,,63838700.0,ns,4108
Parser,Rc<str>,fun-expressions.lox,,,64486800.0,ns,4160
Parser,Rc<str>,fun-expressions.lox,,,65972300.0,ns,4212
Parser,Rc<str>,fun-expressions.lox,,,66520200.0,ns,4264
Parser,Rc<str>,fun-expressions.lox,,,67494100.0,ns,4316
Parser,Rc<str>,fun-expressions.lox,,,67882900.0,ns,4368
Parser,Rc<str>,fun-expressions.lox,,,68340600.0,ns,4420
Parser,Rc<str>,fun-expressions.lox,,,69041700.0,ns,4472
Parser,Rc<str>,fun-expressions.lox,,,69771500.0,ns,4524
Parser,Rc<str>,fun-expressions.lox,,,72025300.0,ns,4576
Parser,Rc<str>,fun-expressions.lox,,,72406100.0,ns,4628
Parser,Rc<str>,fun-expressions.lox,,,72957900.0,ns,4680
Parser,Rc<str>,fun-expressions.lox,,,73782400.0,ns,4732
Parser,Rc<str>,fun-expressions.lox,,,74776600.0,ns,4784
Parser,Rc<str>,fun-expressions.lox,,,75679300.0,ns,4836
Parser,Rc<str>,fun-expressions.lox,,,75792000.0,ns,4888
Parser,Rc<str>,fun-expressions.lox,,,76562700.0,ns,4940
Parser,Rc<str>,fun-expressions.lox,,,81989400.0,ns,4992
Parser,Rc<str>,fun-expressions.lox,,,78226600.0,ns,5044
Parser,Rc<str>,fun-expressions.lox,,,78923300.0,ns,5096
Parser,Rc<str>,fun-expressions.lox,,,79992300.0,ns,5148
Parser,Rc<str>,fun-expressions.lox,,,80502700.0,ns,5200
