group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parser,Rc<str>,fun.lox,,,885000.0,ns,19
Parser,Rc<str>,fun.lox,,,1758700.0,ns,38
Parser,Rc<str>,fun.lox,,,2667900.0,ns,57
Parser,Rc<str>,fun.lox,,,3593600.0,ns,76
Parser,Rc<str>,fun.lox,,,4554500.0,ns,95
Parser,Rc<str>,fun.lox,,,5460600.0,ns,114
Parser,Rc<str>,fun.lox,,,6534900.0,ns,133
Parser,Rc<str>,fun.lox,,,7524000.0,ns,152
Parser,Rc<str>,fun.lox,,,8261200.0,ns,171
Parser,Rc<str>,fun.lox,,,9151900.0,ns,190
Parser,Rc<str>,fun.lox,,,10153900.0,ns,209
Parser,Rc<str>,fun.lox,,,10933000.0,ns,228
Parser,Rc<str>,fun.lox,,,11922500.0,ns,247
Parser,Rc<str>,fun.lox,,,13237600.0,ns,266
Parser,Rc<str>,fun.lox,,,13838700.0,ns,285
Parser,Rc<str>,fun.lox,,,14666800.0,ns,304
Parser,Rc<str>,fun.lox,,,15532600.0,ns,323
Parser,Rc<str>,fun.lox,,,16681900.0,ns,342
Parser,Rc<str>,fun.lox,,,17405600.0,ns,361
Parser,Rc<str>,fun.lox,,,18010300.0,ns,380
Parser,Rc<str>,fun.lox,,,19277400.0,ns,399
Parser,Rc<str>,fun.lox,,,20206200.0,ns,418
Parser,Rc<str>,fun.lox,,,20652700.0,ns,437
Parser,Rc<str>,fun.lox,,,21496700.0,ns,456
Parser,Rc<str>,fun.lox,,,22743600.0,ns,475
Parser,Rc<str>,fun.lox,,,23131500.0,ns,494
Parser,Rc<str>,fun.lox,,,24463700.0,ns,513
Parser,Rc<str>,fun.lox,,,25128400.0,ns,532
Parser,Rc<str>,fun.lox,,,25997400.0,ns,551
Parser,Rc<str>,fun.lox,,,27036000.0,ns,570
Parser,Rc<str>,fun.lox,,,27860800.0,ns,589
Parser,Rc<str>,fun.lox,,,28718800.0,ns,608
Parser,Rc<str>,fun.lox,,,30345000.0,ns,627
Parser,Rc<str>,fun.lox,,,31342900.0,ns,646
Parser,Rc<str>,fun.lox,,,31710200.0,ns,665
Parser,Rc<str>,fun.lox,,,32664000.0,ns,684
Parser,Rc<str>,fun.lox,,,33160100.0,ns,703
Parser,Rc<str>,fun.lox,,,34345000.0,ns,722
Parser,Rc<str>,fun.lox,,,34839300.0,ns,741
Parser,Rc<str>,fun.lox,,,36004500.0,ns,760
Parser,Rc<str>,fun.lox,,,36622600.0,ns,779
Parser,Rc<str>,fun.lox,,,37933400.0,ns,798
Parser,Rc<str>,fun.lox,,,39090200.0,ns,817
Parser,Rc<str>,fun.lox,,,39283700.0,ns,836
Parser,Rc<str>,fun.lox,,,40296000.0,ns,855
Parser,Rc<str>,fun.lox,,,41193200.0,ns,874
Parser,Rc<str>,fun.lox,,,41499600.0,ns,893
Parser,Rc<str>,fun.lox,,,42907700.0,ns,912
Parser,Rc<str>,fun.lox,,,43468500.0,ns,931
Parser,Rc<str>,fun.lox,,,44656000.0,ns,950
Parser,Rc<str>,fun.lox,,,45825800.0,ns,969
Parser,Rc<str>,fun.lox,,,46805400.0,ns,988
Parser,Rc<str>,fun.lox,,,47419300.0,ns,1007
Parser,Rc<str>,fun.lox,,,47768700.0,ns,1026
Parser,Rc<str>,fun.lox,,,48911100.0,ns,1045
Parser,Rc<str>,fun.lox,,,50077500.0,ns,1064
Parser,Rc<str>,fun.lox,,,50877900.0,ns,1083
Parser,Rc<str>,fun.lox,,,51693000.0,ns,1102
Parser,Rc<str>,fun.lox,,,52643500.0,ns,1121
Parser,Rc<str>,fun.lox,,,53236200.0,ns,1140
Parser,Rc<str>,fun.lox,,,54270100.0,ns,1159
Parser,Rc<str>,fun.lox,,,54862100.0,ns,1178
Parser,Rc<str>,fun.lox,,,55796300.0,ns,1197
Parser,Rc<str>,fun.lox,,,58031900.0,ns,1216
Parser,Rc<str>,fun.lox,,,58314900.0,ns,1235
Parser,Rc<str>,fun.lox,,,58868100.0,ns,1254
Parser,Rc<str>,fun.lox,,,59423000.0,ns,1273
Parser,Rc<str>,fun.lox,,,60456900.0,ns,1292
Parser,Rc<str>,fun.lox,,,61735000.0,ns,1311
Parser,Rc<str>,fun.lox,,,62237000.0,ns,1330
Parser,Rc<str>,fun.lox,,,63310000.0,ns,1349
Parser,Rc<str>,fun.lox,,,64065200.0,ns,1368
Parser,Rc<str>,fun.lox,,,65131000.0,ns,1387
Parser,Rc<str>,fun.lox,,,66447300.0,ns,1406
Parser,Rc<str>,fun.lox,,,66957300.0,ns,1425
Parser,Rc<str>,fun.lox,,,66523200.0,ns,1444
Parser,Rc<str>,fun.lox,,,67351000.0,ns,1463
Parser,Rc<str>,fun.lox,,,68753700.0,ns,1482
Parser,Rc<str>,fun.lox,,,69801400.0,ns,1501
Parser,Rc<str>,fun.lox,,,71610700.0,ns,1520
Parser,Rc<str>,fun.lox,,,71394300.0,ns,1539
Parser,Rc<str>,fun.lox,,,71779600.0,ns,1558
Parser,Rc<str>,fun.lox,,,73195900.0,ns,1577
Parser,Rc<str>,fun.lox,,,74010600.0,ns,1596
Parser,Rc<str>,fun.lox,,,74511100.0,ns,1615
Parser,Rc<str>,fun.lox,,,75517600.0,ns,1634
Parser,Rc<str>,fun.lox,,,77042500.0,ns,1653
Parser,Rc<str>,fun.lox,,,77721700.0,ns,1672
Parser,Rc<str>,fun.lox,,,78540900.0,ns,1691
Parser,Rc<str>,fun.lox,,,79208400.0,ns,1710
Parser,Rc<str>,fun.lox,,,80167400.0,ns,1729
Parser,Rc<str>,fun.lox,,,80717000.0,ns,1748
Parser,Rc<str>,fun.lox,,,82849500.0,ns,1767
Parser,Rc<str>,fun.lox,,,82986800.0,ns,1786
Parser,Rc<str>,fun.lox,,,83714100.0,ns,1805
Parser,Rc<str>,fun.lox,,,84343200.0,ns,1824
Parser,Rc<str>,fun.lox,,,85275600.0,ns,1843
Parser,Rc<str>,fun.lox,,,86329700.0,ns,1862
Parser,Rc<str>,fun.lox,,,87422700.0,ns,1881
Parser,Rc<str>,fun.lox,,,88441800.0,ns,1900
