group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,derived,classes.lox,,,913200.0,ns,23
Lexer,derived,classes.lox,,,1781800.0,ns,46
Lexer,derived,classes.lox,,,2644700.0,ns,69
Lexer,derived,classes.lox,,,3561400.0,ns,92
Lexer,derived,classes.lox,,,4417900.0,ns,115
Lexer,derived,classes.lox,,,5340700.0,ns,138
Lexer,derived,classes.lox,,,6229800.0,ns,161
Lexer,derived,classes.lox,,,7137500.0,ns,184
Lexer,derived,classes.lox,,,7985700.0,ns,207
Lexer,derived,classes.lox,,,8919900.0,ns,230
Lexer,derived,classes.lox,,,9804100.0,ns,253
Lexer,derived,classes.lox,,,11755000.0,ns,276
Lexer,derived,classes.lox,,,13773400.0,ns,299
Lexer,derived,classes.lox,,,12901600.0,ns,322
Lexer,derived,classes.lox,,,13795700.0,ns,345
Lexer,derived,classes.lox,,,14783900.0,ns,368
Lexer,derived,classes.lox,,,15710600.0,ns,391
Lexer,derived,classes.lox,,,16480400.0,ns,414
Lexer,derived,classes.lox,,,17148800.0,ns,437
Lexer,derived,classes.lox,,,18027700.0,ns,460
Lexer,derived,classes.lox,,,18737500.0,ns,483
Lexer,derived,classes.lox,,,19639300.0,ns,506
Lexer,derived,classes.lox,,,20644700.0,ns,529
Lexer,derived,classes.lox,,,21468600.0,ns,552
Lexer,derived,classes.lox,,,22336400.0,ns,575
Lexer,derived,classes.lox,,,23350200.0,ns,598
Lexer,derived,classes.lox,,,24084400.0,ns,621
Lexer,derived,classes.lox,,,25135400.0,ns,644
Lexer,derived,classes.lox,,,26122900.0,ns,667
Lexer,derived,classes.lox,,,26882200.0,ns,690
Lexer,derived,classes.lox,,,27800800.0,ns,713
Lexer,derived,classes.lox,,,28801900.0,ns,736
Lexer,derived,classes.lox,,,29592100.0,ns,759
Lexer,derived,classes.lox,,,30485600.0,ns,782
Lexer,derived,classes.lox,,,31398200.0,ns,805
Lexer,derived,classes.lox,,,32589600.0,ns,828
Lexer,derived,classes.lox,,,33546200.0,ns,851
Lexer,derived,classes.lox,,,34582600.0,ns,874
Lexer,derived,classes.lox,,,35290600.0,ns,897
Lexer,derived,classes.lox,,,36241300.0,ns,920
Lexer,derived,classes.lox,,,37270800.0,ns,943
Lexer,derived,classes.lox,,,37809900.0,ns,966
Lexer,derived,classes.lox,,,38925700.0,ns,989
Lexer,derived,classes.lox,,,40083400.0,ns,1012
Lexer,derived,classes.lox,,,40851700.0,ns,1035
Lexer,derived,classes.lox,,,41590000.0,ns,1058
Lexer,derived,classes.lox,,,42859400.0,ns,1081
Lexer,derived,classes.lox,,,44944400.0,ns,1104
Lexer,derived,classes.lox,,,44447900.0,ns,1127
Lexer,derived,classes.lox,,,45388600.0,ns,1150
Lexer,derived,classes.lox,,,46837300.0,ns,1173
Lexer,derived,classes.lox,,,47298800.0,ns,1196
Lexer,derived,classes.lox,,,48054300.0,ns,1219
Lexer,derived,classes.lox,,,48687700.0,ns,1242
Lexer,derived,classes.lox,,,50026500.0,ns,1265
Lexer,derived,classes.lox,,,50637000.0,ns,1288
Lexer,derived,classes.lox,,,51609000.0,ns,1311
Lexer,derived,classes.lox,,,52414900.0,ns,1334
Lexer,derived,classes.lox,,,55295800.0,ns,1357
Lexer,derived,classes.lox,,,55871500.0,ns,1380
Lexer,derived,classes.lox,,,57018200.0,ns,1403
Lexer,derived,classes.lox,,,57877800.0,ns,1426
Lexer,derived,classes.lox,,,58362600.0,ns,1449
Lexer,derived,classes.lox,,,58975700.0,ns,1472
Lexer,derived,classes.lox,,,59673900.0,ns,1495
Lexer,derived,classes.lox,,,60721900.0,ns,1518
Lexer,derived,classes.lox,,,64743600.0,ns,1541
Lexer,derived,classes.lox,,,62600300.0,ns,1564
Lexer,derived,classes.lox,,,63580200.0,ns,1587
Lexer,derived,classes.lox,,,64161400.0,ns,1610
Lexer,derived,classes.lox,,,64700000.0,ns,1633
Lexer,derived,classes.lox,,,65970400.0,ns,1656
Lexer,derived,classes.lox,,,66506900.0,ns,1679
Lexer,derived,classes.lox,,,67243500.0,ns,1702
Lexer,derived,classes.lox,,,69378200.0,ns,1725
Lexer,derived,classes.lox,,,70271300.0,ns,1748
Lexer,derived,classes.lox,,,70825300.0,ns,1771
Lexer,derived,classes.lox,,,71973400.0,ns,1794
Lexer,derived,classes.lox,,,72721500.0,ns,1817
Lexer,derived,classes.lox,,,73889300.0,ns,1840
Lexer,derived,classes.lox,,,78658800.0,ns,1863
Lexer,derived,classes.lox,,,75563000.0,ns,1886
Lexer,derived,classes.lox,,,76910900.0,ns,1909
Lexer,derived,classes.lox,,,78232000.0,ns,1932
Lexer,derived,classes.lox,,,78533700.0,ns,1955
Lexer,derived,classes.lox,,,79333700.0,ns,1978
Lexer,derived,classes.lox,,,79761500.0,ns,2001
Lexer,derived,classes.lox,,,80951200.0,ns,2024
Lexer,derived,classes.lox,,,82332400.0,ns,2047
Lexer,derived,classes.lox,,,83075700.0,ns,2070
Lexer,derived,classes.lox,,,85534700.0,ns,2093
Lexer,derived,classes.lox,,,85882500.0,ns,2116
Lexer,derived,classes.lox,,,90641700.0,ns,2139
Lexer,derived,classes.lox,,,88226400.0,ns,2162
Lexer,derived,classes.lox,,,90459000.0,ns,2185
Lexer,derived,classes.lox,,,90856000.0,ns,2208
Lexer,derived,classes.lox,,,91929600.0,ns,2231
Lexer,derived,classes.lox,,,91964200.0,ns,2254
Lexer,derived,classes.lox,,,92277000.0,ns,2277
Lexer,derived,classes.lox,,,91454300.0,ns,2300
