group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,derived,counter.lox,,,895400.0,ns,89
Lexer,derived,counter.lox,,,1797100.0,ns,178
Lexer,derived,counter.lox,,,2698700.0,ns,267
Lexer,derived,counter.lox,,,3598700.0,ns,356
Lexer,derived,counter.lox,,,4514800.0,ns,445
Lexer,derived,counter.lox,,,5455800.0,ns,534
Lexer,derived,counter.lox,,,6396600.0,ns,623
Lexer,derived,counter.lox,,,7210400.0,ns,712
Lexer,derived,counter.lox,,,8076700.0,ns,801
Lexer,derived,counter.lox,,,8995300.0,ns,890
Lexer,derived,counter.lox,,,9900100.0,ns,979
Lexer,derived,counter.lox,,,10761900.0,ns,1068
Lexer,derived,counter.lox,,,11745000.0,ns,1157
Lexer,derived,counter.lox,,,12662600.0,ns,1246
Lexer,derived,counter.lox,,,13495400.0,ns,1335
Lexer,derived,counter.lox,,,14391600.0,ns,1424
Lexer,derived,counter.lox,,,15281200.0,ns,1513
Lexer,derived,counter.lox,,,16318200.0,ns,1602
Lexer,derived,counter.lox,,,17068500.0,ns,1691
Lexer,derived,counter.lox,,,18001100.0,ns,1780
Lexer,derived,counter.lox,,,18946200.0,ns,1869
Lexer,derived,counter.lox,,,19838400.0,ns,1958
Lexer,derived,counter.lox,,,20655300.0,ns,2047
Lexer,derived,counter.lox,,,21633900.0,ns,2136
Lexer,derived,counter.lox,,,22551100.0,ns,2225
Lexer,derived,counter.lox,,,23332200.0,ns,2314
Lexer,derived,counter.lox,,,24364500.0,ns,2403
Lexer,derived,counter.lox,,,25135600.0,ns,2492
Lexer,derived,counter.lox,,,26189300.0,ns,2581
Lexer,derived,counter.lox,,,27062100.0,ns,2670
Lexer,derived,counter.lox,,,27805200.0,ns,2759
Lexer,derived,counter.lox,,,28726900.0,ns,2848
Lexer,derived,counter.lox,,,29636400.0,ns,2937
Lexer,derived,counter.lox,,,30602200.0,ns,3026
Lexer,derived,counter.lox,,,31422400.0,ns,3115
Lexer,derived,counter.lox,,,37771500.0,ns,3204
Lexer,derived,counter.lox,,,32897600.0,ns,3293
Lexer,derived,counter.lox,,,34018100.0,ns,3382
Lexer,derived,counter.lox,,,35126400.0,ns,3471
Lexer,derived,counter.lox,,,35853500.0,ns,3560
Lexer,derived,counter.lox,,,36880600.0,ns,3649
Lexer,derived,counter.lox,,,37558000.0,ns,3738
Lexer,derived,counter.lox,,,38412500.0,ns,3827
Lexer,derived,counter.lox,,,39278400.0,ns,3916
Lexer,derived,counter.lox,,,40796700.0,ns,4005
Lexer,derived,counter.lox,,,41386600.0,ns,4094
Lexer,derived,counter.lox,,,42088400.0,ns,4183
Lexer,derived,counter.lox,,,43132600.0,ns,4272
Lexer,derived,counter.lox,,,43859200.0,ns,4361
Lexer,derived,counter.lox,,,44373400.0,ns,4450
Lexer,derived,counter.lox,,,45314600.0,ns,4539
Lexer,derived,counter.lox,,,46566300.0,ns,4628
Lexer,derived,counter.lox,,,47127800.0,ns,4717
Lexer,derived,counter.lox,,,47911800.0,ns,4806
Lexer,derived,counter.lox,,,49164600.0,ns,4895
Lexer,derived,counter.lox,,,49654200.0,ns,4984
Lexer,derived,counter.lox,,,50816700.0,ns,5073
Lexer,derived,counter.lox,,,51584700.0,ns,5162
