group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,derived,fib.lox,,,914400.0,ns,80
Lexer,derived,fib.lox,,,1850600.0,ns,160
Lexer,derived,fib.lox,,,2783000.0,ns,240
Lexer,derived,fib.lox,,,3733600.0,ns,320
Lexer,derived,fib.lox,,,4689200.0,ns,400
Lexer,derived,fib.lox,,,5616300.0,ns,480
Lexer,derived,fib.lox,,,6565600.0,ns,560
Lexer,derived,fib.lox,,,7483100.0,ns,640
Lexer,derived,fib.lox,,,8432000.0,ns,720
Lexer,derived,fib.lox,,,9407500.0,ns,800
Lexer,derived,fib.lox,,,10346200.0,ns,880
Lexer,derived,fib.lox,,,11209000.0,ns,960
Lexer,derived,fib.lox,,,12153200.0,ns,1040
Lexer,derived,fib.lox,,,13087500.0,ns,1120
Lexer,derived,fib.lox,,,14055200.0,ns,1200
Lexer,derived,fib.lox,,,15032500.0,ns,1280
Lexer,derived,fib.lox,,,15903700.0,ns,1360
Lexer,derived,fib.lox,,,16865800.0,ns,1440
Lexer,derived,fib.lox,,,17812600.0,ns,1520
Lexer,derived,fib.lox,,,19164700.0,ns,1600
Lexer,derived,fib.lox,,,19679300.0,ns,1680
Lexer,derived,fib.lox,,,20586100.0,ns,1760
Lexer,derived,fib.lox,,,21514600.0,ns,1840
Lexer,derived,fib.lox,,,22497800.0,ns,1920
Lexer,derived,fib.lox,,,23423100.0,ns,2000
Lexer,derived,fib.lox,,,24268100.0,ns,2080
Lexer,derived,fib.lox,,,25232900.0,ns,2160
Lexer,derived,fib.lox,,,26150100.0,ns,2240
Lexer,derived,fib.lox,,,27052900.0,ns,2320
Lexer,derived,fib.lox,,,27999500.0,ns,2400
Lexer,derived,fib.lox,,,28801200.0,ns,2480
Lexer,derived,fib.lox,,,29773200.0,ns,2560
Lexer,derived,fib.lox,,,30686400.0,ns,2640
Lexer,derived,fib.lox,,,31701300.0,ns,2720
Lexer,derived,fib.lox,,,32640000.0,ns,2800
Lexer,derived,fib.lox,,,33455100.0,ns,2880
Lexer,derived,fib.lox,,,34403800.0,ns,2960
Lexer,derived,fib.lox,,,35334100.0,ns,3040
Lexer,derived,fib.lox,,,36301100.0,ns,3120
Lexer,derived,fib.lox,,,38855800.0,ns,3200
Lexer,derived,fib.lox,,,38032900.0,ns,3280
Lexer,derived,fib.lox,,,39125700.0,ns,3360
Lexer,derived,fib.lox,,,40067500.0,ns,3440
Lexer,derived,fib.lox,,,41054500.0,ns,3520
Lexer,derived,fib.lox,,,42001700.0,ns,3600
Lexer,derived,fib.lox,,,42950300.0,ns,3680
Lexer,derived,fib.lox,,,44005100.0,ns,3760
Lexer,derived,fib.lox,,,44799800.0,ns,3840
Lexer,derived,fib.lox,,,45763400.0,ns,3920
Lexer,derived,fib.lox,,,46571200.0,ns,4000
Lexer,derived,fib.lox,,,47407200.0,ns,4080
Lexer,derived,fib.lox,,,48644300.0,ns,4160
Lexer,derived,fib.lox,,,49491700.0,ns,4240
Lexer,derived,fib.lox,,,50429700.0,ns,4320
Lexer,derived,fib.lox,,,51286500.0,ns,4400
Lexer,derived,fib.lox,,,52246300.0,ns,4480
Lexer,derived,fib.lox,,,53095500.0,ns,4560
Lexer,derived,fib.lox,,,54112400.0,ns,4640
Lexer,derived,fib.lox,,,54965600.0,ns,4720
Lexer,derived,fib.lox,,,55837800.0,ns,4800
Lexer,derived,fib.lox,,,57226900.0,ns,4880
Lexer,derived,fib.lox,,,57773300.0,ns,4960
Lexer,derived,fib.lox,,,59403200.0,ns,5040
Lexer,derived,fib.lox,,,59749500.0,ns,5120
Lexer,derived,fib.lox,,,60640000.0,ns,5200
Lexer,derived,fib.lox,,,61622500.0,ns,5280
Lexer,derived,fib.lox,,,62469000.0,ns,5360
Lexer,derived,fib.lox,,,63286600.0,ns,5440
Lexer,derived,fib.lox,,,64179500.0,ns,5520
Lexer,derived,fib.lox,,,67549400.0,ns,5600
Lexer,derived,fib.lox,,,65608700.0,ns,5680
Lexer,derived,fib.lox,,,67049400.0,ns,5760
Lexer,derived,fib.lox,,,68030900.0,ns,5840
Lexer,derived,fib.lox,,,68577700.0,ns,5920
Lexer,derived,fib.lox,,,69221400.0,ns,6000
Lexer,derived,fib.lox,,,70985900.0,ns,6080
Lexer,derived,fib.lox,,,71703000.0,ns,6160
Lexer,derived,fib.lox,,,72945500.0,ns,6240
Lexer,derived,fib.lox,,,73761600.0,ns,6320
Lexer,derived,fib.lox,,,74624500.0,ns,6400
Lexer,derived,fib.lox,,,74889400.0,ns,6480
Lexer,derived,fib.lox,,,75777500.0,ns,6560
Lexer,derived,fib.lox,,,76749000.0,ns,6640
Lexer,derived,fib.lox,,,77696500.0,ns,6720
Lexer,derived,fib.lox,,,78362600.0,ns,6800
Lexer,derived,fib.lox,,,80056500.0,ns,6880
Lexer,derived,fib.lox,,,80591300.0,ns,6960
Lexer,derived,fib.lox,,,81289400.0,ns,7040
Lexer,derived,fib.lox,,,82970600.0,ns,7120
Lexer,derived,fib.lox,,,83235100.0,ns,7200
Lexer,derived,fib.lox,,,84697300.0,ns,7280
Lexer,derived,fib.lox,,,86103200.0,ns,7360
Lexer,derived,fib.lox,,,86411000.0,ns,7440
Lexer,derived,fib.lox,,,87015900.0,ns,7520
Lexer,derived,fib.lox,,,87660000.0,ns,7600
Lexer,derived,fib.lox,,,88799400.0,ns,7680
Lexer,derived,fib.lox,,,89517700.0,ns,7760
Lexer,derived,fib.lox,,,90506700.0,ns,7840
Lexer,derived,fib.lox,,,91522400.0,ns,7920
Lexer,derived,fib.lox,,,93372600.0,ns,8000
