group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,derived,fizzbuzz1.lox,,,939200.0,ns,30
Lexer,derived,fizzbuzz1.lox,,,1897300.0,ns,60
Lexer,derived,fizzbuzz1.lox,,,2833600.0,ns,90
Lexer,derived,fizzbuzz1.lox,,,3817400.0,ns,120
Lexer,derived,fizzbuzz1.lox,,,4719700.0,ns,150
Lexer,derived,fizzbuzz1.lox,,,5697300.0,ns,180
Lexer,derived,fizzbuzz1.lox,,,6699000.0,ns,210
Lexer,derived,fizzbuzz1.lox,,,7705900.0,ns,240
Lexer,derived,fizzbuzz1.lox,,,8642000.0,ns,270
Lexer,derived,fizzbuzz1.lox,,,9531700.0,ns,300
Lexer,derived,fizzbuzz1.lox,,,10488100.0,ns,330
Lexer,derived,fizzbuzz1.lox,,,11478300.0,ns,360
Lexer,derived,fizzbuzz1.lox,,,12407200.0,ns,390
Lexer,derived,fizzbuzz1.lox,,,13358000.0,ns,420
Lexer,derived,fizzbuzz1.lox,,,14284500.0,ns,450
Lexer,derived,fizzbuzz1.lox,,,15267500.0,ns,480
Lexer,derived,fizzbuzz1.lox,,,16235600.0,ns,510
Lexer,derived,fizzbuzz1.lox,,,17120100.0,ns,540
Lexer,derived,fizzbuzz1.lox,,,18143100.0,ns,570
Lexer,derived,fizzbuzz1.lox,,,19156200.0,ns,600
Lexer,derived,fizzbuzz1.lox,,,20011800.0,ns,630
Lexer,derived,fizzbuzz1.lox,,,20970800.0,ns,660
Lexer,derived,fizzbuzz1.lox,,,22010900.0,ns,690
Lexer,derived,fizzbuzz1.lox,,,22881700.0,ns,720
Lexer,derived,fizzbuzz1.lox,,,25709100.0,ns,750
Lexer,derived,fizzbuzz1.lox,,,25139000.0,ns,780
Lexer,derived,fizzbuzz1.lox,,,25802300.0,ns,810
Lexer,derived,fizzbuzz1.lox,,,26801000.0,ns,840
Lexer,derived,fizzbuzz1.lox,,,27636800.0,ns,870
Lexer,derived,fizzbuzz1.lox,,,28479200.0,ns,900
Lexer,derived,fizzbuzz1.lox,,,29639800.0,ns,930
Lexer,derived,fizzbuzz1.lox,,,30480500.0,ns,960
Lexer,derived,fizzbuzz1.lox,,,31452900.0,ns,990
Lexer,derived,fizzbuzz1.lox,,,32279500.0,ns,1020
Lexer,derived,fizzbuzz1.lox,,,33414700.0,ns,1050
Lexer,derived,fizzbuzz1.lox,,,34641600.0,ns,1080
Lexer,derived,fizzbuzz1.lox,,,35404000.0,ns,1110
Lexer,derived,fizzbuzz1.lox,,,36337000.0,ns,1140
Lexer,derived,fizzbuzz1.lox,,,37122700.0,ns,1170
Lexer,derived,fizzbuzz1.lox,,,38224700.0,ns,1200
Lexer,derived,fizzbuzz1.lox,,,38984700.0,ns,1230
Lexer,derived,fizzbuzz1.lox,,,40171700.0,ns,1260
Lexer,derived,fizzbuzz1.lox,,,41209800.0,ns,1290
Lexer,derived,fizzbuzz1.lox,,,41906700.0,ns,1320
Lexer,derived,fizzbuzz1.lox,,,42788100.0,ns,1350
Lexer,derived,fizzbuzz1.lox,,,43657000.0,ns,1380
Lexer,derived,fizzbuzz1.lox,,,44637900.0,ns,1410
Lexer,derived,fizzbuzz1.lox,,,45655900.0,ns,1440
Lexer,derived,fizzbuzz1.lox,,,46462800.0,ns,1470
Lexer,derived,fizzbuzz1.lox,,,47372500.0,ns,1500
Lexer,derived,fizzbuzz1.lox,,,48224700.0,ns,1530
Lexer,derived,fizzbuzz1.lox,,,50006900.0,ns,1560
Lexer,derived,fizzbuzz1.lox,,,50747300.0,ns,1590
Lexer,derived,fizzbuzz1.lox,,,51241100.0,ns,1620
Lexer,derived,fizzbuzz1.lox,,,52094000.0,ns,1650
Lexer,derived,fizzbuzz1.lox,,,52951000.0,ns,1680
Lexer,derived,fizzbuzz1.lox,,,53994900.0,ns,1710
Lexer,derived,fizzbuzz1.lox,,,55037800.0,ns,1740
Lexer,derived,fizzbuzz1.lox,,,56565400.0,ns,1770
Lexer,derived,fizzbuzz1.lox,,,56914600.0,ns,1800
Lexer,derived,fizzbuzz1.lox,,,57796600.0,ns,1830
Lexer,derived,fizzbuzz1.lox,,,58766700.0,ns,1860
Lexer,derived,fizzbuzz1.lox,,,60168900.0,ns,1890
Lexer,derived,fizzbuzz1.lox,,,60575700.0,ns,1920
Lexer,derived,fizzbuzz1.lox,,,61621100.0,ns,1950
Lexer,derived,fizzbuzz1.lox,,,62756700.0,ns,1980
Lexer,derived,fizzbuzz1.lox,,,63157100.0,ns,2010
Lexer,derived,fizzbuzz1.lox,,,63890800.0,ns,2040
Lexer,derived,fizzbuzz1.lox,,,70171700.0,ns,2070
Lexer,derived,fizzbuzz1.lox,,,66075800.0,ns,2100
Lexer,derived,fizzbuzz1.lox,,,67340200.0,ns,2130
Lexer,derived,fizzbuzz1.lox,,,68102800.0,ns,2160
Lexer,derived,fizzbuzz1.lox,,,69351700.0,ns,2190
Lexer,derived,fizzbuzz1.lox,,,69890700.0,ns,2220
Lexer,derived,fizzbuzz1.lox,,,72058100.0,ns,2250
Lexer,derived,fizzbuzz1.lox,,,72418300.0,ns,2280
Lexer,derived,fizzbuzz1.lox,,,73158700.0,ns,2310
Lexer,derived,fizzbuzz1.lox,,,74637500.0,ns,2340
Lexer,derived,fizzbuzz1.lox,,,75681600.0,ns,2370
Lexer,derived,fizzbuzz1.lox,,,76726600.0,ns,2400
Lexer,derived,fizzbuzz1.lox,,,77426200.0,ns,2430
Lexer,derived,fizzbuzz1.lox,,,78404000.0,ns,2460
Lexer,derived,fizzbuzz1.lox,,,79930900.0,ns,2490
Lexer,derived,fizzbuzz1.lox,,,80395100.0,ns,2520
Lexer,derived,fizzbuzz1.lox,,,81259300.0,ns,2550
Lexer,derived,fizzbuzz1.lox,,,82410200.0,ns,2580
Lexer,derived,fizzbuzz1.lox,,,83239100.0,ns,2610
Lexer,derived,fizzbuzz1.lox,,,84613500.0,ns,2640
Lexer,derived,fizzbuzz1.lox,,,84886800.0,ns,2670
Lexer,derived,fizzbuzz1.lox,,,85874300.0,ns,2700
Lexer,derived,fizzbuzz1.lox,,,87070300.0,ns,2730
Lexer,derived,fizzbuzz1.lox,,,88031100.0,ns,2760
Lexer,derived,fizzbuzz1.lox,,,88894100.0,ns,2790
Lexer,derived,fizzbuzz1.lox,,,90096200.0,ns,2820
Lexer,derived,fizzbuzz1.lox,,,90604900.0,ns,2850
Lexer,derived,fizzbuzz1.lox,,,91328300.0,ns,2880
Lexer,derived,fizzbuzz1.lox,,,92125700.0,ns,2910
Lexer,derived,fizzbuzz1.lox,,,93463300.0,ns,2940
Lexer,derived,fizzbuzz1.lox,,,94719500.0,ns,2970
Lexer,derived,fizzbuzz1.lox,,,95600300.0,ns,3000
