group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,derived,forloop.lox,,,874200.0,ns,300
Lexer,derived,forloop.lox,,,1766300.0,ns,600
Lexer,derived,forloop.lox,,,2646700.0,ns,900
Lexer,derived,forloop.lox,,,3561900.0,ns,1200
Lexer,derived,forloop.lox,,,4567800.0,ns,1500
Lexer,derived,forloop.lox,,,5447600.0,ns,1800
Lexer,derived,forloop.lox,,,6339500.0,ns,2100
Lexer,derived,forloop.lox,,,7364500.0,ns,2400
Lexer,derived,forloop.lox,,,8372500.0,ns,2700
Lexer,derived,forloop.lox,,,9333800.0,ns,3000
Lexer,derived,forloop.lox,,,9920600.0,ns,3300
Lexer,derived,forloop.lox,,,10780100.0,ns,3600
Lexer,derived,forloop.lox,,,11703000.0,ns,3900
Lexer,derived,forloop.lox,,,12548200.0,ns,4200
Lexer,derived,forloop.lox,,,13566400.0,ns,4500
Lexer,derived,forloop.lox,,,14325800.0,ns,4800
Lexer,derived,forloop.lox,,,15296000.0,ns,5100
Lexer,derived,forloop.lox,,,16097000.0,ns,5400
Lexer,derived,forloop.lox,,,17138100.0,ns,5700
Lexer,derived,forloop.lox,,,17899300.0,ns,6000
Lexer,derived,forloop.lox,,,18743800.0,ns,6300
Lexer,derived,forloop.lox,,,19644100.0,ns,6600
Lexer,derived,forloop.lox,,,20566500.0,ns,6900
Lexer,derived,forloop.lox,,,21417500.0,ns,7200
Lexer,derived,forloop.lox,,,22375500.0,ns,7500
Lexer,derived,forloop.lox,,,23910000.0,ns,7800
Lexer,derived,forloop.lox,,,24319600.0,ns,8100
Lexer,derived,forloop.lox,,,25271400.0,ns,8400
Lexer,derived,forloop.lox,,,25887400.0,ns,8700
Lexer,derived,forloop.lox,,,26927500.0,ns,9000
Lexer,derived,forloop.lox,,,27628000.0,ns,9300
Lexer,derived,forloop.lox,,,28496000.0,ns,9600
Lexer,derived,forloop.lox,,,29433600.0,ns,9900
Lexer,derived,forloop.lox,,,30143900.0,ns,10200
Lexer,derived,forloop.lox,,,31333100.0,ns,10500
Lexer,derived,forloop.lox,,,34673400.0,ns,10800
Lexer,derived,forloop.lox,,,33126700.0,ns,11100
Lexer,derived,forloop.lox,,,34070300.0,ns,11400
Lexer,derived,forloop.lox,,,34704400.0,ns,11700
