group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,derived,fun-expressions.lox,,,929600.0,ns,109
Lexer,derived,fun-expressions.lox,,,1837800.0,ns,218
Lexer,derived,fun-expressions.lox,,,2771700.0,ns,327
Lexer,derived,fun-expressions.lox,,,3718100.0,ns,436
Lexer,derived,fun-expressions.lox,,,4693800.0,ns,545
Lexer,derived,fun-expressions.lox,,,5648500.0,ns,654
Lexer,derived,fun-expressions.lox,,,6582300.0,ns,763
Lexer,derived,fun-expressions.lox,,,7525800.0,ns,872
Lexer,derived,fun-expressions.lox,,,8460000.0,ns,981
Lexer,derived,fun-expressions.lox,,,9465800.0,ns,1090
Lexer,derived,fun-expressions.lox,,,10413600.0,ns,1199
Lexer,derived,fun-expressions.lox,,,11279000.0,ns,1308
Lexer,derived,fun-expressions.lox,,,12250000.0,ns,1417
Lexer,derived,fun-expressions.lox,,,13192600.0,ns,1526
Lexer,derived,fun-expressions.lox,,,14119400.0,ns,1635
Lexer,derived,fun-expressions.lox,,,15104000.0,ns,1744
Lexer,derived,fun-expressions.lox,,,16070100.0,ns,1853
Lexer,derived,fun-expressions.lox,,,16980900.0,ns,1962
Lexer,derived,fun-expressions.lox,,,17942000.0,ns,2071
Lexer,derived,fun-expressions.lox,,,18896500.0,ns,2180
Lexer,derived,fun-expressions.lox,,,19813500.0,ns,2289
Lexer,derived,fun-expressions.lox,,,20615400.0,ns,2398
Lexer,derived,fun-expressions.lox,,,21741700.0,ns,2507
Lexer,derived,fun-expressions.lox,,,22625400.0,ns,2616
Lexer,derived,fun-expressions.lox,,,23553000.0,ns,2725
Lexer,derived,fun-expressions.lox,,,24498000.0,ns,2834
Lexer,derived,fun-expressions.lox,,,25394200.0,ns,2943
Lexer,derived,fun-expressions.lox,,,26429200.0,ns,3052
Lexer,derived,fun-expressions.lox,,,27380800.0,ns,3161
Lexer,derived,fun-expressions.lox,,,28318200.0,ns,3270
Lexer,derived,fun-expressions.lox,,,29135400.0,ns,3379
Lexer,derived,fun-expressions.lox,,,30076200.0,ns,3488
Lexer,derived,fun-expressions.lox,,,31035200.0,ns,3597
Lexer,derived,fun-expressions.lox,,,32113200.0,ns,3706
Lexer,derived,fun-expressions.lox,,,32992300.0,ns,3815
Lexer,derived,fun-expressions.lox,,,36220000.0,ns,3924
