group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,derived,fun.lox,,,1165300.0,ns,32
Lexer,derived,fun.lox,,,1860400.0,ns,64
Lexer,derived,fun.lox,,,2814800.0,ns,96
Lexer,derived,fun.lox,,,3790400.0,ns,128
Lexer,derived,fun.lox,,,4673000.0,ns,160
Lexer,derived,fun.lox,,,5660000.0,ns,192
Lexer,derived,fun.lox,,,6689200.0,ns,224
Lexer,derived,fun.lox,,,7644700.0,ns,256
Lexer,derived,fun.lox,,,8633000.0,ns,288
Lexer,derived,fun.lox,,,9599800.0,ns,320
Lexer,derived,fun.lox,,,10530500.0,ns,352
Lexer,derived,fun.lox,,,11536900.0,ns,384
Lexer,derived,fun.lox,,,12434300.0,ns,416
Lexer,derived,fun.lox,,,13436200.0,ns,448
Lexer,derived,fun.lox,,,14392000.0,ns,480
Lexer,derived,fun.lox,,,15303100.0,ns,512
Lexer,derived,fun.lox,,,16362000.0,ns,544
Lexer,derived,fun.lox,,,17237200.0,ns,576
Lexer,derived,fun.lox,,,18232700.0,ns,608
Lexer,derived,fun.lox,,,19275800.0,ns,640
Lexer,derived,fun.lox,,,20164200.0,ns,672
Lexer,derived,fun.lox,,,21190700.0,ns,704
Lexer,derived,fun.lox,,,22212900.0,ns,736
Lexer,derived,fun.lox,,,23079200.0,ns,768
Lexer,derived,fun.lox,,,24386200.0,ns,800
Lexer,derived,fun.lox,,,27736800.0,ns,832
Lexer,derived,fun.lox,,,25976700.0,ns,864
Lexer,derived,fun.lox,,,27113400.0,ns,896
Lexer,derived,fun.lox,,,27873200.0,ns,928
Lexer,derived,fun.lox,,,28781500.0,ns,960
Lexer,derived,fun.lox,,,29840700.0,ns,992
Lexer,derived,fun.lox,,,30793100.0,ns,1024
Lexer,derived,fun.lox,,,31737000.0,ns,1056
Lexer,derived,fun.lox,,,33016200.0,ns,1088
Lexer,derived,fun.lox,,,33730400.0,ns,1120
Lexer,derived,fun.lox,,,34869100.0,ns,1152
Lexer,derived,fun.lox,,,35751100.0,ns,1184
Lexer,derived,fun.lox,,,36696300.0,ns,1216
Lexer,derived,fun.lox,,,37560200.0,ns,1248
Lexer,derived,fun.lox,,,38507900.0,ns,1280
Lexer,derived,fun.lox,,,39755600.0,ns,1312
Lexer,derived,fun.lox,,,40574900.0,ns,1344
Lexer,derived,fun.lox,,,41485400.0,ns,1376
Lexer,derived,fun.lox,,,42334900.0,ns,1408
Lexer,derived,fun.lox,,,43211200.0,ns,1440
Lexer,derived,fun.lox,,,44213700.0,ns,1472
Lexer,derived,fun.lox,,,45197900.0,ns,1504
Lexer,derived,fun.lox,,,46051800.0,ns,1536
Lexer,derived,fun.lox,,,47196300.0,ns,1568
Lexer,derived,fun.lox,,,48039600.0,ns,1600
Lexer,derived,fun.lox,,,49056700.0,ns,1632
Lexer,derived,fun.lox,,,50566600.0,ns,1664
Lexer,derived,fun.lox,,,50930300.0,ns,1696
Lexer,derived,fun.lox,,,51876200.0,ns,1728
Lexer,derived,fun.lox,,,52793300.0,ns,1760
Lexer,derived,fun.lox,,,53799200.0,ns,1792
Lexer,derived,fun.lox,,,54728100.0,ns,1824
Lexer,derived,fun.lox,,,56000300.0,ns,1856
Lexer,derived,fun.lox,,,56959400.0,ns,1888
Lexer,derived,fun.lox,,,58154500.0,ns,1920
Lexer,derived,fun.lox,,,58902400.0,ns,1952
Lexer,derived,fun.lox,,,60857600.0,ns,1984
Lexer,derived,fun.lox,,,60688100.0,ns,2016
Lexer,derived,fun.lox,,,63876800.0,ns,2048
Lexer,derived,fun.lox,,,62709400.0,ns,2080
Lexer,derived,fun.lox,,,63867900.0,ns,2112
Lexer,derived,fun.lox,,,64630700.0,ns,2144
Lexer,derived,fun.lox,,,65639400.0,ns,2176
Lexer,derived,fun.lox,,,66963300.0,ns,2208
Lexer,derived,fun.lox,,,67546000.0,ns,2240
Lexer,derived,fun.lox,,,68622600.0,ns,2272
Lexer,derived,fun.lox,,,69385400.0,ns,2304
Lexer,derived,fun.lox,,,70377100.0,ns,2336
Lexer,derived,fun.lox,,,71466700.0,ns,2368
Lexer,derived,fun.lox,,,72388300.0,ns,2400
Lexer,derived,fun.lox,,,73221900.0,ns,2432
Lexer,derived,fun.lox,,,75006400.0,ns,2464
Lexer,derived,fun.lox,,,75281200.0,ns,2496
Lexer,derived,fun.lox,,,75907300.0,ns,2528
Lexer,derived,fun.lox,,,76999900.0,ns,2560
Lexer,derived,fun.lox,,,77841400.0,ns,2592
Lexer,derived,fun.lox,,,79250200.0,ns,2624
Lexer,derived,fun.lox,,,79803200.0,ns,2656
Lexer,derived,fun.lox,,,80901900.0,ns,2688
Lexer,derived,fun.lox,,,82143400.0,ns,2720
Lexer,derived,fun.lox,,,82947900.0,ns,2752
Lexer,derived,fun.lox,,,83744300.0,ns,2784
Lexer,derived,fun.lox,,,84677500.0,ns,2816
Lexer,derived,fun.lox,,,85263800.0,ns,2848
Lexer,derived,fun.lox,,,86218400.0,ns,2880
Lexer,derived,fun.lox,,,87466100.0,ns,2912
Lexer,derived,fun.lox,,,87965000.0,ns,2944
Lexer,derived,fun.lox,,,88648600.0,ns,2976
Lexer,derived,fun.lox,,,90191200.0,ns,3008
Lexer,derived,fun.lox,,,90250000.0,ns,3040
Lexer,derived,fun.lox,,,91253600.0,ns,3072
Lexer,derived,fun.lox,,,92424400.0,ns,3104
Lexer,derived,fun.lox,,,93447600.0,ns,3136
Lexer,derived,fun.lox,,,94253200.0,ns,3168
Lexer,derived,fun.lox,,,95410000.0,ns,3200
